"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2006.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2007.",1156,116,37,64,83,45,NA,NA,127,118,NA,NA,123,74,10,43,50,74,126,NA,20,46
"2008.",1199,116,37,64,83,45,NA,NA,127,118,NA,NA,123,74,10,43,50,115,126,NA,22,46
"2009.",1244,128,38,64,83,45,NA,NA,128,118,NA,NA,124,74,43,43,50,115,126,NA,22,44
"2010.",1244,128,39,64,83,45,NA,NA,128,118,NA,NA,124,74,43,43,50,115,126,NA,22,44
"2011.",1254,128,39,64,83,45,NA,NA,128,118,NA,NA,124,74,43,43,50,124,126,NA,22,44
"2012.",1254,128,39,64,83,45,NA,NA,128,118,NA,NA,124,74,43,43,50,124,126,NA,22,44
"2013.",1289,128,39,64,83,45,NA,NA,137,118,NA,NA,124,74,43,43,50,131,126,19,22,44
"2014.",1290,128,39,64,83,45,NA,NA,138,118,NA,NA,124,74,43,43,50,131,126,19,22,44
"2015.",1310,135,39,74,83,45,NA,NA,138,118,NA,NA,124,74,43,43,50,131,126,19,22,46
