"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",28344,1885,932,2059,1625,1145,1165,1487,1497,1899,911,723,923,1685,1614,1208,1011,2468,1829,976,552,750
"2006.",28788,1886,932,2059,1676,1166,1165,1487,1549,2021,911,723,924,1757,1614,1251,1011,2507,1875,976,550,748
"2007.",29039,1899,949,2060,1676,1198,1165,1487,1565,2031,920,723,937,1780,1650,1263,1019,2551,1877,982,556,751
"2008.",29248,1896,948,1919,1707,1196,1126,1460,1603,2033,881,731,928,1847,1711,1294,1015,2668,1866,1007,637,775
"2009.",29343,1941,949,1919,1708,1197,1126,1460,1599,2035,881,731,930,1849,1748,1289,1012,2659,1868,1029,637,776
"2010.",29333,1930,960,1919,1709,1195,1126,1460,1605,2032,842,746,929,1868,1746,1293,1016,2652,1867,1021,640,777
"2011.",29419,1941,960,1920,1707,1207,1126,1460,1605,2030,852,746,930,1880,1746,1290,1017,2665,1879,1042,640,776
"2012.",26690,1592,940,1792,1498,1143,1081,1331,1531,1816,857,689,902,1792,1644,1140,948,2603,1764,990,565,72
"2013.",26814,1609,964,1792,1505,1172,1088,1331,1542,1802,857,689,902,1793,1646,1144,948,2619,1763,1011,565,72
"2014.",26778,1536,970,1756,1515,1183,1087,1331,1543,1805,856,690,904,1786,1651,1141,949,2632,1760,1034,581,69
"2015.",26706,1638,976,1767,1513,1184,1047,1181,1544,1806,855,693,907,1787,1648,1141,949,2627,1758,1034,579,71
