"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",7425,379,228,475,407,223,212,284,579,573,185,227,233,589,470,350,305,761,386,397,93,69
"2006.",7869,379,228,476,458,245,212,284,631,695,185,227,233,661,470,393,305,799,432,397,91,68
"2007.",6963,277,208,412,375,231,212,284,520,587,195,227,124,610,496,362,263,770,308,403,77,24
"2008.",6810,237,225,385,353,209,212,288,521,555,181,218,133,591,481,367,256,757,329,394,90,28
"2009.",6813,239,225,385,353,210,212,288,517,557,181,219,133,593,486,363,253,749,331,403,89,28
"2010.",6812,239,239,385,355,207,212,288,521,559,181,219,132,586,482,366,257,743,330,395,90,28
"2011.",6843,243,239,386,353,210,212,287,520,557,190,219,133,598,482,363,258,745,332,398,89,28
"2012.",6581,240,234,385,352,201,212,254,510,526,172,219,136,510,467,325,256,747,331,386,90,28
"2013.",6711,245,275,385,382,198,216,254,511,526,172,219,136,511,467,325,256,756,354,386,110,28
"2014.",6723,253,277,385,382,201,216,254,507,526,171,219,136,511,466,325,256,774,354,378,109,25
"2015.",6757,255,281,385,383,201,216,255,515,540,171,219,138,509,466,325,256,776,356,378,109,25
