"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",10375,708,241,769,672,493,542,640,330,808,368,280,207,602,520,398,240,927,737,319,199,375
"2006.",10375,708,241,768,672,492,542,640,330,808,368,280,208,602,520,398,240,928,737,319,199,375
"2007.",10375,708,241,769,672,493,542,640,330,808,368,280,207,602,520,398,240,927,737,319,199,375
"2008.",10335,710,242,652,684,469,514,607,358,785,329,279,195,655,555,414,230,942,729,339,260,387
"2009.",10347,721,241,652,687,469,514,607,357,785,329,279,196,655,555,413,230,941,729,339,260,388
"2010.",10342,706,238,652,686,470,514,607,357,780,290,294,196,680,555,414,230,941,730,352,262,388
"2011.",10355,711,238,653,686,480,514,607,358,780,290,293,195,680,554,414,230,941,727,351,263,388
"2012.",9046,539,233,626,560,460,504,534,323,658,317,268,195,680,486,329,205,902,663,331,232,NA
"2013.",9094,558,243,626,546,484,508,533,324,658,317,268,195,680,486,334,205,902,661,333,232,NA
"2014.",9137,551,248,640,553,496,507,533,327,661,317,270,197,637,491,329,207,910,661,354,248,NA
"2015.",8998,571,250,640,553,496,468,419,323,661,319,273,198,639,488,329,207,909,655,355,247,NA
