"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"2005.",10544,798,463,815,546,429,411,563,588,518,358,216,483,494,624,460,466,780,706,260,260,306
"2006.",10544,799,463,815,546,429,411,563,588,518,358,216,483,494,624,460,466,780,706,260,260,305
"2007.",10544,798,463,815,546,429,411,563,588,518,358,216,483,494,624,460,466,780,706,260,260,306
"2008.",10904,833,444,818,587,473,400,565,597,575,371,234,477,527,664,470,479,854,682,274,266,314
"2009.",10939,853,445,818,585,473,400,565,597,575,371,233,478,527,664,470,479,854,682,287,266,317
"2010.",10936,857,445,818,585,473,400,565,599,575,371,234,477,528,666,470,479,854,682,274,267,317
"2011.",10967,858,445,818,585,473,400,565,599,575,371,234,477,528,666,470,479,854,694,293,267,317
"2012.",9809,685,434,717,503,437,365,543,570,515,368,201,448,528,649,442,437,830,644,273,222,NA
"2013.",9720,678,407,717,494,445,365,543,569,501,368,201,448,528,651,442,437,830,622,274,203,NA
"2014.",9628,604,407,668,496,442,365,543,571,501,368,201,447,564,651,443,436,817,619,282,203,NA
"2015.",9640,678,407,668,494,442,363,507,568,487,365,201,448,566,651,443,436,811,621,282,202,NA
