"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1994.",1108903,11403,27714,11294,1600,27215,10986,11341,349834,29838,4948,11424,5903,16912,34491,6982,8303,107048,206761,45752,4644,174510
"1995.",1113481,9753,30690,10115,1955,25444,8718,8205,370640,32014,3158,9127,5764,25354,28008,12840,5566,108332,207936,46018,4815,159029
"1996.",1249429,9070,29103,11573,4066,29105,8493,6361,375568,30490,2149,8125,5832,69763,27733,28214,6752,153232,173758,87469,4719,177854
"1997.",1371512,11861,35112,14080,5247,29247,7874,6184,382471,31902,2935,2387,5933,94860,40987,49508,9425,169086,177541,109655,4662,180555
"1998.",1337940,9845,30470,10607,10270,28139,8382,7843,349031,28312,2695,2854,7235,102080,43037,49240,10581,173924,178862,108295,3897,172341
"1999.",1307331,9432,31388,8992,16870,24644,7749,7460,358111,20575,2029,2685,7395,100563,34378,52826,12136,182201,158162,103718,3279,162738
"2000.",1282035,8990,29788,10655,17489,25306,9274,6780,335868,26732,3317,3146,6685,112190,35095,58420,12917,169765,146065,106554,3209,153790
"2001.",1315540,9669,26794,11935,20592,28127,7838,6280,336711,25312,3799,3729,7204,120404,37775,67366,14854,169301,154584,104235,3642,155389
"2002.",1375858,9302,34516,14389,23517,27966,7562,7229,338798,32369,2887,3233,8086,122661,38271,82127,16289,181095,156891,96352,2906,169412
"2003.",1469388,10038,33536,16601,25201,30934,8301,7462,370829,35036,3605,4481,10867,135538,41839,91376,16393,187113,160995,103626,3569,172048
"2004.",1500402,11492,31272,16322,27564,29195,7274,6900,357410,37896,4729,4343,9680,149339,41002,90713,17589,196704,187974,98539,4023,170442
"2005.",1528184,13634,28948,16679,28628,30719,6893,7592,356365,38294,4959,5612,9838,161630,47783,102383,21929,205618,166610,102425,7776,163869
"2006.",1726045,16513,42506,16262,28948,32193,9820,9940,422301,39625,9982,5103,10814,177786,59162,111553,22915,214639,189013,109175,14730,183065
"2007.",1855715,17861,48235,20136,29876,28358,11905,10569,397819,49265,11747,6581,11953,199975,65118,132498,26827,247989,198635,119198,19809,201361
"2008.",1845702,19718,50506,19056,31520,28460,11518,10781,384451,38893,11569,6339,12464,197174,69765,137149,27988,235765,203910,111249,24342,213085
"2009.",1599652,20837,43570,18504,25336,22760,10178,8976,328693,40302,12140,7775,10530,171615,58870,107787,25437,213475,167287,99134,21776,184670
"2010.",1493374,18028,41929,14839,25091,20666,7718,8080,307668,34615,10545,6773,8984,159709,52465,99901,27553,199811,160632,83693,27422,177252
"2011.",1529003,18155,45821,14582,16830,20892,8984,10016,300339,33196,10550,7472,9719,160113,56573,106646,25398,206095,175300,96411,26009,179902
"2012.",1465934,18706,42107,14486,19242,22400,10651,10419,290285,31593,9103,6412,9627,158198,52005,96406,21019,191988,166161,93297,25001,176828
"2013.",1485361,22884,44777,15058,16697,23273,10797,10987,278481,28507,10685,7581,11070,137672,51252,109856,25655,196312,169846,93286,30748,189937
"2014.",1505455,21348,50772,15692,14823,24247,10721,11520,271167,29747,9459,8096,11035,142598,49632,109987,29309,196581,174289,97829,28955,197648
"2015.",1660144,25243,55840,15968,18401,26350,10349,14420,302714,33274,7958,8043,10335,157386,51737,123506,36575,217536,189711,105587,30573,218638
