"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1994.",2292758,5547,6198,2130,1300,9700,2359,4672,729960,23428,1118,2611,1450,7886,6369,7762,1879,84736,1212746,27345,3607,149955
"1995.",1324492,4015,4566,2556,1108,7180,2123,2655,368667,15113,714,1618,1163,5184,4151,3703,1150,55116,685081,18016,3258,137355
"1996.",2649424,5616,8904,3923,2797,8545,2695,2529,754330,48300,640,2178,3978,66815,8126,36129,2880,184784,1216886,70297,3650,215422
"1997.",3834186,6748,6765,3340,12010,9734,4009,2543,1052152,80891,659,883,4789,178610,11309,105498,2818,390000,1581455,172160,3379,204434
"1998.",4111536,6481,6457,6818,29533,8805,2318,2446,1086347,92177,563,966,5228,202257,10199,119662,4164,479093,1620719,219729,3473,204101
"1999.",3443232,4938,5276,4171,24196,7778,2323,2214,868217,64418,553,831,3761,165228,8541,91596,4349,407530,1418554,178271,2975,177512
"2000.",5337649,6483,6211,4662,66379,8746,2414,2135,1314980,129076,482,892,4039,338910,10227,202949,5007,725130,1934294,362496,3544,208593
"2001.",6544217,8306,6253,6173,87271,11352,2410,2550,1517206,150677,693,1175,4642,491717,12108,438933,5804,881605,2223217,459350,3644,229131
"2002.",6944345,8890,7321,6650,105884,13636,3006,2362,1584129,185041,790,1265,5866,531594,13556,496951,6197,996047,2198040,500863,3186,273071
"2003.",7408590,11426,8108,7151,124591,12502,3708,2482,1626630,208840,697,1276,6472,605538,13062,548338,5175,1049457,2275804,593334,3736,300263
"2004.",7911874,15141,7983,8612,131223,13293,3416,3000,1667187,241026,785,1455,7804,693951,12508,559964,7061,1170246,2327727,698256,3842,337394
"2005.",8466886,16218,7488,8459,137580,16090,4621,3519,1720091,261766,1112,1718,8439,769879,14868,648457,9385,1299648,2338407,806949,6454,385738
"2006.",8658876,18206,9859,10443,144010,19152,5732,3538,1727684,272541,1491,1629,10378,799609,17151,640528,8779,1334618,2386077,819429,7230,420792
"2007.",9306691,14515,12962,13028,131082,20629,6452,4100,1849969,310370,2668,1775,10804,872684,19606,687814,11528,1483050,2521314,859204,9100,464037
"2008.",9415105,15413,14639,12562,133363,18238,6524,3995,1829610,326816,2799,2026,12383,904996,19621,685730,11777,1510546,2525708,875602,10677,492080
"2009.",9334822,16105,12927,10769,135941,15852,5414,3743,1876934,346418,2255,1855,12588,877404,19512,638745,8391,1444470,2587982,858095,10575,448847
"2010.",9110742,16541,12852,12152,138663,17852,4375,3510,1843450,369345,2446,2241,9115,811383,19284,534713,9029,1437845,2467286,898926,10880,488854
"2011.",9926674,16212,14300,11987,148620,17663,4547,3871,2059875,392479,3075,2257,8807,862351,21124,543413,11284,1571605,2720386,950415,11360,551043
"2012.",10369226,20058,20730,9677,167275,20817,4593,3964,2063119,435526,3104,2389,10516,915994,22368,560965,12789,1642888,2818881,1029123,13912,590538
"2013.",10948366,24848,30395,12166,179274,19112,5015,4061,2101553,464657,3047,2254,12658,949116,23925,606993,15493,1841665,2810817,1147968,14431,678918
"2014.",11622961,32493,34595,11824,193053,21527,6043,4556,2148697,493110,3433,1794,13260,1044310,24394,636190,14400,2016322,2884937,1248452,19317,770254
"2015.",12683179,40410,39911,13246,226599,23264,7544,5916,2258012,541462,3350,2241,13656,1132476,27851,673529,14991,2256002,3180194,1337516,25869,859140
