"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1994.",3401661,16950,33912,13424,2900,36915,13345,16013,1079794,53266,6066,14035,7353,24798,40860,14744,10182,191784,1419507,73097,8251,324465
"1995.",2437973,13768,35256,12671,3063,32624,10841,10860,739307,47127,3872,10745,6927,30538,32159,16543,6716,163448,893017,64034,8073,296384
"1996.",3898853,14686,38007,15496,6863,37650,11188,8890,1129898,78790,2789,10303,9810,136578,35859,64343,9632,338016,1390644,157766,8369,393276
"1997.",5205698,18609,41877,17420,17257,38981,11883,8727,1434623,112793,3594,3270,10722,273470,52296,155006,12243,559086,1758996,281815,8041,384989
"1998.",5449476,16326,36927,17425,39803,36944,10700,10289,1435378,120489,3258,3820,12463,304337,53236,168902,14745,653017,1799581,328024,7370,376442
"1999.",4750563,14370,36664,13163,41066,32422,10072,9674,1226328,84993,2582,3516,11156,265791,42919,144422,16485,589731,1576716,281989,6254,340250
"2000.",6619684,15473,35999,15317,83868,34052,11688,8915,1650848,155808,3799,4038,10724,451100,45322,261369,17924,894895,2080359,469050,6753,362383
"2001.",7859757,17975,33047,18108,107863,39479,10248,8830,1853917,175989,4492,4904,11846,612121,49883,506299,20658,1050906,2377801,563585,7286,384520
"2002.",8320203,18192,41837,21039,129401,41602,10568,9591,1922927,217410,3677,4498,13952,654255,51827,579078,22486,1177142,2354931,597215,6092,442483
"2003.",8877978,21464,41644,23752,149792,43436,12009,9944,1997459,243876,4302,5757,17339,741076,54901,639714,21568,1236570,2436799,696960,7305,472311
"2004.",9412276,26633,39255,24934,158787,42488,10690,9900,2024597,278922,5514,5798,17484,843290,53510,650677,24650,1366950,2515701,796795,7865,507836
"2005.",9995070,29852,36436,25138,166208,46809,11514,11111,2076456,300060,6071,7330,18277,931509,62651,750840,31314,1505266,2505017,909374,14230,549607
"2006.",10384921,34719,52365,26705,172958,51345,15552,13478,2149985,312166,11473,6732,21192,977395,76313,752081,31694,1549257,2575090,928604,21960,603857
"2007.",11162406,32376,61197,33164,160958,48987,18357,14669,2247788,359635,14415,8356,22757,1072659,84724,820312,38355,1731039,2719949,978402,28909,665398
"2008.",11260807,35131,65145,31618,164883,46698,18042,14776,2214061,365709,14368,8365,24847,1102170,89386,822879,39765,1746311,2729618,986851,35019,705165
"2009.",10934474,36942,56497,29273,161277,38612,15592,12719,2205627,386720,14395,9630,23118,1049019,78382,746532,33828,1657945,2755269,957229,32351,633517
"2010.",10604116,34569,54781,26991,163754,38518,12093,11590,2151118,403960,12991,9014,18099,971092,71749,634614,36582,1637656,2627918,982619,38302,666106
"2011.",11455677,34367,60121,26569,165450,38555,13531,13887,2360214,425675,13625,9729,18526,1022464,77697,650059,36682,1777700,2895686,1046826,37369,730945
"2012.",11835160,38764,62837,24163,186517,43217,15244,14383,2353404,467119,12207,8801,20143,1074192,74373,657371,33808,1834876,2985042,1122420,38913,767366
"2013.",12433727,47732,75172,27224,195971,42385,15812,15048,2380034,493164,13732,9835,23728,1086788,75177,716849,41148,2037977,2980663,1241254,45179,868855
"2014.",13128416,53841,85367,27516,207876,45774,16764,16076,2419864,522857,12892,9890,24295,1186908,74026,746177,43709,2212903,3059226,1346281,48272,967902
"2015.",14343323,65653,95751,29214,245000,49614,17893,20336,2560726,574736,11308,10284,23991,1289862,79588,797035,51566,2473538,3369905,1443103,56442,1077778
