"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1994.",4420930,22109,102296,65912,5296,80176,28687,22478,1573448,151316,8502,23014,10436,74885,83163,47058,25836,564043,959722,260462,9898,302193
"1995.",4369968,21945,89396,61975,4572,68264,23060,16171,1537880,200330,5872,20369,13120,99770,65584,69672,20640,496947,1020057,246088,13721,274535
"1996.",4909796,13583,87472,56223,10663,83226,23521,10305,1440541,175189,4886,18887,12101,390484,70955,161298,29597,730913,781405,508749,18311,281487
"1997.",5617221,46795,108220,55609,12663,104779,21574,10490,1567108,98517,8360,3933,9573,612654,118119,257035,66840,820391,833192,571625,14788,274956
"1998.",5285563,36707,92316,39015,23115,89195,30620,19434,1432654,96374,4614,4841,14872,620215,99415,253141,35839,791876,849293,476715,11632,263680
"1999.",5214948,15975,89036,37061,48721,84312,33206,23396,1511327,76368,4519,5307,14933,587872,76801,260595,39513,844864,736140,467872,8617,248513
"2000.",5098522,14880,96011,38983,48997,95548,24904,23393,1396059,89729,15036,5385,17445,691637,83499,293946,32493,786764,642590,460768,12111,228344
"2001.",5020677,17807,95034,48823,55829,90096,21817,17604,1360002,94179,11085,5498,17596,670887,83221,312094,40415,759611,683948,391566,12999,230566
"2002.",4981392,18688,111721,56804,63417,97998,21756,18317,1286223,129959,9060,5233,17817,646664,86050,354418,40778,729577,658118,362556,10003,256235
"2003.",5311991,22352,104388,52562,67912,122654,23087,20633,1344262,127390,12566,8490,28337,743064,87190,393502,38495,736032,699113,376684,12836,290442
"2004.",5280962,26225,94033,68076,76478,116549,15455,16544,1228200,130647,12379,8597,22389,807392,85202,375389,32383,724492,821134,331424,11380,276594
"2005.",5434431,31873,95037,71386,71852,123109,15382,18682,1275062,126296,14146,9522,22142,841193,113063,422111,41770,804837,686276,361078,17210,272404
"2006.",5985002,35520,123104,60253,68707,122309,21654,26166,1419079,132166,26169,9767,23508,913899,125098,455735,53879,873731,767645,399580,33187,293846
"2007.",6430862,39158,142013,71916,74768,107456,23585,24550,1421378,142646,29169,12612,25710,1058591,137252,532213,65754,983184,736216,430739,49378,322574
"2008.",6477972,38002,153357,75955,78673,103001,20207,26688,1459145,129491,31614,12697,23866,1038183,151414,565864,65176,897164,787612,417850,55471,346542
"2009.",5799030,39517,127663,77629,61381,88470,17352,22251,1313177,128927,34324,16302,21346,960056,139741,492087,58597,833314,668541,358611,47728,292016
"2010.",5424058,33506,118108,61934,66439,81321,13035,16936,1193855,123857,28712,14427,17039,911489,118283,471277,50983,805387,656313,296227,60374,284556
"2011.",5602970,37738,121866,59822,40373,84998,15644,22623,1200314,112264,26134,18718,19960,897165,127704,508729,45546,859886,717532,331466,55418,299070
"2012.",5221326,34525,115581,58969,43364,75089,20482,23450,1126350,107396,22209,13948,18716,834921,122156,471601,41954,774305,656538,322040,55926,281806
"2013.",5138485,42400,113090,54584,39662,70376,18782,24297,1108359,108057,25520,17364,24092,700517,114908,526244,48115,773754,614668,342606,66909,304181
"2014.",5160376,38555,134015,51945,31619,72888,17941,26900,1048849,104419,22890,19900,21059,726744,100147,515249,59262,793638,616781,370210,60650,326715
"2015.",5742635,45847,133649,50352,39276,74964,16624,48984,1187129,112743,20601,19234,21637,815585,103181,584666,68493,895319,661409,402094,65109,375739
