"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavaèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1994.",19977000,31451,130761,72435,7972,100195,32977,30338,6295610,288043,10348,27967,13740,115905,96784,102624,29525,1137392,10213003,471290,18501,750139
"1995.",12885359,29054,103960,67782,8093,83121,27624,20699,3880769,300149,7250,24393,16364,119185,75390,88213,23460,765398,6217213,331620,20471,675151
"1996.",21455422,22587,117104,65690,16006,99697,30091,14696,6248644,492608,6324,23311,23632,768878,87956,399067,34110,1849904,9509821,889115,26068,730113
"1997.",30314147,58554,132677,61976,29613,126058,36274,14859,8188079,479663,9421,5838,16822,1782143,146734,1008464,71836,3514331,12300882,1650875,20772,658276
"1998.",31287499,47772,110504,49858,64809,106225,35708,24769,8108680,570331,5590,7083,23682,1948196,121047,1083656,43412,3961782,12488254,1839016,18329,628796
"1999.",26563845,25437,102012,45094,82509,100327,39290,27466,6850521,426745,5458,7064,21039,1660516,93463,891551,47187,3406053,10628107,1505462,14613,583931
"2000.",38405930,25901,112157,47587,142338,111747,30064,27352,9208281,686026,15819,6768,25245,2910915,103920,1704459,40225,5494268,14284770,2781568,18556,627964
"2001.",43404354,32471,111915,60916,178270,110827,27297,23287,10143298,770486,12298,7877,24804,3434798,109521,2297213,49425,6075612,16135451,3128798,19726,650064
"2002.",44692456,35519,129873,69745,213969,124155,27889,22924,10212995,867553,10199,8108,26001,3779272,116584,2536807,52439,6478955,15942279,3260121,16169,760900
"2003.",46635139,41904,130561,68358,250529,148158,31681,25121,10241600,935354,13930,10851,37492,4306698,115537,2846857,47339,6656142,16213896,3656995,21127,835009
"2004.",47797287,53115,114463,86229,275013,141790,22741,22861,10146868,1052650,14125,11239,34229,4540904,110939,2755352,43517,7018491,16532510,3944584,19312,856355
"2005.",51420948,59577,113082,86894,279551,152468,23876,26092,10501921,1120109,16472,12730,34001,5214975,143774,3458089,55536,8028642,16649944,4478495,30577,934143
"2006.",53006946,69764,146504,80025,289151,153845,30947,33794,10741754,1184299,28971,14188,37649,5447660,163363,3749385,66941,8345964,16968695,4385321,50177,1018549
"2007.",56005492,67332,173423,96833,272977,143928,35396,33304,11114744,1315280,34294,15746,40414,6008672,176856,3920068,82703,9246960,17613132,4414009,66249,1133172
"2008.",57103494,69545,186709,101072,278808,137548,32519,36337,11263659,1409793,38171,16720,42231,6237669,188926,3978112,85395,9325458,17965984,4452625,73296,1182917
"2009.",56299647,69809,159056,100995,269419,121017,28126,31835,11161233,1519841,39219,19623,38901,6117731,187422,3799217,78033,8988416,18130006,4324498,67313,1047937
"2010.",56416379,62198,145411,87385,282083,116601,20075,23981,10938291,1618941,34323,18786,31951,6223824,159261,3783823,68383,9364032,17731881,4538026,81526,1085597
"2011.",60354275,66502,153046,87317,269291,118597,25351,30468,11741692,1697107,32917,23627,33127,6481067,173892,3975122,62394,10250215,19095401,4775161,78856,1183125
"2012.",62743463,67703,161811,82303,303522,115008,29037,31924,11974337,1824036,29262,19299,35585,6783072,168122,4139536,60538,10517880,19877368,5188091,89360,1245669
"2013.",64818115,83382,177587,84498,324039,111549,28337,32565,12348195,1949651,32406,22376,43545,6747858,169952,4513814,75606,11467965,19445130,5618286,99182,1442192
"2014.",66483948,93143,210253,76232,331126,117008,31568,36614,12212423,2030496,31626,24733,40668,7184150,150466,4552929,83159,12134612,19545303,5883802,111217,1602420
"2015.",71605315,111629,215831,82198,395348,129882,28017,62864,13070148,2198348,28909,24356,42889,7816872,158226,4822542,94519,13288805,20966561,6135891,127190,1804290
