"","Primorsko-goranska","Zadarska","Šibensko-kninska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Ukupno"
"2005.","3087","2616","2680","1130","3237","535","13285"
"2006.","3289","2726","2752","1196","3334","497","13794"
"2007."," 3310"," 2880"," 2767"," 1240"," 3423","  479","14099"
"2008."," 3431"," 3129"," 2755"," 1254"," 3544","  552","14665"
"2009."," 3373"," 3129"," 2802"," 1401"," 3641","  455","14801"
"2010."," 3225"," 3043"," 2572"," 1445"," 3699","  447","14431"
"2011."," 3226"," 3023"," 2537"," 1473"," 3577","  450","14286"
"2012."," 3089"," 3031"," 2962"," 1337"," 3504","  473","14396"
"2013."," 3011"," 2943"," 2920"," 1441"," 2933","  487","13735"
"2014."," 3117"," 2961"," 2783"," 1588"," 2888","  456","13793"
"2015."," 2848"," 2877"," 2656"," 1755"," 2807","  456","13399"
