"","Primorsko-goranska","Zadarska","Šibensko-kninska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Ukupno"
"2005.","17105","50403","47526","34940","30970","18555","199499"
"2006.","25767","52006","47490","35677","31162","19680","211782"
"2007."," 28007"," 54193"," 48959"," 38304"," 34015"," 17397","220875"
"2008."," 26893"," 58505"," 46396"," 37125"," 31504"," 16601","217024"
"2009."," 26187"," 55289"," 44465"," 33718"," 29573"," 14095","203327"
"2010."," 25463"," 51935"," 48849"," 36465"," 27866"," 15450","206028"
"2011."," 22613"," 47099"," 40899"," 36196"," 25059"," 16591","188457"
"2012."," 20969"," 37413"," 41667"," 41944"," 24677"," 14958","181628"
"2013."," 20898"," 37624"," 41963"," 44649"," 23016"," 14771","182921"
"2014."," 19318"," 35340"," 41303"," 49509"," 22549"," 13303","181322"
"2015."," 20774"," 41483"," 43719"," 50562"," 22609"," 14303","193450"
