"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1998.",116263,13352,7212,4874,2968,9686,15372,10486,1104,2716,6494,2959,6301,2069,7163,719,3831,5780,3369,2575,4573,2660
"1999.",107172,12419,6724,4460,2931,9169,14615,9793,987,1546,6237,2591,5611,2091,6638,701,3569,5218,3038,2271,4231,2332
"2000.",85783,9881,5529,3413,1885,8035,10828,8016,826,1682,6169,1975,3918,1292,4907,455,3244,3893,2556,1670,3501,2108
"2001.",77161,8910,4772,3100,1794,7399,9792,7524,676,1297,5630,1712,3394,1174,4092,444,2914,3502,2370,1530,3238,1897
"2002.",71725,8402,4443,2948,1782,7056,9199,6980,576,972,5062,1584,2997,1103,3816,408,2748,3228,2190,1430,3045,1756
"2003.",61297,7351,3992,2359,1615,5689,6423,6180,499,907,4622,1294,2370,985,3483,355,2578,2942,2014,1315,2795,1529
"2004.",56081,6239,2704,2298,1489,4657,7187,5930,422,818,4256,1282,2196,966,3360,320,2733,2485,1792,1212,2506,1229
"2005.",50762,5403,2001,2158,1296,3831,6709,5478,375,683,4120,1182,2023,852,3272,287,2892,2071,1557,1089,2402,1081
"2006.",45925,4613,1644,1979,1168,3357,6325,5124,334,586,3686,1087,1853,741,3140,254,2726,1767,1352,998,2250,941
"2007.",41888,4178,1346,1811,1004,2843,5896,4709,291,499,3198,975,1691,645,3101,260,2785,1569,1241,932,2075,839
"2008.",38953,3772,1153,1654,963,2617,5555,4358,255,473,3060,918,1554,556,2984,243,2799,1357,1137,858,1935,752
"2009.",36278,3395,1007,1557,907,2395,5157,4058,230,460,2953,848,1479,464,2916,213,2815,1172,1043,671,1848,690
"2010.",32882,3003,864,1372,793,2137,4690,3664,208,405,2804,783,1340,397,2772,204,2605,1037,971,579,1633,621
"2011.",31203,2775,749,1307,701,1912,4481,3558,195,399,2694,746,1334,360,2770,185,2590,933,886,538,1503,587
"2012.",29564,2510,639,1281,615,1706,4175,3358,222,361,2621,716,1216,399,2696,222,2481,911,922,525,1413,575
"2013.",26336,2100,484,1161,516,1443,3774,3016,211,301,2395,651,1081,372,2421,194,2233,827,864,490,1262,540
"2014.",23223,1819,398,993,425,1176,3304,2642,211,261,2099,583,940,371,2136,175,1919,815,827,461,1141,527
