"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1998.",1611167,80427,46992,58639,48535,69378,50900,50039,124717,16219,33028,25581,56566,52128,107745,34652,51423,162519,84150,45783,42596,369150
"1999.",1621585,81780,46368,59770,49366,69801,51307,50076,124720,15249,33561,26042,55841,51983,113018,36214,54205,161921,84220,45713,43050,367380
"2000.",1626127,84153,46180,60179,49265,69434,48249,49330,123858,15800,34270,26467,54233,51044,114554,36527,56618,161665,84107,44706,43334,372154
"2001.",1649979,86497,45620,60990,50251,70146,47256,49159,126182,15246,34499,26958,54944,51949,115797,37009,58035,165741,85905,45287,41854,380654
"2002.",1690937,89728,46465,63705,51904,72120,48241,49313,126920,15861,35339,27526,56714,53270,119605,39050,60972,168963,87710,46124,44038,387369
"2003.",1663054,87430,44547,61575,49432,71191,44907,47043,124761,16830,33691,26371,53847,52450,117670,37739,58963,169682,83946,44125,43781,393073
"2004.",1721637,90424,43611,63966,50522,72025,46671,47543,129330,18569,34038,27556,54584,54909,121888,38628,62577,176996,87014,45880,44714,410192
"2005.",1729664,92674,43273,64724,51811,71923,46193,47342,130481,17640,33843,27761,53744,56354,122542,38552,62801,176917,88562,46166,43694,412667
"2006.",1757714,95027,43532,64663,52434,72455,46287,47799,131493,17341,33538,26602,54669,56003,124100,39613,63113,178197,91554,46973,44603,427718
"2007.",1786681,95769,43571,64662,52870,73121,46083,47864,133818,17339,33466,26362,55412,58253,124783,39030,64542,180480,94349,48441,45421,441045
"2008.",1791657,96108,43028,63798,52631,73265,45029,47411,132462,17394,32660,26006,55046,58528,124626,38935,64352,181188,95687,48610,45500,449393
"2009.",1772255,96491,42181,62152,50531,71352,43258,46531,130967,17361,31772,25477,53687,58146,122807,38089,63605,179775,92314,48172,44811,452776
"2010.",1746111,95276,41696,61970,49229,70353,41571,45314,129513,17073,31087,24881,52512,57098,120767,36727,62834,179364,90979,48147,43529,446191
"2011.",1725662,93457,41824,61465,47772,69965,41121,44421,126901,16737,30816,24546,52505,56633,121759,36022,62458,178996,88413,47346,43772,438733
"2012.",1723043,92842,41758,61374,46966,70206,40834,43730,125326,16598,30653,24374,51906,56551,121846,36623,62202,179958,88080,47255,43202,440759
"2013.",1716194,94660,41757,61109,46902,69892,40309,43652,124183,16847,30599,24285,51805,56076,119181,37000,62747,179220,87053,47340,44053,437524
"2014.",1699428,93622,41608,60257,46338,69071,39466,42639,121737,17102,30420,24422,51042,56256,117300,37004,61453,179653,86545,47971,43312,432210
