"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1994.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1995.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1997.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1998.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1999.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2000.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2001.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2002.",5233,4912,4285,4839,4804,4349,4788,4465,5302,5135,4307,4482,4436,5026,4561,4937,4602,5014,5315,4798,4115,6271
"2003.",5599,5307,4652,5158,5116,4652,5133,4741,5602,5764,4698,4775,4857,5456,4885,5197,4920,5350,5629,5284,4395,6708
"2004.",5916,5652,4791,5359,5498,4887,5403,4958,5925,5444,4821,4943,5045,5765,5101,5507,5126,5625,5915,5717,4702,7136
"2005.",6192,5928,4990,5640,5750,5099,5599,5154,6232,5490,4952,5090,5231,6022,5382,5614,5291,5885,6223,5977,4728,7486
"2006.",6575,6220,5295,6071,6015,5362,5967,5457,6528,5776,5270,5381,5484,6164,5622,5939,5513,6220,6551,6361,5068,8053
"2007.",6995,6587,5731,6382,6358,5626,6191,5752,6908,6209,5524,5661,5787,6539,6068,6336,5806,6660,6879,6744,5310,8635
"2008.",7507,7136,6193,6879,6924,6056,6543,6209,7463,6667,5922,6182,6224,7038,6493,6918,6235,7087,7329,7281,5781,9168
"2009.",7655,7300,6323,7113,7233,6071,6812,6213,7584,6747,6006,6405,6415,7178,6632,7031,6307,7161,7442,7388,5902,9315
"2010.",7677,7266,6356,7023,7214,6048,6845,6246,7558,6800,6077,6341,6437,7182,6686,7048,6379,7207,7477,7454,5873,9376
"2011.",7772,7054,6511,7134,7344,6131,6920,6254,7667,6997,6252,6575,6553,7323,6796,7196,6524,7267,7530,7555,6001,9489
"2012.",7863,7425,6532,7173,7443,6055,7023,6323,7768,6806,6342,6723,6648,7357,6966,7010,6567,7373,7683,7627,6080,9571
"2013.",7926,7358,6555,7134,7382,6118,7123,6382,7865,7016,6423,6574,6750,7546,7055,7124,6538,7366,7743,7661,6117,9694
"2014.",7951,7734,6603,7118,7332,6129,7103,6425,7878,6894,6296,6431,6711,7397,6983,7097,6493,7403,7769,7817,6237,9702
