"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1994.",1302,1347,1227,1318,1270,1272,1320,1200,1369,1198,1207,1187,1171,1309,1159,1203,1200,1180,1453,1109,1320,1408
"1995.",1831,1983,1642,1797,1776,1727,1850,1776,1895,1755,1729,1671,1579,1899,1700,1660,1664,1755,1887,1638,1700,NA
"1996.",2043,2041,1777,2037,2030,1871,1902,1926,2088,1864,1914,1810,1802,2112,1868,1965,1985,2009,2017,1925,1790,2255
"1997.",2356,2271,2027,2383,2280,2086,2138,2143,2392,2123,2188,2118,2146,2359,2199,2266,2052,2317,2316,2293,2012,2640
"1998.",2667,2543,2341,2648,2517,2385,2502,2402,2682,2462,2451,2426,2438,2697,2488,2586,2452,2647,2628,2635,2270,2974
"1999.",2999,2762,2683,2957,2809,2681,2750,2719,3050,2685,2673,2746,2781,2990,2756,2931,2815,3000,2842,2971,2431,3383
"2000.",3291,3018,2910,3301,3099,2888,3023,2975,3301,3092,2932,3037,3047,3236,3032,3282,3182,3267,3154,3179,2741,3711
"2001.",3506,3261,2997,3378,3265,3014,3225,3117,3564,3297,3019,3128,3158,3461,3198,3314,3245,3491,3533,3429,2821,4011
"2002.",3659,3454,3083,3518,3434,3105,3418,3232,3725,3711,3136,3265,3223,3628,3299,3554,3403,3549,3718,3519,2979,4198
"2003.",3949,3769,3402,3757,3679,3348,3702,3460,3993,4110,3459,3488,3564,3960,3540,3761,3633,3830,3984,3789,3221,4539
"2004.",4143,3982,3464,3881,3933,3503,3865,3602,4182,3948,3531,3615,3670,4133,3674,3907,3755,3997,4163,4047,3420,4801
"2005.",4352,4194,3632,4088,4125,3675,4038,3754,4414,4007,3639,3719,3826,4327,3881,4047,3892,4197,4399,4246,3463,5059
"2006.",4569,4368,3827,4345,4283,3835,4245,3928,4591,4192,3843,3901,3981,4423,4034,4234,4006,4394,4596,4481,3661,5358
"2007.",4817,4583,4086,4541,4484,3986,4374,4107,4823,4461,3986,4088,4161,4659,4309,4474,4203,4656,4791,4690,3807,5691
"2008.",5161,4960,4411,4857,4876,4292,4635,4421,5193,4777,4267,4457,4464,4996,4600,4889,4501,4947,5106,5055,4133,6040
"2009.",5271,5053,4499,5029,5077,4318,4838,4440,5285,4841,4349,4603,4599,5105,4707,4963,4563,5002,5201,5155,4220,6159
"2010.",5329,5085,4549,5014,5119,4345,4874,4498,5312,4923,4415,4605,4649,5137,4774,5031,4630,5089,5269,5240,4251,6245
"2011.",5429,4944,4704,5135,5249,4423,4985,4538,5418,5090,4563,4794,4761,5280,4892,5172,4748,5170,5348,5348,4380,6359
"2012.",5469,5209,4711,5138,5303,4374,5057,4587,5464,4947,4632,4899,4840,5268,5011,5042,4804,5221,5411,5376,4443,6366
"2013.",5507,5165,4725,5119,5275,4429,5116,4626,5518,5061,4676,4797,4887,5364,5076,5120,4799,5215,5456,5407,4460,6437
"2014.",5529,5389,4740,5121,5246,4440,5109,4663,5538,5002,4599,4706,4855,5279,5024,5118,4774,5260,5463,5516,4553,6451
