"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1998.",292332,12467,5711,14260,12679,9105,6004,10425,20026,3021,6633,5171,16486,15517,24712,11222,15849,42469,11477,9590,6246,33262
"1999.",318157,14049,6289,15051,14099,10815,7281,11777,21654,3698,7489,5926,16642,15205,29305,12600,17940,42815,11505,9844,7247,36926
"2000.",357711,16865,7902,16481,15301,12214,8162,13438,23423,4026,8981,6886,18267,16014,32884,13298,21336,46997,12743,10906,8344,43243
"2001.",388747,19886,8864,19663,16620,12483,8714,14202,24945,4257,9906,7514,18955,16703,35680,14347,23299,49965,12840,11291,7981,50632
"2002.",415352,21923,9509,22284,17095,13105,10154,15439,23953,4900,11637,8127,20595,17601,38745,15461,24898,52009,13048,12137,8725,54007
"2003.",355808,17382,7419,20070,15427,11203,8545,12890,19484,3720,10902,6733,18250,15111,35742,13580,22212,46462,8354,10561,7645,44116
"2004.",325238,13739,5851,18993,13370,10841,8187,11653,18923,3406,10137,5908,16426,13026,33860,12159,21414,42901,7653,9639,7525,39627
"2005.",329020,14272,6436,19673,14091,10810,8552,12367,19115,3972,10323,6061,16627,12609,34368,11092,21078,41976,7803,9215,7437,41143
"2006.",311311,13510,6076,18672,13685,9857,7861,12403,17585,3826,10177,5773,16183,11691,32362,9896,19755,39505,7687,8607,7063,39137
"2007.",291642,12360,5268,17037,12758,8500,7431,11914,16486,3814,9609,5565,15304,11733,30214,9182,18949,38633,7506,8686,6359,34334
"2008.",255491,10184,4140,15879,11474,7151,6293,10949,14353,3277,8420,5039,13619,10366,27423,7627,17669,34688,6446,7426,5260,27808
"2009.",267244,11240,4923,17031,11618,7986,6171,11625,15174,3287,8681,5475,14068,10865,28673,7860,18227,34874,7764,7487,5702,28513
"2010.",318658,15542,6853,19066,12792,9931,7747,13273,19150,3675,9459,6077,16750,12062,34034,8551,19996,40783,9730,8635,7225,37327
"2011.",330130,16838,7626,18993,11966,10468,7683,12785,19916,3729,10026,6441,17766,11906,34724,8394,20126,42970,10181,8884,7340,41368
"2012.",339882,17246,8248,20350,12073,10780,8340,12684,19588,3462,10853,6726,18000,11955,35700,8793,20491,46360,9599,8994,7771,41869
"2013.",368558,20309,8879,21267,12283,11822,9638,13190,21082,3871,11084,7400,19147,12633,38221,9193,22488,50080,11006,9687,8223,47055
"2014.",376866,20519,8799,21836,11884,10894,9647,13656,21779,4205,11583,7668,19402,12682,40208,9452,23352,51458,11194,10293,8112,48243
