"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1998.",17.4,15.5,12.2,24.3,26.1,13.1,11.8,20.8,16.1,18.6,20.1,20.2,29.1,29.8,22.9,32.4,30.8,26.1,13.6,20.9,14.7,9
"1999.",18.8,17.2,13.6,25.2,28.6,15.5,14.2,23.5,17.4,24.3,22.3,22.8,29.8,29.2,25.9,34.8,33.1,26.4,13.7,21.5,16.8,10.1
"2000.",21,20.0408779247323,17.1113035946297,27.3866298875023,31.0585608444129,17.5908056571708,16.9164127753943,27.2410297993108,18.9111724717015,25.4810126582278,26.2065946892326,26.0173045679525,33.68244426825,31.3729331557088,28.7061124011383,36.4059462863088,37.6841287223145,29.0706089753503,15.1509386852462,24.3949358028005,19.2550883832556,11.6196520795155
"2001.",22.6,22.9903927303837,19.4300745287155,32.239711428103,33.0739686772403,17.7957403130613,18.4399864567462,28.8899285990358,19.7690637333376,27.9220779220779,28.7138757645149,27.8729876103569,34.4987623762376,32.1526882134401,30.8125426392739,38.7662460482585,40.1464633410873,30.1464332904954,14.946743495722,24.9320997195663,19.0686672719453,13.3013182575252
"2002.",23.6,24.4327300285307,20.4648660281933,34.9799858723805,32.9358045622688,18.1711037160288,21.0484857279078,31.3081743150893,18.8725181216514,30.8933862934241,32.9296244941849,29.5248129041633,36.3137849560955,33.0411113196921,32.3941306801555,39.5928297055058,40.8351374401365,30.7812953131751,14.8762968874701,26.313849622756,19.812434715473,13.9420036192881
"2003.",20.6,19.8810476952991,16.6543201562395,32.5943970767357,31.2085288881696,15.7365397311458,19.0282138642083,27.4004634058202,15.6170598183727,22.1033868092692,32.3587901813541,25.5318342118236,33.8923245491857,28.8102955195424,30.3747769185009,35.9839953363894,37.6710818648983,27.3818083238057,9.95163557525076,23.9342776203966,17.461912701857,11.2233605462599
"2004.",18.9,15.1939750508714,13.4163399142418,29.6923365537942,26.4637187759788,15.051718153419,17.5419425339076,24.5104431777549,14.631562669141,18.3423986213582,29.7814207650273,21.4399767745682,30.093067565587,23.7228869584221,27.77960094513,31.4771668219944,34.2202406635026,24.2384008678162,8.7951364148298,21.0091543156059,16.8291810171311,9.66059796388033
"2005.",19,15.4002201264648,14.8730155062048,30.3952166120759,27.1969272934319,15.0299625988905,18.5136276059143,26.1226817624942,14.6496424766824,22.5170068027211,30.5026150163993,21.83278700335,30.937406966359,22.374631791887,28.0458944688352,28.7715293629384,33.5631598222958,23.726380166971,8.81077663106073,19.960577048044,17.0206435666224,9.97002425684632
"2006.",17.7,14.2170120071138,13.957548470091,28.8758640953868,26.0994774383034,13.6043061210406,16.9831702205803,25.9482415950125,13.3733354627243,22.0633181477423,30.3446836424354,21.7013758364033,29.6017852896523,20.8756673749621,26.0773569701853,24.9816979274481,31.3009997940202,22.1692845558567,8.39613779845774,18.3232921039746,15.8352577180907,9.15018774052062
"2007.",16.3,12.9,12.1,26.3,24.1,11.6,16.1,24.9,12.3,22,28.7,21.1,27.6,20.1,24.2,23.5,29.4,21.4,8,17.9,14,7.8
"2008.",14.3,10.5964123694177,9.62164172166961,24.8894949684943,21.8008398092379,9.76045860915854,13.9754380510338,23.0937967982114,10.8355603871299,18.8398298263769,25.780771586038,19.376297777436,24.7411256040403,17.7111809732094,22.004236676135,19.5890586875562,27.456800099453,19.1447557233371,6.7365472843751,15.2766920386752,11.5604395604396,6.18790234827868
"2009.",15.1,11.6487548061477,11.6711315521206,27.402175312138,22.9918267993905,11.192398250925,14.265569374451,24.983344437042,11.5861247489826,18.9332411727435,27.3227999496412,21.4899713467049,26.2037364725166,18.6857221476972,23.3480176211454,20.6358791252068,28.6565521578492,19.3986928104575,8.41042528760535,15.542223698414,12.7245542389146,6.29737441913882
"2010.",18.2,16.3126075821823,16.4356293169609,30.7664999193158,25.9846838245749,14.115958097025,18.6355873084602,29.29116829236,14.7861604626563,21.5252152521525,30.4275098915946,24.4242594751015,31.8974710542352,21.1250831903044,28.1815396590128,23.2825986331582,31.8235350288061,22.7375616065654,10.6947757174733,17.9346584418552,16.5981299823106,8.36569989085392
"2011.",19.1,18.0168419701039,18.2335501147666,30.9005124867811,25.048145357113,14.9617665975845,18.6838841467863,28.7814322054884,15.6941237657702,22.279978490769,32.535046728972,26.2405279882669,33.8367774497667,21.0230784171773,28.5186310662867,23.3024262950419,32.2232540267059,24.0061230418557,11.515274903012,18.7639927343387,16.7687105912455,9.42896932758648
"2012.",19.7,18.575644643588,19.7519038268116,33.1573630527585,25.7058297491803,15.3548129789477,20.4241563403046,29.0052595472216,15.6296379043455,20.8579346909266,35.4059961504584,27.5949782555182,34.6780718992024,21.1402097221977,29.2992794182821,24.0095022253775,32.9426706536767,25.7615665877594,10.8980472297911,19.0329065707333,17.987593166983,9.49929553338673
