"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1998.",1318835,67960,41281,44379,35856,60273,44896,39614,104691,13198,26395,20410,40080,36611,83033,23430,35574,120050,72673,36193,36350,335888
"1999.",1303428,67731,40079,44719,35267,58986,44026,38299,103066,11551,26072,20116,39199,36778,83713,23614,36265,119106,72715,35869,35803,330454
"2000.",1268416,67288,38278,43698,33964,57220,40087,35892,100435,11774,25289,19581,35966,35030,81670,23229,35282,114668,71364,33800,34990,328911
"2001.",1261232,66611,36756,41327,33631,57663,38542,34957,101237,10989,24593,19444,35989,35246,80117,22662,34736,115776,73065,33996,33873,330022
"2002.",1275585,67805,36956,41421,34809,59015,38087,33874,102967,10961,23702,19399,36119,35669,80860,23589,36074,116954,74662,33987,35313,333362
"2003.",1307246,70048,37128,41505,34005,59988,36362,34153,105277,13110,22789,19638,35597,37339,81928,24159,36751,123220,75592,33564,36136,348957
"2004.",1396399,76685,37760,44973,37152,61184,38484,35890,110407,15163,23901,21648,38158,41883,88028,26469,41163,134095,79361,36241,37189,370565
"2005.",1400644,78402,36837,45051,37720,61113,37641,34975,111366,13668,23520,21700,37117,43745,88174,27460,41723,134941,80759,36951,36257,371524
"2006.",1446403,81517,37456,45991,38749,62598,38426,35396,113908,13515,23361,20829,38486,44312,91738,29717,43358,138692,83867,38366,37540,388581
"2007.",1495039,83409,38303,47625,40112,64621,38652,35950,117332,13525,23857,20797,40108,46520,94569,29848,45593,141847,86843,39755,39062,406711
"2008.",1536166,85924,38888,47919,41157,66114,38736,36462,118109,14117,24240,20967,41427,48162,97203,31308,46683,146500,89241,41184,40240,421585
"2009.",1505011,85251,37258,45121,38913,63366,37087,34906,115793,14074,23091,20002,39619,47281,94134,30229,45378,144901,84550,40685,39109,424263
"2010.",1427453,79734,34843,42904,36437,60422,33824,32041,110363,13398,21628,18804,35762,45036,86733,28176,42838,138581,81249,39512,36304,408864
"2011.",1395532,76619,34198,42472,35806,59497,33438,31636,106985,13008,20790,18105,34739,44727,87035,27628,42332,136026,78232,38462,36432,397365
"2012.",1383161,75596,33510,41024,34893,59426,32494,31046,105738,13136,19800,17648,33906,44596,86146,27830,41711,133598,78481,38261,35431,398890
"2013.",1347636,74351,32878,39842,34619,58070,30671,30462,103101,12976,19515,16885,32658,43443,80960,27807,40259,129140,76047,37653,35830,390469
"2014.",1322562,73103,32809,38421,34454,58177,29819,28983,99958,12897,18837,16754,31640,43574,77092,27552,38101,128195,75351,37678,35200,383967
