"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1998.",197062,13404,8058,5507,5701,7984,4184,4549,19305,1593,2830,2254,7290,7167,8954,3447,5785,19923,14307,5160,5351,44309
"1999.",203051,13936,7802,5731,6044,7922,4230,4584,19462,1679,2939,2456,7632,7558,9764,3861,6441,21008,14455,5472,5358,44717
"2000.",199400,14074,7594,5651,6073,7890,4213,4480,17825,1761,3089,2613,7876,7123,9824,3901,6621,21043,14432,5240,5300,42777
"2001.",207721,14452,7619,5569,6247,8212,4326,4635,18662,1869,3219,2891,8116,7724,10247,3970,6953,22835,15393,5657,5547,43578
"2002.",220124,15311,8053,6375,6615,8751,4411,4712,19896,2119,3346,2974,8376,8671,11303,4773,8034,23803,16405,5825,5800,44571
"2003.",233695,16269,8568,6956,6951,9372,4697,4928,20759,2409,3599,3294,8726,9728,12236,5336,8556,25525,17458,6137,6152,46039
"2004.",244675,17280,9085,7345,7426,9961,5005,5163,21442,2622,3901,3328,8804,10307,13085,5832,9002,26878,18371,6350,6490,46998
"2005.",250385,17708,9305,7384,7568,10206,5140,5165,21718,2808,4097,3520,8942,10859,13290,6385,9232,27792,18919,6596,6397,47354
"2006.",256012,18300,9337,7558,7395,10371,5362,5288,21856,2972,4038,3688,9376,11321,13490,6643,9607,28876,19601,6749,6346,47838
"2007.",257496,18323,9330,7634,7477,10593,5329,5330,21638,3026,4065,3717,9615,11749,13546,6342,9632,29396,20115,6805,6419,47415
"2008.",258637,18556,9302,7597,7445,10593,5266,5328,21644,3238,4159,3797,9798,11901,13639,6566,9831,29733,20091,7050,6378,46725
"2009.",251803,17989,9001,7488,7135,10105,4958,5135,21453,3202,4072,3622,9118,11881,12983,6467,9407,30121,19470,7510,6051,44635
"2010.",227764,16031,8004,6504,6559,9093,4424,4478,19829,2817,3740,3230,7573,10854,11577,5896,8541,27671,17999,7200,5265,40479
"2011.",214022,14809,7314,6058,6165,8753,4219,4517,18700,2658,3564,3083,6816,10370,11378,5408,7873,26301,16795,7068,4825,37348
"2012.",205072,14189,7112,5834,5826,8354,4018,4243,17904,2588,3375,2934,6523,10079,11055,5268,7338,25094,16338,6935,4639,35426
"2013.",198415,13486,6783,5590,5579,8104,3847,4141,17745,2422,3396,2853,6347,9785,10844,5174,6866,24426,15919,6851,4393,33864
"2014.",189878,12636,6657,5470,5424,7853,3614,3935,16625,2258,3395,2813,6066,9382,10244,5040,6419,24355,15321,6671,4179,31521
