"","Republika Hrvatska","Zagrebaèka","Krapinsko-zagorska","Sisaèko-moslavèka","Karlovaèka","Varaždinska","Koprivnièko-križevaèka","Bjelovarsko-bilogorska","Primorsko-goranska","Lièko-senjska","Virovitièko-podravska","Požeško-slavonska","Brodsko-posavska","Zadarska","Osjeèko-baranjska","Šibensko-kninska","Vukovarsko-srijemska","Splitsko-dalmatinska","Istarska","Dubrovaèko-neretvanska","Meðimurska","Grad Zagreb"
"1998.",1005510,41204,26011,33998,27187,42603,25340,24579,84282,8889,17071,15197,26489,27375,66916,19264,25958,94347,54997,28458,26426,288919
"1999.",993205,41376,25553,34528,26292,41895,25181,23922,82617,8326,16896,15069,25956,27129,67311,19052,26255,92880,55222,28126,26214,283405
"2000.",983233,43333,25155,34634,26006,41295,25046,23396,81784,8331,16031,14993,24172,26615,66939,18873,25417,89732,54376,26890,26189,284026
"2001.",976350,43249,24365,32658,25590,42052,24424,22798,81899,7823,15744,14841,24479,26348,65778,18248,24869,89439,55302,26809,25088,284547
"2002.",983736,44092,24460,32098,26412,43208,24477,22182,82495,7870,15294,14841,24746,25895,65741,18408,25292,89923,56067,26732,26468,287035
"2003.",1012254,46428,24568,32190,25439,44927,25242,23045,84019,9794,14568,15050,24501,26626,66209,18468,25617,94753,56120,26112,27189,301389
"2004.",1095643,53166,25971,35330,28237,46566,26292,24797,88543,11723,15744,17038,27158,30610,71583,20317,29428,104732,59198,28679,28193,322338
"2005.",1099497,55291,25531,35509,28856,47076,25792,24332,89273,10177,15303,16998,26152,32034,71612,20788,29599,105078,60283,29266,27458,323089
"2006.",1144466,58604,26475,36454,30186,48870,26739,24984,91718,9957,15637,16054,27257,32250,75108,22820,31025,108049,62914,30619,28944,339802
"2007.",1195655,60908,27627,38180,31631,51185,27427,25911,95403,10000,16594,16105,28802,34126,77922,23246,33176,110882,65487,32018,30568,358457
"2008.",1238576,63596,28433,38668,32749,52904,27915,26776,96210,10406,17021,16252,30075,35705,80580,24499,34053,115410,68013,33276,31927,374108
"2009.",1216930,63867,27250,36076,30871,50866,26972,25713,94110,10412,16066,15532,29022,34936,78235,23549,33156,113608,64037,32504,31210,378938
"2010.",1166807,60700,25975,35028,29085,49192,24710,23899,90326,10176,15084,14791,26849,33785,72384,22076,31692,109873,62279,31733,29406,367764
"2011.",1150307,59035,26135,35107,28940,48832,24738,23561,88090,9951,14532,14276,26589,33997,72887,22035,31869,108792,60551,30856,30104,359430
"2012.",1148525,58897,25759,33909,28452,49366,24301,23445,87612,10187,13804,13998,26167,34118,72395,22340,31892,107593,61221,30801,29379,362889
"2013.",1122885,58765,25611,33091,28524,48523,23050,23305,85145,10253,13724,13381,25230,33286,67695,22439,31160,103887,59264,30312,30175,356065
"2014.",1109461,58648,25754,31958,28605,49148,22901,22406,83122,10378,13343,13358,24634,33821,64712,22337,29763,103025,59203,30546,29880,351919
