"","Županija","County.of","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"1","Republika Hrvatska","Republic of Croatia",2316500,2130107,2232283,2829231,1121083,2082914,2909571,2853778.702
"2","Zagrebaèka","Zagreb",20991,22993,14061,7547,10966,12949,20307,112199.683
"3","Krapinsko-zagorska","Krapina-Zagorje",4276,5588,925,7858,3071,3989,34365,32259.755
"4","Sisaèko-moslavèka","Sisak-Moslavina",131542,207631,360406,341626,299366,205811,112279,20262.761
"5","Karlovaèka","Karlovac",6674,13889,16778,19107,4835,6137,5089,22961.253
"6","Varaždinska","Varaždin",76661,60790,34866,66333,72379,35651,27596,36434.616
"7","Koprivnièko-križevaèka","Koprivnica-Križevci",7030,12785,19352,20414,23410,10942,14797,13326.195
"8","Bjelovarsko-bilogorska","Bjelovar-Bilogora",10214,2772,2905,12402,1642,2997,4915,7602.111
"9","Primorsko-goranska","Primorje-Gorski kotar",829995,1261578,881590,486722,182342,276424,201430,171727.399
"10","Lièko-senjska","Lika-Senj",8992,2895,1747,1376,978,847,21224,11471.659
"11","Virovitièko-podravska","Virovitica-Podravina",15113,12717,7270,13179,8897,2319,3979,14604.356
"12","Požeško-slavonska","Požega-Slavonia",4326,4713,1883,4191,6570,4654,4960,14982.369
"13","Brodsko-posavska","Slavonski Brod-Posavina",4510,3365,7100,52914,1257,716,2218,5605.051
"14","Zadarska","Zadar",670,50950,14553,141781,5241,2213,1477,111450.067
"15","Osjeèko-baranjska","Osijek-Baranja",52510,30919,216834,53774,48115,261777,104647,194258.675
"16","Šibensko-kninska","Šibenik-Knin",12631,5862,13811,14317,3517,5321,24961,12111.518
"17","Vukovarsko-srijemska","Vukovar-Sirmium",48360,16456,21848,68857,8040,14483,20382,42898.206
"18","Splitsko-dalmatinska","Split-Dalmatia",70240,50713,44072,21589,25721,84438,119034,150639.73
"19","Istarska","Istria",97668,83001,53803,73553,96176,103962,60386,220975.045
"20","Dubrovaèko-neretvanska","Dubrovnik-Neretva",9026,2459,3434,8405,6615,25516,25063,35514.724
"21","Meðimurska","Meðimurje",72198,50914,45688,55825,55156,49145,28207,72500.944
"22","Grad Zagreb","City of Zagreb",832873,227117,469357,1357461,256789,972623,2072255,1549992.585
