"","Županija","County.of","X2008.","X2009.","X2010.","X2011.","X2012.","X2013.","X2014.","X2015"
"1","Republika Hrvatska","Republic of Croatia","1152673","1009807","2174666","2427888",2383292,"2607240","3789655","3588713.958"
"2","Zagrebaèka","Zagreb","43922","36440","40898","47903",44943,"42982","165713","24569.017"
"3","Krapinsko-zagorska","Krapina-Zagorje","3402","4733","4622","19404",61208,"6278","104963","10720.248"
"4","Sisaèko-moslavèka","Sisak-Moslavina","1789","5240","4086","5024",7477,"13042","7368","1400.795"
"5","Karlovaèka","Karlovac","3925","3161","3992","5728",7473,"5086","6134","371.949"
"6","Varaždinska","Varaždin","155884","92347","131331","41732",183566,"226703","20479","15415.06"
"7","Koprivnièko-križevaèka","Koprivnica-Križevci","2634","2912","2112","2422",2483,"2439","3816","3745.28"
"8","Bjelovarsko-bilogorska","Bjelovar-Bilogora","8822","13335","24030","33477",8275,"26209","10164","1821.68"
"9","Primorsko-goranska","Primorje-Gorski kotar","145233","130359","89210","114964",102254,"321654","265052","28986.723"
"10","Lièko-senjska","Lika-Senj","486","26","24","82",1537,"1200","1342","-"
"11","Virovitièko-podravska","Virovitica-Podravina","997","1757","1746","1689",2190,"10380","11003","-"
"12","Požeško-slavonska","Požega-Slavonia","2282","-","-","-",60,"-","-","27.388"
"13","Brodsko-posavska","Slavonski Brod-Posavina","1294","1367","1390","3507",4163,"7518","3349","3918.303"
"14","Zadarska","Zadar","-","13462","7460","79983",53671,"17082","25136","2844.248"
"15","Osjeèko-baranjska","Osijek-Baranja","16518","12171","24955","69681",66779,"54098","51057","5990.455"
"16","Šibensko-kninska","Šibenik-Knin","12272","1376","9494","4831",16436,"19520","8809","95.541"
"17","Vukovarsko-srijemska","Vukovar-Sirmium","3506","2922","2570","4212",2720,"4106","2512","18396.172"
"18","Splitsko-dalmatinska","Split-Dalmatia","90940","31878","101834","111512",102217,"100909","106741","28287.813"
"19","Istarska","Istria","78882","92183","94436","102713",42655,"120951","69918","1683.267"
"20","Dubrovaèko-neretvanska","Dubrovnik-Neretva","35056","28763","32325","36473",38001,"39387","40609","-"
"21","Meðimurska","Meðimurje","37684","30129","46504","48170",66220,"67376","64443","528.195"
"22","Grad Zagreb","City of Zagreb","507145","505246","1551647","1694381",1568964,"1520320","2821047","3439911.824"
