"Županija","County.of","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Republika Hrvatska","Republic of Croatia",180240906.495493,194270791.485658,211579482.185855,232382650.966158,250873191.347485,270191144.884973,294436989.855116,322309639.65365,347685001.82664,330965750.26483,328040520.23383,332586977.75418,330455962.13504,329571343.18849,328109379.179691
"Grad Zagreb","City of Zagreb",52965491.6609614,58771502.5970736,63149583.5945854,70924801.5678203,77494847.2917873,86020431.8203064,94131173.9550301,101997827.24441,111041764.560995,105965456.805999,110378136.389311,111165176.131798,110319870.136375,109236356.641636,109098167.749339
"Zagrebačka","Zagreb",9977815.19548463,9717580.10422608,11878357.3735857,12667873.6913833,13874754.2098984,15506160.2335288,15958050.9030685,18082801.3189011,19458139.1920385,19144009.663927,17912055.3569774,18668409.6598423,18651750.2817631,18780295.8342358,19169563.1027578
"Krapinsko-zagorska","Krapina-Zagorje",4383572.62322327,4947400.2787348,5089786.79069194,5364606.76543023,5468028.63950608,6064180.78359176,6306569.80186616,6983679.59428721,7070087.57741223,6401102.97636876,6002298.09552732,6189031.01315554,6190167.96253104,6327640.46795473,6489202.61597223
"Varaždinska","Varaždin",6879208.57049108,7525274.61274383,8494431.19055399,8910646.60048662,8743381.62469298,9136623.18667582,9874327.53492329,10690123.0294099,11916147.1886458,11442922.2613848,10714145.2384183,10894804.9615874,10932956.2712823,11116028.9497409,11175353.6322954
"Koprivničko-križevačka","Koprivnica-Križevci",5761334.19665425,5993733.91371754,6400600.3131392,6655562.5949964,6589948.8585532,6675190.68686956,7790914.58259907,8136416.11795286,8049433.56982671,8365689.93417442,7706192.10512768,8019812.37550807,7906187.98661396,7592281.84208579,7419887.33859726
"Međimurska","Međimurje",3933991.81465465,4267784.77169273,4801192.21019117,4977987.55846345,5194707.19875376,5503472.78553895,6211047.00687468,6600870.80235173,7539679.08800601,7219907.48416737,6929738.00281566,7146082.97257995,7205204.33987352,7284755.96703303,7493343.18748134
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",4032862.73564508,4347268.614045,4805800.05716131,4959567.10808299,5193185.14443613,5253418.64170888,5985416.50216364,6036551.62151898,7027915.25455922,6840327.67874834,6209439.9102165,6251864.84409514,6108077.18792424,6050257.33210347,6178567.17336488
"Virovitičko-podravska","Virovitica-Podravina",2770522.93524977,3096167.77424168,3299180.82978446,3509974.79736952,3553649.38384747,3582585.46627044,4123547.60446227,4409069.10383583,4522831.21564337,4073489.64085185,3846753.23759589,3983017.61715194,3907597.48240164,3799519.29385396,3540222.70255736
"Požeško-slavonska","Požega-Slavonia",2512276.48964869,2694836.53395944,2848203.69233041,3198672.84149475,3382493.20734665,3465527.45285547,3534819.95722645,3743550.50811285,4016308.00854177,3723008.71832287,3672569.25384791,3632428.66236945,3518480.28790329,3503368.86795599,3332089.78210347
"Brodsko-posavska","Slavonski Brod-Posavina",4352784.46478489,4757896.91460277,5134797.6254552,5429962.60574659,5846850.32895037,5765350.87795706,6301150.17951041,6808739.15044664,7540910.97201057,7035518.30108105,6802393.19136994,6944681.1304078,6919483.01414501,6913660.17909077,6647578.19554873
"Osječko-baranjska","Osijek-Baranja",10459581.6078703,11110900.1543016,12479045.9454361,12947119.8702223,14117918.2414424,15328771.9462569,16708811.0112242,19323873.197074,20697688.5609761,19529010.6760624,18410326.3766492,18848815.817868,18428935.7077429,18502322.6888668,18303413.9160249
"Vukovarsko-srijemska","Vukovar-Sirmium",4837415.33189308,5226917.415653,5725647.75826795,6236994.4600563,6505708.84342083,6964387.63046339,8023833.83322359,8297574.09007682,9243619.29510101,8682139.67432532,8080302.33021703,8280522.58607439,8005574.11061753,8018742.28431487,7783581.2928839
"Karlovačka","Karlovac",4515337.63056821,5394982.45786,5850190.80185444,5755881.51903242,5818904.66033294,6180594.60666052,6920053.59508068,7699167.5985997,8040041.19939525,7338838.61709959,7136574.91420897,7398642.51906348,7275770.12920728,7381857.16218111,7213173.97240267
"Sisačko-moslavačka","Sisak-Moslavina",6981338.38812163,6937189.81832609,7123637.75331146,7401036.5455942,7645801.49943907,8259626.9320874,9446890.75717798,9087927.1435322,10331352.1399894,10260129.2015647,10268731.5487416,10566226.4284482,10376593.2248369,9900192.44297135,9256966.17331372
"Primorsko-goranska","Primorje-Gorski kotar",15859961.160155,15766781.0063623,16516604.912851,18916700.201962,19914721.0247764,22287094.9982588,23997308.6153589,25621704.3901686,28945150.5283409,27156012.8111904,27075161.2781267,27763945.9678161,29117950.2603923,28856434.1288132,28123011.5134018
"Ličko-senjska","Lika-Senj",1815813.20324089,1896691.80677606,2310263.95117987,2924415.6135092,3937518.30469059,3044435.74882412,3155756.08175709,3081583.60621567,3581605.19392508,3285360.84888466,3088868.76692191,3040347.45840373,2913357.14143791,2924101.41837119,2898250.42599647
"Zadarska","Zadar",4843221.33110922,5539681.12439835,6184380.07851962,7447502.67546011,7920978.66418683,8685121.79462097,9113360.07388653,10650739.7382821,11785749.8104087,10915021.3730741,10459335.0753143,10497842.1678432,10506113.6717507,10616339.5337364,10713580.6424096
"Šibensko-kninska","Šibenik-Knin",3257848.22557737,3406309.28181492,3809295.24538148,4420868.85736207,4951101.06684887,5568343.58036088,5631168.95918474,6683374.31869388,6779187.2135551,5990728.06207539,6307867.50323901,6424381.94960877,6364899.61196097,6485585.79352257,6490366.38632145
