"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",2372,2458,2501,2569,2668,2966,2576,2216,2246,1933,1593,1496,1323,1218
"Zagrebaèka županija","Zagreb",337,269,243,310,290,291,245,280,368,378,268,144,176,158
"Krapinsko-zagorska županija","Krapina-Zagorje",48,28,47,56,52,60,81,68,67,48,45,57,37,36
"Sisaèko-moslavaèka županija","Sisak-Moslavina",104,94,105,75,79,67,72,102,79,63,71,88,64,29
"Karlovaèka županija","Karlovac",56,24,24,40,49,58,44,38,31,26,21,36,31,29
"Varaždinska županija","Varaždin",73,73,63,100,113,132,125,85,109,77,83,58,43,60
"Koprivnièko-križevaèka županija","Koprivnica-Križevci",36,61,73,67,113,86,85,62,53,38,38,32,18,24
"Bjelovarsko-bilogorska županija","Bjelovar-Bilogora",45,48,53,60,67,76,69,56,66,74,36,33,40,26
"Primorsko-goranska županija","Primorje-Gorski kotar",145,198,165,189,194,176,163,156,119,163,103,122,122,60
"Lièko-senjska županija","Lika-Senj",8,14,25,27,34,38,49,35,24,35,28,22,28,23
"Virovitièko-podravska županija","Virovitica-Podravina",26,40,49,44,53,45,33,60,43,35,40,20,15,18
"Požeško-slavonska županija","Požega-Slavonia",99,138,101,62,73,47,44,51,32,21,15,21,28,12
"Brodsko-posavska županija","Slavonski Brod-Posavina",189,141,202,241,229,259,223,149,140,129,68,89,39,40
"Zadarska županija","Zadar",34,50,71,30,26,29,52,42,79,64,77,53,86,65
"Osjeèko-baranjska županija","Osijek-Baranja",223,215,222,189,234,234,189,166,128,137,99,115,101,67
"Šibensko-kninska županija","Šibenik-Knin",46,80,74,63,74,62,35,15,45,53,64,33,36,27
"Vukovarsko-srijemska županija","Vukovar-Sirmium",212,153,106,167,115,123,115,122,90,95,77,70,41,37
"Splitsko-dalmatinska županija","Split-Dalmatia",58,42,77,74,71,51,54,44,59,61,62,62,67,70
"Istarska županija","Istria",132,115,162,147,128,207,172,98,132,134,102,132,122,167
"Dubrovaèko-neretvanska županija","Dubrovnik-Neretva",50,38,41,60,53,54,53,99,85,66,84,133,94,47
"Meðimurska županija","Meðimurje",59,82,127,112,123,181,143,196,145,69,94,86,65,67
"Grad Zagreb","City of Zagreb",392,555,471,456,498,690,530,292,352,167,118,90,70,156
