"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",19549,21245,20358,23484,25517,24877,24585,17018,13378,13470,9742,7744,7743,6950,9398
"Zagrebačka","Zagreb",914,903,944,1582,1119,1175,1752,1401,815,710,598,345,269,260,327
"Krapinsko-zagorska","Krapina-Zagorje",218,238,179,190,179,330,307,418,152,140,152,77,84,59,99
"Sisačko-moslavačka","Sisak-Moslavina",267,304,240,236,186,307,485,461,285,284,191,268,73,65,76
"Karlovačka","Karlovac",152,152,248,272,414,281,372,255,227,130,159,178,119,92,88
"Varaždinska","Varaždin",478,397,534,454,770,378,897,451,468,446,145,185,232,227,190
"Koprivničko-križevačka","Koprivnica-Križevci",224,226,314,264,404,323,207,193,204,182,80,83,85,80,180
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",273,240,242,305,265,335,440,354,195,230,142,99,90,75,80
"Primorsko-goranska","Primorje-Gorski kotar",2036,2859,2559,2832,2545,2837,2731,2206,1561,1625,1246,952,891,1030,940
"Ličko-senjska","Lika-Senj",325,546,1015,661,519,358,628,602,376,279,245,222,352,282,262
"Virovitičko-podravska","Virovitica-Podravina",136,136,135,142,209,205,190,177,168,157,78,37,52,49,36
"Požeško-slavonska","Požega-Slavonia",169,170,127,155,198,157,170,146,144,161,76,56,73,61,40
"Brodsko-posavska","Slavonski Brod-Posavina",342,441,430,573,526,635,610,384,285,309,228,102,159,95,156
"Zadarska","Zadar",1806,1638,1287,1457,660,656,1054,1417,1585,1576,1066,846,1134,966,1480
"Osječko-baranjska","Osijek-Baranja",752,732,646,1150,1807,1509,1090,980,662,501,692,237,194,108,223
"Šibensko-kninska","Šibenik-Knin",459,591,863,1040,957,923,250,343,495,499,457,417,316,286,430
"Vukovarsko-srijemska","Vukovar-Sirmium",337,496,593,527,470,417,821,668,426,656,215,113,236,109,142
"Splitsko-dalmatinska","Split-Dalmatia",2355,2739,2830,2269,2428,2803,2225,1671,1149,1498,925,1110,1133,900,1235
"Istarska","Istria",1766,2592,2284,1664,1797,1531,1398,1444,1082,1133,857,745,582,606,816
"Dubrovačko-neretvanska","Dubrovnik-Neretva",666,939,828,796,713,922,601,469,628,485,441,281,222,413,314
"Međimurska","Međimurje",210,213,167,389,383,278,352,373,188,197,144,228,155,192,268
"Grad Zagreb","City of Zagreb",5664,4693,3893,6526,8968,8517,8005,2605,2283,2272,1605,1163,1292,995,2016
