"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia","1572","1670",1538,1565,1440,1423,1392,1419,1458,1382,1640,1259,1002,1195
"Zagrebaèka županija","Zagreb","59","69",71,72,59,45,22,43,42,70,106,52,66,54
"Krapinsko-zagorska županija","Krapina-Zagorje","42","55",76,56,65,53,20,28,27,29,39,22,22,28
"Sisaèko-moslavaèka županija","Sisak-Moslavina","108","166",85,70,83,79,41,40,39,62,68,37,38,51
"Karlovaèka županija","Karlovac","75","82",75,85,65,37,56,72,66,37,23,23,19,33
"Varaždinska županija","Varaždin","53","58",32,18,17,23,41,32,45,39,54,44,51,63
"Koprivnièko-križevaèka županija","Koprivnica-Križevci","76","75",118,128,76,102,64,74,57,50,76,82,43,46
"Bjelovarsko-bilogorska županija","Bjelovar-Bilogora","41","36",45,49,61,32,62,46,94,52,47,32,36,68
"Primorsko-goranska županija","Primorje-Gorski kotar","97","103",101,116,111,108,100,138,141,142,140,130,60,83
"Lièko-senjska županija","Lika-Senj","53","48",37,26,33,31,27,27,43,18,21,29,22,21
"Virovitièko-podravska županija","Virovitica-Podravina","55","57",75,64,60,66,40,32,29,38,26,26,39,48
"Požeško-slavonska županija","Požega-Slavonia","27","47",33,38,26,35,23,19,24,29,45,32,29,13
"Brodsko-posavska županija","Slavonski Brod-Posavina","26","56",32,26,15,22,26,18,23,13,26,25,14,19
"Zadarska županija","Zadar","35","53",15,48,45,37,85,45,73,67,68,66,35,55
"Osjeèko-baranjska županija","Osijek-Baranja","215","209",225,206,187,189,224,154,150,164,155,140,105,109
"Šibensko-kninska županija","Šibenik-Knin","15","21",18,14,7,20,7,20,14,12,34,8,13,11
"Vukovarsko-srijemska županija","Vukovar-Sirmium","66","70",97,81,70,76,109,109,111,70,88,60,54,68
"Splitsko-dalmatinska županija","Split-Dalmatia","99","91",64,99,90,104,134,123,81,92,96,75,51,37
"Istarska županija","Istria","76","89",77,91,82,98,98,164,178,161,269,188,120,103
"Dubrovaèko-neretvanska županija","Dubrovnik-Neretva","22","23",33,39,35,58,33,32,43,48,45,35,41,47
"Meðimurska županija","Meðimurje","51","82",55,82,99,76,71,91,84,85,122,61,61,74
"Grad Zagreb","City of Zagreb","273","169",168,150,151,127,96,100,79,92,84,84,73,159
"Nerasporedeno","Unclassified","8","11",6,7,3,5,13,12,15,12,8,8,10,5
