"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia","1679263","1765469",1700479,1982425,2150055,2088495,1994128,1581068,1279630,1230863,901709,733322,705309,650126
"Zagrebaèka","Zagreb","114095","99234",112533,159101,129991,132739,178743,170867,110390,89520,64194,42380,34880,32432
"Krapinsko-zagorska","Krapina-Zagorje","25655","26157",20627,22958,22176,35366,31220,41248,17688,16643,16764,9930,9285,7776
"Sisaèko-moslavaèka","Sisak-Moslavina","27925","28182",25506,25256,21065,28457,44091,44601,31135,25787,20142,27406,7081,6315
"Karlovaèka","Karlovac","13982","13245",21199,25913,37842,25568,33980,29053,20635,13724,15266,16017,10891,8762
"Varaždinska","Varaždin","45742","43134",50800,49211,78012,41956,80618,51357,49433,42119,19676,19852,25242,23254
"Koprivnièko-križevaèka","Koprivnica-Križevci","29744","28926",33663,33673,48665,38371,22874,21337,19598,18957,9337,8707,8346,8440
"Bjelovarsko-bilogorska","Bjelovar-Bilogora","28165","24000",25530,30596,26294,30707,37158,34861,22353,21694,13779,11055,9543,7914
"Primorsko-goranska","Primorje-Gorski kotar","172339","233463",219915,223547,202801,222754,214698,176969,136265,145591,111858,88945,79750,94495
"Lièko-senjska","Lika-Senj","21285","34216",56867,42161,35132,27828,45405,41854,25965,22401,19593,18087,26578,21488
"Virovitièko-podravska","Virovitica-Podravina","13865","15814",14327,18423,21619,20969,19629,19839,17173,17310,8330,5365,5754,5817
"Požeško-slavonska","Požega-Slavonia","19532","19623",15482,18782,21633,17754,15941,15388,13868,15113,6947,6200,6941,7703
"Brodsko-posavska","Slavonski Brod-Posavina","38011","52423",55113,70315,63124,65987,66475,45777,35206,33588,23050,13087,18538,12733
"Zadarska","Zadar","116739","110394",85896,98223,46478,47724,74510,117627,137476,124540,90098,72428,90282,78440
"Osjeèko-baranjska","Osijek-Baranja","76350","70804",68970,101148,146389,116372,91643,89986,58484,47451,57760,25622,20874,15950
"Šibensko-kninska","Šibenik-Knin","34645","43244",67183,74397,65725,67299,18264,31222,46247,49161,43475,38134,29936,26949
"Vukovarsko-srijemska","Vukovar-Sirmium","30894","43327",47786,49694,46896,39021,67196,53882,42115,52702,22112,12673,17890,11625
"Splitsko-dalmatinska","Split-Dalmatia","174459","182050",199854,166384,167793,197210,160569,128526,98744,119651,76882,92959,89190,79772
"Istarska","Istria","152276","207200",171930,131268,146157,126488,121206,145881,117538,122394,90400,79725,64738,59980
"Dubrovaèko-neretvanska","Dubrovnik-Neretva","55238","76118",67196,67481,60431,76417,54158,47146,54578,46607,50725,35764,26491,36106
"Meðimurska","Meðimurje","33357","34847",28858,52731,59700,46219,53930,47494,26586,30090,20772,25002,19658,21658
"Grad Zagreb","City of Zagreb","454965","379068",311244,521163,702132,683289,561820,226153,198153,175820,120549,83984,103421,82517
