"Županija","County of","2002. broj","2002. povrsina, m2","2003. broj","2003. povrsina, m2","2004. broj","2004. povrsina, m2","2005. broj","2005. povrsina, m2","2006. broj","2006. povrsina, m2","2007. broj","2007. povrsina, m2","2008. broj","2008. povrsina, m2","2009. broj","2009. povrsina, m2","2010. broj","2010. povrsina, m2","2011. broj","2011. povrsina, m2","2012. broj","2012. povrsina, m2","2013. broj","2013. povrsina, m2","2014. broj","2014. povrsina, m2","2015. broj","2015. povrsina, m2"
"Republika Hrvatska","Republic of Croatia",18047,1438741,18460,1528821,18763,1567929,19995,1700878,22121,1848602,25609,2075193,25368,2037319,18740,1563538,14972,1324347,12390,1120032,11792,1017301,10090,917330,7805,739292,8059,733413
"Zagrebaèka županija","Zagreb",1199,126762,901,99156,801,92165,1540,157759,1117,120549,867,105319,959,103665,780,91325,1086,128131,774,100232,803,90990,524,60315,449,58004,414,51379
"Krapinsko-zagorska županija","Krapina-Zagorje",203,21489,175,17715,205,22786,229,24849,180,20125,181,20952,266,28305,255,26444,243,25693,236,22091,180,19177,103,14713,96,11915,115,12235
"Sisaèko-moslavaèka županija","Sisak-Moslavina",1113,70229,787,54333,482,39468,405,34701,301,29498,262,25657,322,29916,385,37985,346,32580,285,27341,305,27673,293,28532,166,17886,94,10052
"Karlovaèka županija","Karlovac",506,32218,316,20415,286,18577,252,21475,470,37952,274,25628,339,27302,198,19468,131,13343,142,13353,164,14308,238,20692,176,16745,113,11220
"Varaždinska županija","Varaždin",319,32708,347,36568,349,34483,522,54078,354,41646,695,68741,421,47440,484,50259,403,44110,267,29188,274,28917,306,28646,236,23023,162,19532
"Koprivnièko-križevaèka županija","Koprivnica-Križevci",135,14648,177,20883,333,33347,215,25075,282,38104,366,39584,253,31037,203,22972,151,18226,218,19606,133,15351,109,12029,111,10685,141,13290
"Bjelovarsko-bilogorska županija","Bjelovar-Bilogora",261,22369,337,28954,297,26219,294,27409,267,25966,349,33869,306,30037,345,28993,343,32937,182,23419,156,15731,105,11315,168,17106,101,10781
"Primorsko-goranska županija","Primorje-Gorski kotar",1636,127947,2072,170726,1879,160306,2257,184099,2474,198268,2828,221121,2617,205995,2363,188857,1450,118875,1509,135496,1557,130031,1705,142983,1052,95303,741,65882
"Lièko-senjska županija","Lika-Senj",392,24098,463,27605,578,36375,342,25322,392,28124,341,26469,773,48201,459,32151,221,18211,405,29450,232,17070,183,14184,327,25264,271,20009
"Virovitièko-podravska županija","Virovitica-Podravina",160,14773,170,14785,265,22646,200,19204,226,21828,192,19381,201,17399,196,22470,151,15965,141,13961,145,15128,51,6110,39,4616,46,6064
"Požeško-slavonska županija","Požega-Slavonia",479,38389,679,59352,727,54061,327,28650,329,29870,184,19381,276,24343,150,16831,124,13444,176,14612,79,7528,48,5972,101,9933,46,4732
"Brodsko-posavska županija","Slavonski Brod-Posavina",530,60364,577,57225,576,64559,535,66654,590,67362,468,57370,510,60652,467,49040,432,46811,378,43616,213,22858,362,38423,156,16937,103,12700
"Zadarska županija","Zadar",851,56913,836,55236,1017,71384,1237,87161,1119,73019,1035,72730,1345,90243,949,67334,1069,87246,1093,88036,1252,98007,845,67523,927,77159,950,76660
"Osjeèko-baranjska županija","Osijek-Baranja",1154,97756,790,77642,861,84890,718,70736,1274,107074,1404,117432,1440,108280,771,70608,851,70043,606,56514,412,40442,495,46950,534,47918,274,26555
"Šibensko-kninska županija","Šibenik-Knin",691,48696,657,43385,641,48536,679,53035,1300,88775,1082,79174,584,40118,256,19564,399,36283,327,33145,394,37777,384,37652,267,24410,337,29037
"Vukovarsko-srijemska županija","Vukovar-Sirmium",1882,121106,943,67134,659,52060,613,53893,481,42497,457,43731,486,47086,795,65736,503,41213,423,38982,326,29760,352,31527,211,18186,378,29659
"Splitsko-dalmatinska županija","Split-Dalmatia",1286,95925,1288,97179,2356,162432,2158,151628,2277,158911,2737,192066,2706,191795,2553,175343,1218,92811,1300,99201,1069,85521,1134,90314,866,72169,999,78078
"Istarska županija","Istria",1240,101384,1516,120440,1431,120324,1822,145326,1552,120572,1972,156361,1805,143437,1368,108573,1063,91602,814,79340,672,63987,916,85710,735,73665,588,66970
"Dubrovaèko-neretvanska županija","Dubrovnik-Neretva",483,41412,557,48206,778,64160,628,51975,612,52951,676,56226,672,55294,438,43204,507,48191,554,51471,524,52632,525,57914,323,41620,230,24932
"Meðimurska županija","Meðimurje",186,25045,245,33325,227,38709,251,39712,385,48806,344,54727,343,49855,402,57020,342,45875,172,23970,173,26677,185,26816,227,26296,158,22942
"Grad Zagreb","City of Zagreb",3341,264510,4627,378557,4015,320442,4771,378137,6139,496705,8895,639274,8744,656919,4923,369361,3939,302757,2388,177008,2729,177736,1227,89010,638,50452,1798,140704
