"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",13185,13647,12741,13818,13575,12801,12281,11736,10087,9601,8330,6687,6589,6328,8018
"Zagrebačka","Zagreb",986,917,899,960,1007,917,969,1099,808,776,704,503,514,408,486
"Krapinsko-zagorska","Krapina-Zagorje",411,420,368,397,369,387,383,361,257,225,214,178,175,182,253
"Sisačko-moslavačka","Sisak-Moslavina",397,553,411,350,343,394,421,478,353,355,305,315,144,152,199
"Karlovačka","Karlovac",332,341,398,428,409,359,358,404,308,223,210,174,233,237,204
"Varaždinska","Varaždin",575,537,452,429,414,420,642,490,427,378,309,251,309,325,429
"Koprivničko-križevačka","Koprivnica-Križevci",521,494,542,622,570,529,351,323,268,229,230,219,179,189,256
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",545,466,380,451,419,392,473,412,364,379,305,244,222,227,313
"Primorsko-goranska","Primorje-Gorski kotar",1238,1482,1507,1419,1276,1367,1258,1209,989,998,801,633,559,657,674
"Ličko-senjska","Lika-Senj",209,235,359,289,275,310,349,303,245,228,197,198,214,177,240
"Virovitičko-podravska","Virovitica-Podravina",268,293,311,336,364,303,283,270,256,257,160,129,193,191,166
"Požeško-slavonska","Požega-Slavonia",238,257,213,238,238,210,155,190,159,194,148,112,97,101,96
"Brodsko-posavska","Slavonski Brod-Posavina",413,517,514,619,550,559,610,446,359,334,259,183,281,185,190
"Zadarska","Zadar",623,636,454,648,276,263,477,666,751,737,642,484,511,505,713
"Osječko-baranjska","Osijek-Baranja",1032,1086,1083,1294,1357,1046,891,784,631,663,614,436,410,330,596
"Šibensko-kninska","Šibenik-Knin",183,252,383,415,315,288,125,196,280,242,308,223,198,184,254
"Vukovarsko-srijemska","Vukovar-Sirmium",456,497,485,612,563,476,558,561,439,533,358,226,228,226,290
"Splitsko-dalmatinska","Split-Dalmatia",902,971,875,858,794,827,859,701,647,617,483,478,471,423,535
"Istarska","Istria",1035,1207,1044,896,1101,882,832,1173,1046,920,929,752,642,559,785
"Dubrovačko-neretvanska","Dubrovnik-Neretva",347,418,432,439,402,501,286,314,325,303,286,193,221,224,296
"Međimurska","Međimurje",531,507,359,481,535,458,550,487,355,352,364,324,320,285,375
"Grad Zagreb","City of Zagreb",1935,1550,1266,1630,1995,1908,1438,857,805,646,496,424,458,556,667
"Neraspoređeno","Unclassified",8,11,6,7,3,5,13,12,15,12,8,8,10,5,1
