"Županija","County of","2002. broj","2002. povrsina, m2","2003. broj","2003. povrsina, m2","2004. broj","2004. povrsina, m2","2005. broj","2005. povrsina, m2","2006. broj","2006. povrsina, m2","2007. broj","2007. povrsina, m2","2008. broj","2008. povrsina, m2","2009. broj","2009. povrsina, m2","2010. broj","2010. povrsina, m2","2011. broj","2011. povrsina, m2","2012. broj","2012. povrsina, m2","2013. broj","2013. povrsina, m2","2014. broj","2014. povrsina, m2","2015. broj","2015. povrsina, m2"
"Republika Hrvatska","Republic of Croatia",2467,970385,1366,322183,2279,1279885,2351,1619520,2240,1892920,2081,2191916,1775,1772025,1701,1693253,1383,1497999,1309,1082003,1099,1293436,1173,686977,1130,639503,963,919113
"Zagrebaèka","Zagreb",150,54489,62,14576,155,74674,148,109676,157,125349,153,195707,112,143981,145,125711,155,96416,150,77128,145,62693,181,49074,157,49241,100,65075
"Krapinsko-zagorska","Krapina-Zagorje",151,31484,35,14356,108,26836,112,41274,96,35508,86,65376,89,54354,69,34263,88,42642,60,22688,43,27877,55,13167,56,20096,41,32015
"Sisaèko-moslavaèka","Sisak-Moslavina",43,14759,32,6080,39,21894,64,25854,64,33622,57,19398,49,36946,60,31482,34,21930,40,13977,35,12008,44,11051,37,8648,44,12551
"Karlovaèka","Karlovac",161,44400,25,6320,85,24354,91,33142,79,35547,94,41305,78,27170,72,14884,48,54593,41,13909,50,22242,50,27578,66,14228,62,21387
"Varaždinska","Varaždin",213,60732,98,14796,127,74746,133,142385,113,78529,106,79539,121,124617,121,80102,98,47283,105,53580,49,97679,70,29770,69,44839,50,25455
"Koprivnièko-križevaèka","Koprivnica-Križevci",188,27653,74,11084,205,44047,159,46782,178,72831,167,103494,132,63586,72,32292,63,29285,61,27094,56,22772,46,12775,48,27411,35,8308
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",211,25829,57,8966,159,34806,154,32421,185,56843,165,40445,137,39229,139,37189,125,21286,103,45306,94,27927,77,21183,84,15874,58,17489
"Primorsko-goranska","Primorje-Gorski kotar",130,76801,225,45641,155,57125,167,133457,150,203389,155,146780,97,87143,119,131611,74,74762,78,42160,67,133866,45,69937,41,47502,27,22613
"Lièko-senjska","Lika-Senj",30,11587,36,6109,99,40578,104,44504,92,40228,76,46577,44,12785,35,20924,17,8300,47,14420,24,8492,49,14235,54,14038,9,1370
"Virovitièko-podravska","Virovitica-Podravina",55,15675,13,3407,63,22275,88,20714,73,24570,69,31822,52,14967,75,17679,87,29301,60,20032,44,13450,42,16995,38,14882,38,8602
"Požeško-slavonska","Požega-Slavonia",32,13850,26,5043,44,21372,45,16591,38,20551,30,19874,35,19317,32,27971,22,12867,31,17150,19,10340,17,8116,20,8695,21,5628
"Brodsko-posavska","Slavonski Brod-Posavina",90,44220,29,5365,89,33638,90,46758,110,57008,111,114000,80,35832,67,28852,64,33061,46,22086,71,33656,57,9195,85,20819,76,26867
"Zadarska","Zadar",NA,NA,33,8023,99,51383,91,109729,40,25452,66,54752,44,88658,39,35831,27,11997,22,39704,38,15454,57,34405,33,24402,54,47172
"Osjeèko-baranjska","Osijek-Baranja",230,56863,78,13761,190,114930,211,138448,207,147829,161,181036,147,163373,129,213485,89,241971,96,105668,75,138077,72,76939,82,94551,65,199305
"Šibensko-kninska","Šibenik-Knin",70,29481,29,7218,66,53806,33,30391,30,38419,24,32377,28,60639,22,71671,12,5919,15,9823,8,26461,10,15263,10,5503,11,27354
"Vukovarsko-srijemska","Vukovar-Sirmium",70,25902,19,2803,94,41714,107,49572,101,48364,92,53755,110,92219,82,66741,57,45717,55,28513,60,68441,58,51266,42,7488,47,11855
"Splitsko-dalmatinska","Split-Dalmatia",104,106718,101,16510,96,125670,119,127699,110,116931,80,152677,108,143298,73,100890,69,151009,68,88084,54,41035,42,36079,33,29646,30,186677
"Istarska","Istria",123,41151,106,20055,52,24800,108,76375,74,87370,100,61686,79,96603,71,80242,70,35204,62,59876,32,26115,41,51580,33,15350,51,16712
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",27,11338,48,8369,34,19447,29,19782,51,37003,29,32296,36,28187,37,138934,18,89037,30,64219,17,29133,15,8543,19,8143,16,17141
"Meðimurska","Meðimurje",220,93067,64,16995,164,79370,147,89068,131,94300,138,87411,92,58968,155,79150,89,38912,85,42875,62,16894,103,50054,88,30151,89,44211
"Grad Zagreb","City of Zagreb",169,184386,176,86706,156,292420,151,284898,161,513277,122,631609,105,380153,87,323349,77,406507,54,273711,56,458824,42,79772,35,137996,39,121326
