"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",2974083,3786115,4202678,4719005,6092716,7304353,8846535,8106514,6585518,5528582,5006339,4354531,4621430,"4982784"
"Zagrebaèka","Zagreb",114098,138610,167365,202832,271293,446242,683925,1012111,348715,283402,278657,247249,572620,"585901"
"Krapinsko-zagorska","Krapina-Zagorje",69738,55271,51819,76034,100785,106514,132496,111048,59003,106418,80946,56874,65189,"69818"
"Sisaèko-moslavaèka","Sisak-Moslavina",46311,56892,79086,62543,154162,127747,161818,193111,135689,70227,40128,75281,72092,"105333"
"Karlovaèka","Karlovac",58948,86647,70901,61359,56678,128805,115525,86178,150688,100835,113415,92827,72110,"83390"
"Varaždinska","Varaždin",114965,105567,179957,163765,154308,339509,366399,276305,200353,142159,216068,189922,137071,"127624"
"Koprivnièko-križevaèka","Koprivnica-Križevci",47034,79034,93563,104016,127414,132475,120174,151003,72888,42945,96733,63721,63413,"83732"
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",115603,150358,65033,61231,86485,90629,126850,79719,45783,64351,78273,64851,48224,"49841"
"Primorsko-goranska","Primorje-Gorski kotar",238170,331818,345754,390914,430327,516119,628667,579729,325420,341836,384181,224387,428723,"368136"
"Lièko-senjska","Lika-Senj",22646,46702,59917,50833,133939,85054,67851,56821,59404,109233,59145,60170,34258,"39192"
"Virovitièko-podravska","Virovitica-Podravina",16541,40264,26137,30990,40327,55677,56170,55210,72440,61876,32913,53362,40127,"23747"
"Požeško-slavonska","Požega-Slavonia",41082,52287,50608,55059,78744,55305,71624,93024,49689,63835,42407,43117,42565,"28191"
"Brodsko-posavska","Slavonski Brod-Posavina",36380,89489,67797,60904,94529,177945,166480,127753,142365,110344,148997,95245,113060,"78974"
"Zadarska","Zadar",101822,121201,195692,203317,174669,378524,480795,325822,211066,154248,152425,215895,208752,"179752"
"Osjeèko-baranjska","Osijek-Baranja",191713,253915,345832,300945,409831,536060,774006,700185,621731,511123,251215,346564,285407,"301658"
"Šibensko-kninska","Šibenik-Knin",64495,90917,73697,80313,66544,98638,173456,208994,106160,129674,122994,112890,95427,"120744"
"Vukovarsko-srijemska","Vukovar-Sirmium",64114,110547,86531,129893,173507,230357,299689,309935,363404,341605,174996,130761,90032,"164400"
"Splitsko-dalmatinska","Split-Dalmatia",285891,364335,327236,334687,705346,762428,837889,781385,987024,546538,372261,374398,452333,"916444"
"Istarska","Istria",269272,265481,262862,480261,704704,523163,549539,313421,314309,434003,489355,400183,442357,"401994"
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",136801,164983,234971,196562,349424,462711,636553,495508,316318,211647,381056,335402,366257,"434361"
"Meðimurska","Meðimurje",78529,68498,105377,108335,124053,140912,178627,153417,85891,97150,101929,101346,105199,"79534"
"Grad Zagreb","City of Zagreb",859930,1113299,1312543,1564212,1655647,1909539,2218002,1995835,1917178,1605133,1388245,1070086,886214,"740018"
"Nerasporedeno","Unclassified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
