"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",97700,171739,190460,173898,170548,183700,234325,237072,149234,158838,118869,145893,198598,"266374"
"Zagrebaèka","Zagreb",962,1528,1406,14364,12643,31472,12439,9063,10894,11606,12087,8170,3741,"26298"
"Krapinsko-zagorska","Krapina-Zagorje",953,369,341,7408,5096,1218,5971,4071,2534,894,4000,2683,91,"360"
"Sisaèko-moslavaèka","Sisak-Moslavina",7077,3401,5610,383,118,686,825,11028,3350,14204,6655,7618,845,"4077"
"Karlovaèka","Karlovac",1346,1354,615,366,99,133,544,2541,1134,28,645,1325,4436,"1314"
"Varaždinska","Varaždin",393,6973,4607,1999,464,7623,2427,2578,1049,1167,119,132,628,"587"
"Koprivnièko-križevaèka","Koprivnica-Križevci",NA,570,678,9555,15945,12146,12304,6758,1154,1326,882,61,NA,"209"
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",NA,7457,18,5520,3815,2040,7311,3496,3504,3285,1546,6178,927,"9941"
"Primorsko-goranska","Primorje-Gorski kotar",6573,7780,20023,12769,16143,14263,30560,11209,9509,11910,14673,27739,47173,"70247"
"Lièko-senjska","Lika-Senj",3952,6828,3081,765,11529,1901,444,1067,1038,370,3323,3116,4542,"5441"
"Virovitièko-podravska","Virovitica-Podravina",NA,445,214,4661,2323,511,25,688,187,1895,532,3235,NA,"249"
"Požeško-slavonska","Požega-Slavonia",3266,2871,2823,1611,490,297,320,62,194,NA,660,NA,1026,"55"
"Brodsko-posavska","Slavonski Brod-Posavina",807,2901,2293,1735,2361,2449,7967,6629,4076,826,294,4389,343,"8190"
"Zadarska","Zadar",560,12635,21708,7949,9416,9489,28688,12043,8369,5960,2550,6888,15246,"9420"
"Osjeèko-baranjska","Osijek-Baranja",1688,7276,3576,9617,4885,6917,5254,23366,7638,1781,1235,2484,4777,"7554"
"Šibensko-kninska","Šibenik-Knin",966,2727,8872,8219,2162,3649,3191,5528,13678,21363,11169,6010,5537,"7789"
"Vukovarsko-srijemska","Vukovar-Sirmium",185,1046,1255,2219,2398,3714,5821,16570,11978,8439,2850,5175,8633,"17561"
"Splitsko-dalmatinska","Split-Dalmatia",3308,3252,10315,18043,21778,15274,15364,43967,8762,8662,11894,2049,8145,"16603"
"Istarska","Istria",12511,15196,7925,33430,11014,13500,38695,33559,21866,12922,6754,29174,49621,"40894"
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",1813,3408,22538,6034,12439,3356,15185,4883,5739,7855,7696,555,5024,"7224"
"Meðimurska","Meðimurje",678,196,3985,811,6322,5079,6423,8226,7661,4321,2348,2686,2088,"102"
"Grad Zagreb","City of Zagreb",42550,83526,68577,26440,29108,47983,34567,29740,24920,40024,26957,26226,35775,"32259"
"Nerasporedeno","Unclassified",8112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
