"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",5480389,8309461,8026470,7674953,8463969,8848935,9754781,8693581,5871889,5777826,5942192,6050335,5295062,4961227
"Zagrebaèka županija","Zagreb",139099,270521,293338,405066,457348,600472,785940,913701,564768,556323,562871,619597,478701,546426
"Krapinsko-zagorska županija","Krapina-Zagorje",53453,67020,137107,582209,448580,227939,259272,274718,111806,96899,131611,222628,247120,269606
"Sisaèko-moslavaèka županija","Sisak-Moslavina",146329,132118,167637,146724,260634,248291,262620,236545,226915,216603,221367,199180,170156,162070
"Karlovaèka županija","Karlovac",1519801,436802,161345,138108,222884,234735,229699,167043,132325,148322,136362,140301,199375,159487
"Varaždinska županija","Varaždin",282579,594221,212460,131200,238725,275794,214309,161492,127609,122534,164890,115956,158478,76754
"Koprivnièko-križevaèka županija","Koprivnica-Križevci",51369,78848,96041,102124,128394,107913,167826,153981,84222,161867,222466,205339,136378,184976
"Bjelovarsko-bilogorska županija","Bjelovar-Bilogora",60851,67171,148178,123924,103243,111041,169921,180384,111880,144906,146425,103449,103481,108559
"Primorsko-goranska županija","Primorje-Gorski kotar",589369,793134,728390,843281,1101762,1345196,1308542,931847,802304,557993,549838,470017,479990,418841
"Lièko-senjska županija","Lika-Senj",343157,707767,1667336,383322,182658,213657,377900,242064,184186,145746,119756,126648,149955,95172
"Virovitièko-podravska županija","Virovitica-Podravina",28567,37372,61911,152658,110106,80082,105866,113478,105943,161589,108464,87962,65555,79309
"Požeško-slavonska županija","Požega-Slavonia",36824,57121,55992,39686,23440,42871,94620,80133,71710,79735,80510,75190,86153,70270
"Brodsko-posavska županija","Slavonski Brod-Posavina",145915,142030,166228,154436,206599,255793,311983,161444,125643,159994,180434,163085,158673,188484
"Zadarska županija","Zadar",412540,703325,370489,239815,245581,391597,307086,409787,164920,240897,385209,255736,192799,114093
"Osjeèko-baranjska županija","Osijek-Baranja",188985,135812,195522,323960,662252,1178592,1246724,580915,273431,373235,666283,463088,450647,359720
"Šibensko-kninska županija","Šibenik-Knin",98743,232726,496676,729626,119904,188910,136190,103845,87177,160103,143380,150412,105070,118630
"Vukovarsko-srijemska županija","Vukovar-Sirmium",104609,115379,184668,363384,409645,275331,310654,435537,198775,204749,161129,157846,141990,209220
"Splitsko-dalmatinska županija","Split-Dalmatia",311381,681549,772578,732979,1335340,1438180,1186246,899788,817634,807519,697040,843752,526886,401182
"Istarska županija","Istria",168833,375791,665975,568765,625833,297733,360534,711471,523024,399865,280094,310594,328447,318691
"Dubrovaèko-neretvanska županija","Dubrovnik-Neretva",83588,136992,132056,171595,154250,329296,669872,707180,461744,358709,325124,452342,224882,278477
"Meðimurska županija","Meðimurje",31889,56372,102537,99204,95446,71100,168165,112182,82029,61153,60226,54858,62817,73382
"Grad Zagreb","City of Zagreb",512808,567399,672938,859216,1170776,797661,882061,989396,555734,505535,519991,778920,810564,713807
"Nerasporedeno","Unclassified",169700,1919991,537068,383671,160569,136751,198751,126650,58110,113550,78722,53435,16945,14071
