"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",1508412,1972279,2357455,2825295,3489849,4782269,5716575,4090227,2734802,2723177,2162466,1907970,1907868,"2257810"
"Zagrebaèka županija","Zagreb",19205,31023,54903,120568,170973,225232,271861,192024,118663,84517,68476,101728,133791,"110848"
"Krapinsko-zagorska županija","Krapina-Zagorje",9512,22352,14087,10991,19019,25670,29105,29873,17123,28523,34767,12041,13952,"14925"
"Sisaèko-moslavaèka županija","Sisak-Moslavina",94914,105010,58079,23772,33886,25809,42270,59312,16285,27703,17719,7656,7572,"16739"
"Karlovaèka županija","Karlovac",40318,43916,26222,33078,59966,55661,45387,35217,50974,31236,18481,16046,19595,"17698"
"Varaždinska županija","Varaždin",32860,43679,48513,96582,99331,132759,227731,141748,74292,65760,39312,24202,42041,"37247"
"Koprivnièko-križevaèka županija","Koprivnica-Križevci",5072,16660,19740,22652,16070,25915,18194,22718,13981,30308,16613,9682,16249,"13823"
"Bjelovarsko-bilogorska županija","Bjelovar-Bilogora",10180,20534,12088,13188,11468,21077,28973,37063,25415,17156,12914,10448,18030,"21429"
"Primorsko-goranska županija","Primorje-Gorski kotar",85427,144070,165729,184874,204629,306949,348141,284791,225620,210443,186085,193107,192255,"258897"
"Lièko-senjska županija","Lika-Senj",30857,62982,74482,44109,38143,58551,67319,59412,37761,35861,26626,22398,23141,"38205"
"Virovitièko-podravska županija","Virovitica-Podravina",4251,12878,17660,9874,15118,17230,25181,10742,8941,12737,11106,5157,4699,"9055"
"Požeško-slavonska županija","Požega-Slavonia",31355,58345,96589,46548,29259,14122,45804,10954,10678,10301,6046,2231,2971,"4476"
"Brodsko-posavska županija","Slavonski Brod-Posavina",28775,32065,24236,20658,41728,46466,68489,43213,14412,12618,8167,4399,4039,"5761"
"Zadarska županija","Zadar",76820,121123,140458,155708,227610,210291,213261,183358,135139,146613,133639,76928,98027,"124738"
"Osjeèko-baranjska županija","Osijek-Baranja",95430,82069,100253,127410,170198,213529,287755,247300,189987,147161,69625,45760,47243,"47181"
"Šibensko-kninska županija","Šibenik-Knin",39939,53693,74434,65715,84124,123117,75376,61888,58913,65787,52315,67274,82122,"72884"
"Vukovarsko-srijemska županija","Vukovar-Sirmium",186406,158956,91920,63223,46680,87299,55917,79291,47461,43865,31230,34754,119248,"196359"
"Splitsko-dalmatinska županija","Split-Dalmatia",125952,115433,144222,234269,233852,293610,368741,321870,241099,273794,242659,249670,244397,"290718"
"Istarska županija","Istria",133901,197075,205493,275252,249969,389510,372629,284485,210195,216059,197413,215223,204711,"213406"
"Dubrovaèko-neretvanska županija","Dubrovnik-Neretva",35547,79925,105504,122889,127066,136029,143965,122513,135997,124942,131403,117539,120032,"122095"
"Meðimurska županija","Meðimurje",15957,20534,11237,44052,47823,48744,46640,71204,51039,38063,40188,46894,34991,"33439"
"Grad Zagreb","City of Zagreb",405734,549957,871606,1109883,1562937,2324699,2933836,1791251,1050827,1099730,817682,644833,478762,"607887"
"Nerasporedeno","Unclassified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
