"Županija","County.of","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Republika Hrvatska","Republic of Croatia",100136164,103315185,114624464,129873586,134399620,116939359,121613404,129815663,130437532,123043991,121343138
"Zagrebačka","Zagreb",6066269,6552058,6773642,7939884,8878934,8110658,8217137,9013477,9566426,9938948,10072505
"Krapinsko-zagorska","Krapina-Zagorje",2507744,2574617,3010378,3470293,4021491,3584839,3492221,3607462,3463611,3670854,4125213
"Sisačko-moslavačka","Sisak-Moslavina",7902525,7573120,10024645,10418737,12230274,8748190,10546691,10312341,10019719,8016295,6793330
"Karlovačka","Karlovac",2466027,2474495,2825087,3245465,3333195,2988902,2992022,3422751,3452085,3515968,3477430
"Varaždinska","Varaždin",5275152,5871377,5726746,6167244,6764975,6507753,6380686,6939482,7055121,7138576,7537065
"Koprivničko-križevačka","Koprivnica-Križevci",4149655,4211726,4242089,4368502,4878551,4611515,4851870,5133635,5586700,5120311,4804502
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",2239775,2085549,2311180,2671421,3021151,2701240,2559456,2718617,2673154,2327306,2187773
"Primorsko-goranska","Primorje-Gorski kotar",12298593,13522862,14538572,17067039,15835072,13849008,13656274,15817772,18088226,17058416,15986610
"Ličko-senjska","Lika-Senj",314535,277326,326303,371703,397499,378207,316587,410059,427474,571867,600503
"Virovitičko-podravska","Virovitica-Podravina",1448603,1470268,1585319,1849549,1709397,1449947,1452005,1594857,1639779,1257495,1211321
"Požeško-slavonska","Požega-Slavonia",1234092,1146187,1272971,1416712,1434756,1287152,1252954,1288894,1372079,1274442,1152262
"Brodsko-posavska","Slavonski Brod-Posavina",1857150,1759826,2147043,2546785,2869343,2478291,2736755,3038155,3276183,2898149,2400725
"Zadarska","Zadar",1121672,1264737,1397599,1549916,1642197,1462231,1401582,1487198,1525379,1556130,1698490
"Osječko-baranjska","Osijek-Baranja",5602161,5282502,5814046,6688238,7320160,6349075,6301623,7323830,7219750,7252687,7332739
"Šibensko-kninska","Šibenik-Knin",1443201,1818864,2011562,2452187,2704566,1978170,2173655,2327376,2145252,2131766,2074687
"Vukovarsko-srijemska","Vukovar-Sirmium",1329383,1554669,1575760,1826904,2018045,1677478,1841177,2159421,2259830,2190328,2212981
"Splitsko-dalmatinska","Split-Dalmatia",6730922,6048839,6934890,8107579,8542353,6699976,6401695,6174816,4737843,3943976,4396044
"Istarska","Istria",7587006,7352062,8269948,9232039,9295908,8132199,10045829,10531608,8469929,7442102,7191051
"Dubrovačko-neretvanska","Dubrovnik-Neretva",595067,689841,689423,803729,845426,775304,605937,569457,537256,534767,603279
"Međimurska","Međimurje",2827412,2893370,3272571,3856444,4236329,3874111,4061848,4543295,4755638,4820062,5126856
"Grad Zagreb","City of Zagreb",25106814,25687396,27705944,30606054,29297266,26595287,25702072,26387853,26894682,25200231,25114767
"Slobodne zone","Free zones",32406,1203494,2168746,3217162,3122732,2699826,4623328,5013307,5271416,5183315,5243005
