"Županija","County.of","2010.","2011.","2012.","2013.","2014.","2015.","2016."
"Republika Hrvatska","Republic of Croatia",8905242,9582161,9628467.891,9589448.471,10368781.689,11527851.735,12320581.693
"Zagrebačka","Zagreb",254868,295227,371922.363,421450.363,469586.393,610217.143,655478.674
"Krapinsko-zagorska","Krapina-Zagorje",295423,307892,322960.155,363697.108,381247.157,408312.195,446104.976
"Sisačko-moslavačka","Sisak-Moslavina",429560,539290,484944.394,450888.262,482261.439,528866.205,401911.985
"Karlovačka","Karlovac",187207,201753,222881.199,247152.912,257686.32,275787.289,321927.451
"Varaždinska","Varaždin",615719,726197,751787.225,794392.942,789188.836,903501.372,941926.879
"Koprivničko-križevačka","Koprivnica-Križevci",208953,248625,247970.569,264365.596,271195.408,287089.292,310652.103
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",98171,98654,102066.088,105249.191,109017.679,116978.684,138746.838
"Primorsko-goranska","Primorje-Gorski kotar",446049,585238,536419.578,462508.229,498954.268,564571.607,477471.678
"Ličko-senjska","Lika-Senj",5903,10308,13355.261,18846.437,25534.862,29714.55,30979.285
"Virovitičko-podravska","Virovitica-Podravina",100863,97944,131930.97,98244.104,124774.827,124648.577,146759.404
"Požeško-slavonska","Požega-Slavonia",83318,91443,101412.671,102861.767,100086.747,109520.66,110290.057
"Brodsko-posavska","Slavonski Brod-Posavina",127789,122436,182922.377,190825.1,171444.41,246806.007,252728.252
"Zadarska","Zadar",145164,174986,167968.265,171167.834,182028.06,234854.411,227571.743
"Osječko-baranjska","Osijek-Baranja",362441,465406,430608.849,393937.481,445785.694,498504.697,565445.202
"Šibensko-kninska","Šibenik-Knin",196698,209479,255850.307,157041.266,135373.28,71339.467,49389.587
"Vukovarsko-srijemska","Vukovar-Sirmium",206552,154880,159250.774,163760.94,184136.302,187314.042,180846.931
"Splitsko-dalmatinska","Split-Dalmatia",649996,599287,478185.968,302460.601,355004.947,473838.236,466763.74
"Istarska","Istria",929005,958863,696185.77,675916.983,605533.877,728388.735,676551.362
"Dubrovačko-neretvanska","Dubrovnik-Neretva",31087,33114,23496.404,29572.586,28978.061,32460.554,26934.795
"Međimurska","Međimurje",318276,394107,406762.296,419219.276,446657.17,497069.664,551899.518
"Grad Zagreb","City of Zagreb",3127053,3184872,3511379.675,3640142.2,3707463.903,3822314.498,4086103.308
"Neraspoređeno","Unclassified",85145,82161,28206.733,115747.293,596842.049,775753.85,1254097.925
