"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",1205,1244,1288,1325,1444,1495,1513,1534,1562,1590,1602
"Zagrebaèka","Zagreb",59,64,74,75,80,87,84,92,94,98,97
"Krapinsko-zagorska","Krapina-Zagorje",26,26,26,26,29,29,28,29,29,31,31
"Sisaèko-moslavaèka","Sisak-Moslavina",27,27,27,28,33,33,33,33,33,32,34
"Karlovaèka","Karlovac",20,22,22,21,31,32,33,29,34,37,36
"Varaždinska","Varaždin",35,37,39,42,50,52,53,52,53,52,53
"Koprivnièko-križevaèka","Koprivnica-Križevci",29,29,29,29,43,44,44,44,46,45,46
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",32,33,33,30,38,38,37,38,39,41,40
"Primorsko-goranska","Primorje-Gorski kotar",102,101,104,107,109,110,115,115,116,119,117
"Lièko-senjska","Lika-Senj",10,11,11,11,13,13,13,13,13,13,15
"Virovitièko-podravska","Virovitica-Podravina",8,8,8,8,12,12,12,13,13,13,11
"Požeško-slavonska","Požega-Slavonia",14,15,15,15,16,18,18,19,19,20,25
"Brodsko-posavska","Slavonski Brod-Posavina",27,27,27,28,27,28,26,26,24,27,25
"Zadarska","Zadar",46,55,55,55,63,71,74,73,76,78,80
"Osjeèko-baranjska","Osijek-Baranja",72,80,87,94,94,96,97,99,102,107,109
"Šibensko-kninska","Šibenik-Knin",41,42,42,44,47,50,50,50,52,52,52
"Vukovarsko-srijemska","Vukovar-Sirmium",29,30,30,36,43,48,48,49,51,51,52
"Splitsko-dalmatinska","Split-Dalmatia",199,204,212,216,220,226,230,232,239,240,235
"Istarska","Istria",118,117,125,128,132,133,135,137,132,137,143
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",42,43,43,43,49,50,49,49,49,49,49
"Meðimurska","Meðimurje",51,53,53,54,55,54,56,57,57,56,57
"Grad Zagreb","City of Zagreb",218,220,226,235,260,271,278,285,291,292,295
