"Županija","County.of","1995.","1996.","1997.","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Republika Hrvatska","Republic of Croatia",8877,10822,10934,12761,12852,13077,13421,14373,15359,16877,17767,19077,20364,24893,29474,31606,35588,36073,34453,33015,34036
"Zagrebaèka","Zagreb",312,457,534,661,673,669,819,804,942,1057,1069,1153,1231,1630,1931,1844,2328,2223,2324,2204,2404
"Krapinsko-zagorska","Krapina-Zagorje",192,210,205,260,236,261,311,283,325,365,438,455,472,632,700,724,972,944,966,970,935
"Sisaèko-moslavaèka","Sisak-Moslavina",288,297,335,320,388,424,440,437,484,539,629,600,602,718,856,870,1047,1017,1019,919,1044
"Karlovaèka","Karlovac",258,271,303,331,325,304,337,372,449,508,521,547,573,724,877,919,1044,1039,940,747,815
"Varaždinska","Varaždin",302,357,375,384,432,437,411,447,478,497,489,550,677,816,983,1102,1254,1255,1238,1166,1249
"Koprivnièko-križevaèka","Koprivnica-Križevci",162,219,231,274,238,254,285,286,325,356,384,423,415,526,632,720,792,813,734,778,817
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",164,209,209,240,203,256,304,259,283,298,364,393,389,478,592,688,789,860,775,687,745
"Primorsko-goranska","Primorje-Gorski kotar",689,927,906,1164,1078,1123,1106,1220,1304,1285,1393,1405,1536,1820,2554,2959,2879,2959,2786,2470,2532
"Lièko-senjska","Lika-Senj",56,82,84,93,135,107,116,119,119,119,168,154,174,185,259,303,336,383,332,320,298
"Virovitièko-podravska","Virovitica-Podravina",100,102,104,137,140,167,162,173,166,168,176,247,242,397,382,560,513,557,499,524,513
"Požeško-slavonska","Požega-Slavonia",207,165,176,197,195,174,177,253,246,225,305,277,277,366,479,509,509,625,617,622,605
"Brodsko-posavska","Slavonski Brod-Posavina",237,294,275,327,357,365,377,358,415,461,524,531,626,731,867,968,1112,1198,1140,1089,1083
"Zadarska","Zadar",327,456,387,502,490,475,480,466,572,593,631,742,719,808,929,1360,1305,1290,1138,1279,1321
"Osjeèko-baranjska","Osijek-Baranja",525,652,694,743,705,857,847,844,725,854,1020,1091,1162,1754,1885,2200,2154,2363,2210,2139,2131
"Šibensko-kninska","Šibenik-Knin",195,198,226,287,294,303,279,291,406,412,482,512,559,670,705,772,920,958,754,767,987
"Vukovarsko-srijemska","Vukovar-Sirmium",267,310,281,318,345,332,308,312,308,340,432,544,660,784,901,1094,1121,1176,1134,1138,1124
"Splitsko-dalmatinska","Split-Dalmatia",1142,1290,1365,1621,1709,1688,1729,2077,1958,2437,2305,2497,2541,3154,3809,4007,4589,4493,3984,4145,4004
"Istarska","Istria",392,503,491,606,560,590,553,532,618,790,714,782,934,1041,1429,1471,1561,1468,1380,1288,1364
"Dubrovaèko-neretvanska","Dubrovnik-Neretva",295,407,393,465,529,494,601,665,638,651,675,798,849,910,911,934,1068,960,998,859,951
"Meðimurska","Meðimurje",129,151,176,197,238,232,257,269,333,337,392,414,460,549,663,723,820,895,801,794,820
"Grad Zagreb","City of Zagreb",2638,3265,3184,3634,3582,3565,3522,3906,4265,4585,4656,4962,5266,6200,7011,6785,8345,8545,8329,7914,8294
"Nepoznato","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,94,130,52,355,196,NA
