"Županija","County.of","1995.","1996.","1997.","1998.","1999.","2000.","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014."
"Republika Hrvatska","Republic of Croatia",82886,82374,86954,89086,94140,97727,105405,113796,117608,125237,129645,132753,133541,130617,141343,144753,148792,149020,146496,142301
"Zagrebačka","Zagreb",3435,4164,4567,5082,5350,5400,6019,6452,6927,7906,8236,8808,8379,8644,9285,9649,9657,9930,9624,9162
"Krapinsko-zagorska","Krapina-Zagorje",1521,1429,1544,1679,1700,1788,1998,2314,2598,2751,2856,3019,3131,3216,3503,3781,3876,4226,4158,4090
"Sisačko-moslavačka","Sisak-Moslavina",2769,2259,2478,2472,2634,2771,3083,3336,3354,3607,3810,3966,3913,3870,4221,4405,4469,4651,4435,4532
"Karlovačka","Karlovac",2128,2002,2152,2209,2383,2531,2843,3198,3431,3629,3792,4045,3954,3884,4004,4145,4036,3819,3671,3547
"Varaždinska","Varaždin",2279,2173,2490,2603,2776,2836,3456,3725,3591,3967,4224,4238,4287,4567,4664,4775,5215,5599,5593,5356
"Koprivničko-križevačka","Koprivnica-Križevci",1404,1447,1630,1787,1793,1802,1882,2249,2451,2571,2796,2825,2955,2936,3232,3349,3567,3663,3736,3701
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",1409,1350,1527,1612,1782,1832,2034,2194,2416,2537,2594,2864,3016,3062,3396,3482,3469,3598,3482,3375
"Primorsko-goranska","Primorje-Gorski kotar",7040,7026,7456,7450,7802,8376,8717,9156,9451,9555,9899,10352,10338,10295,11344,11290,11434,10061,9112,9505
"Ličko-senjska","Lika-Senj",616,567,591,588,659,738,818,972,894,979,968,1178,1154,1282,1428,1431,1431,1373,1360,1428
"Virovitičko-podravska","Virovitica-Podravina",972,1045,1160,1124,1107,1157,1245,1424,1493,1700,1951,1916,2035,2053,2300,2326,2331,2460,2446,2379
"Požeško-slavonska","Požega-Slavonia",1564,1157,1182,1190,1318,1468,1647,1666,1798,1821,1949,2068,2038,2174,2322,2608,2785,2954,2865,2864
"Brodsko-posavska","Slavonski Brod-Posavina",2438,2308,2530,2536,2716,2833,3219,3578,3708,3925,3990,4353,4367,4485,4853,4914,4973,5226,5195,5121
"Zadarska","Zadar",3472,3440,3596,3556,3656,3963,4208,4385,4332,4549,4749,5010,4862,5077,5651,5308,5357,5598,5969,6196
"Osječko-baranjska","Osijek-Baranja",5236,5713,5817,5370,5797,5774,6454,7116,7400,8183,9172,9318,8751,8635,9011,9146,9361,10104,9977,10157
"Šibensko-kninska","Šibenik-Knin",1887,2013,2296,2373,2592,2833,3011,3304,3152,3358,3417,3479,3623,3366,3768,3773,3602,3680,3702,3620
"Vukovarsko-srijemska","Vukovar-Sirmium",2391,2285,2404,2262,2393,2392,2756,3418,3466,4113,4416,4544,4618,4543,4941,4864,4999,5269,5282,5179
"Splitsko-dalmatinska","Split-Dalmatia",10744,10787,11470,12247,13929,15249,15822,16362,16064,16023,16591,15675,15557,15268,17253,17880,18452,18304,18015,16957
"Istarska","Istria",3573,3681,3732,3652,3814,3839,4404,4871,5182,5484,5358,5619,5912,5896,6447,6449,6457,6441,6587,6392
"Dubrovačko-neretvanska","Dubrovnik-Neretva",3070,2928,3208,3321,3513,3656,4091,4132,4353,4469,4216,4243,4153,4241,4418,4456,4473,4687,4679,4629
"Međimurska","Međimurje",1116,1164,1469,1613,1843,1872,2056,2326,2240,2497,2711,2824,2814,3017,3220,3410,3575,3770,3722,3549
"Grad Zagreb","City of Zagreb",23822,23436,23655,24360,24583,24617,25599,27529,29205,31575,31814,32256,29502,29983,31914,33133,35113,33171,32565,30236
"Nepoznato","Other",NA,NA,NA,NA,NA,NA,43,89,102,38,136,153,4182,123,168,179,160,436,321,326
