"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.000566,0.000837,0.000599,0.000516,0.000416,0.000784,0.000806,0.000887,0.000828,0.000285,0.000415,0.000214,0.000459,0.000237
"Brodsko-posavska","Slavonski Brod-Posavina",0.000499,0.000469,0.00063,0.000466,0.000455,0.000432,0.000656,0.000685,0.000608,0.000512,0.000325,0.000519,0.00024,0.000126
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.00101,0.001185,0.00195,0.001561,0.001443,0.001649,0.001234,0.000719,0.001191,0.001225,0.001022,0.000949,0.000466,0.000589
"Grad Zagreb","City of Zagreb",0.001245,0.001603,0.001522,0.001732,0.002656,0.00362,0.003406,0.00208,0.001419,0.00077,0.000706,0.000441,0.000227,0.000668
"Istarska","Istria",0.001766,0.002194,0.001706,0.002348,0.001978,0.002306,0.001989,0.001655,0.001476,0.001043,0.000881,0.000972,0.000711,0.000538
"Karlovačka","Karlovac",0.000704,0.000529,0.00038,0.000441,0.001164,0.000456,0.000761,0.000388,0.000277,0.000202,0.000244,0.000517,0.000459,0.000254
"Koprivničko-križevačka","Koprivnica-Križevci",0.000273,0.000341,0.000544,0.000462,0.000363,0.001112,0.000409,0.000231,0.00037,0.000624,0.000235,0.000219,0.000317,0.000525
"Krapinsko-zagorska","Krapina-Zagorje",0.000339,0.000429,0.000351,0.000389,0.000294,0.000237,0.000342,0.000552,0.000578,0.00046,0.000243,0.000145,0.000131,0.000287
"Ličko-senjska","Lika-Senj",0.001285,0.001704,0.002549,0.001867,0.001461,0.001476,0.005685,0.003768,0.001302,0.002426,0.001522,0.000932,0.001582,0.002015
"Međimurska","Međimurje",0.000342,0.000447,0.000202,0.000193,0.000342,0.000378,0.000343,0.000545,0.000518,0.00022,0.000167,0.000256,0.00046,0.000222
"Osječko-baranjska","Osijek-Baranja",0.000732,0.000479,0.000433,0.000451,0.00082,0.000962,0.001158,0.000627,0.000558,0.000338,0.000324,0.000306,0.000436,0.000201
"Požeško-slavonska","Požega-Slavonia",0.001191,0.001932,0.002455,0.000659,0.001081,0.000532,0.000822,0.000452,0.000419,0.00063,0.000287,0.000119,4e-04,0.000218
"Primorsko-goranska","Primorje-Gorski kotar",0.001487,0.001971,0.001863,0.001978,0.002725,0.002995,0.002536,0.002012,0.001436,0.001402,0.001311,0.001425,0.000956,0.000638
"Republika Hrvatska","Republic of Croatia",0.001035,0.001091,0.001088,0.001197,0.001395,0.00168,0.001592,0.001164,0.000935,0.000682,0.000655,0.000617,0.000441,0.000475
"Sisačko-moslavačka","Sisak-Moslavina",0.001211,0.000833,0.000565,0.000395,0.00035,0.000343,0.000514,0.000565,0.000574,0.000448,0.000449,0.000491,0.000274,1e-04
"Splitsko-dalmatinska","Split-Dalmatia",0.000718,0.000908,0.000951,0.000925,0.00129,0.001502,0.001535,0.001234,0.000734,0.000473,0.000537,0.000671,0.000407,0.000313
"Šibensko-kninska","Šibenik-Knin",0.001643,0.001386,0.001375,0.00156,0.003012,0.002438,0.001085,0.000611,0.000952,0.000862,0.00092,0.001183,0.000597,0.00093
"Varaždinska","Varaždin",0.00045,0.000575,0.000711,0.001538,0.000489,0.002095,0.000903,0.000889,0.000975,0.000432,0.000622,0.001072,0.000726,0.000221
"Virovitičko-podravska","Virovitica-Podravina",0.000328,0.000396,0.000811,0.000615,0.00062,0.000455,0.000654,0.000428,0.000644,0.00039,0.00037,0.000169,0.000122,5e-05
"Vukovarsko-srijemska","Vukovar-Sirmium",0.002458,0.001253,0.00108,0.000742,0.000686,0.000678,0.000522,0.001016,0.000679,0.000648,0.000439,0.000716,0.000265,0.000615
"Zadarska","Zadar",0.00126,0.001162,0.001633,0.001881,0.00131,0.001301,0.001431,0.001268,0.001299,0.001222,0.00141,0.000997,0.000951,0.001269
"Zagrebačka","Zagreb",0.001022,0.000694,0.000619,0.001624,0.000852,0.00073,0.000786,0.000526,0.000713,0.000428,0.000808,0.000423,0.000242,0.000332
