"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.000349,0.000375,0.000418,0.000476,0.000536,0.000614,0.000562,0.00046,0.000547,0.00062,0.000305,0.000282,0.000346,0.000229
"Brodsko-posavska","Slavonski Brod-Posavina",0.001149,0.000859,0.001236,0.001479,0.001408,0.001598,0.00138,0.000927,0.000877,0.000815,0.000433,0.000571,0.000253,0.000265
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.000424,0.000322,0.000346,0.000503,0.000442,0.000448,0.000436,0.000809,0.000693,0.000539,0.000687,0.001088,0.000768,0.000384
"Grad Zagreb","City of Zagreb",0.000508,0.000718,0.000608,0.000587,0.00064,0.000884,0.000677,0.000372,0.000446,0.000211,0.000149,0.000113,8.8e-05,0.000195
"Istarska","Istria",0.000664,0.000575,0.000804,0.000723,0.000625,0.001003,0.000828,0.00047,0.000633,0.000644,0.000491,0.000635,0.000586,0.000802
"Karlovačka","Karlovac",0.000403,0.000174,0.000175,0.000294,0.000363,0.000434,0.000332,0.000289,0.000239,0.000202,0.000165,0.000286,0.00025,0.000238
"Koprivničko-križevačka","Koprivnica-Križevci",0.000298,0.000507,0.000611,0.000563,0.000955,0.00073,0.000725,0.000531,0.000456,0.000329,0.000331,0.00028,0.000158,0.000214
"Krapinsko-zagorska","Krapina-Zagorje",0.000347,0.000203,0.000343,0.000411,0.000383,0.000444,0.000603,0.000508,0.000503,0.000362,0.000342,0.000435,0.000285,0.000279
"Ličko-senjska","Lika-Senj",0.000145,0.000254,0.000452,0.000494,0.000629,0.00071,0.000925,0.000669,0.000466,0.00069,0.000561,0.000446,0.000575,0.000483
"Međimurska","Međimurje",0.000517,0.000719,0.001114,0.000982,0.001079,0.00159,0.001257,0.001722,0.001274,0.000607,0.000828,0.000758,0.000574,0.000595
"Osječko-baranjska","Osijek-Baranja",7e-04,0.000677,0.000702,6e-04,0.000747,0.000752,0.000611,0.000539,0.000418,0.00045,0.000327,0.000382,0.000339,0.000228
"Požeško-slavonska","Požega-Slavonia",0.001191,0.001667,0.001227,0.000757,0.000897,0.000582,0.000548,0.000641,0.000407,0.00027,0.000196,0.000277,0.000373,0.000163
"Primorsko-goranska","Primorje-Gorski kotar",0.000489,0.000668,0.000557,0.000637,0.000653,0.000592,0.000548,0.000525,0.000401,0.000551,0.000349,0.000414,0.000415,0.000206
"Republika Hrvatska","Republic of Croatia",0.000551,0.000571,0.000581,0.000596,0.000619,0.000688,0.000598,0.000515,0.000523,0.000452,0.000373,0.000352,0.000312,0.00029
"Sisačko-moslavačka","Sisak-Moslavina",0.000552,0.000502,0.000565,0.000406,0.000432,0.00037,0.000402,0.000577,0.000453,0.000367,0.000419,0.000527,0.00039,0.000181
"Splitsko-dalmatinska","Split-Dalmatia",0.000132,9.5e-05,0.000173,0.000165,0.000157,0.000113,0.000119,9.7e-05,0.00013,0.000134,0.000136,0.000136,0.000147,0.000154
"Šibensko-kninska","Šibenik-Knin",0.000418,0.000724,0.000669,0.000568,0.000665,0.000556,0.000314,0.000135,0.000408,0.000486,0.000595,0.00031,0.000341,0.000259
"Varaždinska","Varaždin",0.000405,0.000407,0.000353,0.000561,0.000635,0.000743,0.000705,0.000481,0.000618,0.000438,0.000474,0.000333,0.000248,0.000349
"Virovitičko-podravska","Virovitica-Podravina",0.000285,0.00044,0.000544,0.000492,0.000598,0.000512,0.000378,0.000693,0.000503,0.000414,0.000477,0.000241,0.000183,0.000223
"Vukovarsko-srijemska","Vukovar-Sirmium",0.001118,0.000812,0.000567,0.000898,0.000621,0.000667,0.000625,0.000666,0.000497,0.000531,0.000434,0.000398,0.000236,0.000219
"Zadarska","Zadar",0.000217,0.000316,0.000444,0.000185,0.000158,0.000175,0.00031,0.000249,0.000466,0.000376,0.00045,0.000309,0.000502,0.000382
"Zagrebačka","Zagreb",0.001126,0.000889,0.000796,0.001007,0.000936,0.000932,0.00078,0.000887,0.001161,0.00119,0.000842,0.000452,0.000553,0.000499
