"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.002118,0.001877,0.001907,0.002419,0.002121,0.002706,0.003583,0.002906,0.001615,0.001926,0.001203,0.000846,0.000779,0.000659
"Brodsko-posavska","Slavonski Brod-Posavina",0.00208,0.002688,0.002631,0.003515,0.003234,0.003919,0.003775,0.00239,0.001786,0.001953,0.001451,0.000654,0.001032,0.000629
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.005653,0.007945,0.00699,0.006679,0.005947,0.007642,0.004946,0.003835,0.005123,0.003961,0.003605,0.0023,0.001814,0.003377
"Grad Zagreb","City of Zagreb",0.007335,0.006073,0.005026,0.008399,0.011522,0.010909,0.010222,0.003316,0.002895,0.002874,0.002024,0.001462,0.001618,0.001244
"Istarska","Istria",0.008883,0.012952,0.01133,0.00819,0.008776,0.007418,0.006732,0.006928,0.005186,0.005446,0.004126,0.003585,0.002795,0.002911
"Karlovačka","Karlovac",0.001093,0.001101,0.00181,0.001999,0.00307,0.002103,0.002804,0.00194,0.001747,0.001012,0.001252,0.001416,0.000959,0.000755
"Koprivničko-križevačka","Koprivnica-Križevci",0.001853,0.001879,0.002627,0.002219,0.003413,0.002743,0.001765,0.001653,0.001757,0.001577,0.000697,0.000726,0.000748,0.000712
"Krapinsko-zagorska","Krapina-Zagorje",0.001575,0.001729,0.001308,0.001394,0.001317,0.002442,0.002285,0.00312,0.00114,0.001055,0.001154,0.000588,0.000646,0.000458
"Ličko-senjska","Lika-Senj",0.005883,0.0099,0.018349,0.012099,0.009597,0.006688,0.01186,0.011514,0.007306,0.005503,0.004906,0.004497,0.007232,0.00592
"Međimurska","Međimurje",0.00184,0.001868,0.001465,0.00341,0.00336,0.002443,0.003095,0.003278,0.001651,0.001732,0.001268,0.00201,0.00137,0.001706
"Osječko-baranjska","Osijek-Baranja",0.002362,0.002306,0.002043,0.003649,0.005769,0.004853,0.003526,0.003184,0.002161,0.001645,0.002286,0.000788,0.00065,0.000367
"Požeško-slavonska","Požega-Slavonia",0.002032,0.002053,0.001543,0.001892,0.002433,0.001944,0.002118,0.001834,0.00183,0.00207,0.000992,0.000739,0.000973,0.00083
"Primorsko-goranska","Primorje-Gorski kotar",0.006866,0.009648,0.008634,0.009542,0.008562,0.009538,0.009174,0.007421,0.005261,0.00549,0.004219,0.00323,0.003033,0.003532
"Republika Hrvatska","Republic of Croatia",0.004544,0.004937,0.004729,0.005449,0.005919,0.005772,0.005705,0.003953,0.003114,0.003147,0.002283,0.00182,0.001827,0.001653
"Sisačko-moslavačka","Sisak-Moslavina",0.001418,0.001624,0.001291,0.001278,0.001016,0.001696,0.002708,0.002606,0.001635,0.001654,0.001128,0.001604,0.000445,0.000406
"Splitsko-dalmatinska","Split-Dalmatia",0.005366,0.006202,0.006362,0.005057,0.00538,0.00619,0.0049,0.003674,0.002526,0.003295,0.002034,0.002441,0.002492,0.001986
"Šibensko-kninska","Šibenik-Knin",0.004167,0.005352,0.007804,0.00938,0.008603,0.008272,0.002242,0.00308,0.004489,0.004575,0.004247,0.003914,0.002994,0.002742
"Varaždinska","Varaždin",0.002654,0.002214,0.002991,0.002548,0.004325,0.002128,0.00506,0.002553,0.002652,0.002537,0.000828,0.001061,0.001338,0.001321
"Virovitičko-podravska","Virovitica-Podravina",0.001488,0.001495,0.0015,0.001588,0.002357,0.002333,0.002179,0.002046,0.001966,0.001855,0.000931,0.000446,0.000633,0.000608
"Vukovarsko-srijemska","Vukovar-Sirmium",0.001777,0.002633,0.00317,0.002833,0.002539,0.002262,0.004465,0.003649,0.002352,0.003666,0.001211,0.000642,0.001361,0.000644
"Zadarska","Zadar",0.011549,0.010343,0.008052,0.008985,0.004021,0.00395,0.006284,0.008398,0.009356,0.009259,0.006236,0.00493,0.006614,0.005677
"Zagrebačka","Zagreb",0.003053,0.002984,0.003092,0.005139,0.00361,0.003763,0.005576,0.00444,0.002571,0.002236,0.001879,0.001082,0.000845,0.000821
