"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.000318,0.000282,0.000355,0.000389,0.000488,0.000258,0.000505,0.000378,0.000779,0.000435,0.000398,0.000274,0.000312,0.000598
"Brodsko-posavska","Slavonski Brod-Posavina",0.000158,0.000341,0.000196,0.00016,9.2e-05,0.000136,0.000161,0.000112,0.000144,8.2e-05,0.000166,0.00016,9.1e-05,0.000126
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.000187,0.000195,0.000279,0.000327,0.000292,0.000481,0.000272,0.000262,0.000351,0.000392,0.000368,0.000286,0.000335,0.000384
"Grad Zagreb","City of Zagreb",0.000354,0.000219,0.000217,0.000193,0.000194,0.000163,0.000123,0.000127,1e-04,0.000116,0.000106,0.000106,9.1e-05,0.000199
"Istarska","Istria",0.000382,0.000445,0.000382,0.000448,4e-04,0.000475,0.000472,0.000787,0.000853,0.000774,0.001295,0.000905,0.000576,0.000495
"Karlovačka","Karlovac",0.000539,0.000594,0.000547,0.000625,0.000482,0.000277,0.000422,0.000548,0.000508,0.000288,0.000181,0.000183,0.000153,0.000271
"Koprivničko-križevačka","Koprivnica-Križevci",0.000629,0.000624,0.000987,0.001076,0.000642,0.000866,0.000546,0.000634,0.000491,0.000433,0.000662,0.000717,0.000378,0.000409
"Krapinsko-zagorska","Krapina-Zagorje",0.000303,4e-04,0.000555,0.000411,0.000478,0.000392,0.000149,0.000209,0.000203,0.000219,0.000296,0.000168,0.000169,0.000217
"Ličko-senjska","Lika-Senj",0.000959,0.00087,0.000669,0.000476,0.00061,0.000579,0.00051,0.000516,0.000836,0.000355,0.00042,0.000587,0.000452,0.000441
"Međimurska","Međimurje",0.000447,0.000719,0.000482,0.000719,0.000868,0.000668,0.000624,8e-04,0.000738,0.000747,0.001074,0.000538,0.000539,0.000657
"Osječko-baranjska","Osijek-Baranja",0.000675,0.000659,0.000712,0.000654,0.000597,0.000608,0.000725,5e-04,0.00049,0.000539,0.000512,0.000465,0.000352,0.00037
"Požeško-slavonska","Požega-Slavonia",0.000325,0.000568,0.000401,0.000464,0.000319,0.000433,0.000287,0.000239,0.000305,0.000373,0.000587,0.000422,0.000387,0.000177
"Primorsko-goranska","Primorje-Gorski kotar",0.000327,0.000348,0.000341,0.000391,0.000373,0.000363,0.000336,0.000464,0.000475,0.00048,0.000474,0.000441,0.000204,0.000285
"Republika Hrvatska","Republic of Croatia",0.000365,0.000388,0.000357,0.000363,0.000334,0.00033,0.000323,0.00033,0.000339,0.000323,0.000384,0.000296,0.000236,0.000284
"Sisačko-moslavačka","Sisak-Moslavina",0.000574,0.000887,0.000457,0.000379,0.000454,0.000436,0.000229,0.000226,0.000224,0.000361,0.000401,0.000222,0.000232,0.000318
"Splitsko-dalmatinska","Split-Dalmatia",0.000226,0.000206,0.000144,0.000221,0.000199,0.00023,0.000295,0.00027,0.000178,0.000202,0.000211,0.000165,0.000112,8.2e-05
"Šibensko-kninska","Šibenik-Knin",0.000136,0.00019,0.000163,0.000126,6.3e-05,0.000179,6.3e-05,0.00018,0.000127,0.00011,0.000316,7.5e-05,0.000123,0.000105
"Varaždinska","Varaždin",0.000294,0.000324,0.000179,0.000101,9.5e-05,0.00013,0.000231,0.000181,0.000255,0.000222,0.000308,0.000252,0.000294,0.000367
"Virovitičko-podravska","Virovitica-Podravina",0.000602,0.000626,0.000833,0.000716,0.000677,0.000751,0.000459,0.00037,0.000339,0.000449,0.00031,0.000313,0.000475,0.000595
"Vukovarsko-srijemska","Vukovar-Sirmium",0.000348,0.000372,0.000519,0.000435,0.000378,0.000412,0.000593,0.000595,0.000613,0.000391,0.000496,0.000341,0.000311,0.000402
"Zadarska","Zadar",0.000224,0.000335,9.4e-05,0.000296,0.000274,0.000223,0.000507,0.000267,0.000431,0.000394,0.000398,0.000385,0.000204,0.000323
"Zagrebačka","Zagreb",0.000197,0.000228,0.000233,0.000234,0.00019,0.000144,7e-05,0.000136,0.000133,0.00022,0.000333,0.000163,0.000207,0.000171
