"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.003909,0.003363,0.00264,0.003189,0.002865,0.002908,0.003347,0.003004,0.002236,0.002738,0.002185,0.001813,0.00161,0.001398
"Brodsko-posavska","Slavonski Brod-Posavina",0.002353,0.00281,0.002949,0.003638,0.003289,0.003314,0.003614,0.002664,0.002106,0.002028,0.001483,0.001013,0.001733,0.001099
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.002758,0.003342,0.003369,0.003357,0.003061,0.003672,0.002082,0.002306,0.0023,0.002082,0.00197,0.001293,0.001471,0.001447
"Grad Zagreb","City of Zagreb",0.002152,0.001787,0.001417,0.001905,0.002369,0.002281,0.001714,0.000964,0.000921,0.000701,0.00052,0.000427,0.000482,0.000497
"Istarska","Istria",0.004824,0.005587,0.004797,0.003962,0.004977,0.003799,0.003535,0.004841,0.004161,0.003649,0.003177,0.002714,0.002507,0.00219
"Karlovačka","Karlovac",0.001847,0.001877,0.002357,0.002521,0.002551,0.002409,0.002276,0.002525,0.001862,0.001448,0.001472,0.001201,0.001724,0.001674
"Koprivničko-križevačka","Koprivnica-Križevci",0.003681,0.003484,0.003548,0.004152,0.004173,0.003626,0.002447,0.002132,0.001817,0.001551,0.001341,0.001198,0.001196,0.001273
"Krapinsko-zagorska","Krapina-Zagorje",0.002665,0.002652,0.002133,0.002502,0.002237,0.002471,0.002702,0.002486,0.001726,0.001477,0.001328,0.001192,0.001177,0.001195
"Ličko-senjska","Lika-Senj",0.002824,0.003391,0.005821,0.004814,0.004475,0.005212,0.006081,0.005279,0.003925,0.004142,0.003524,0.003424,0.003945,0.003275
"Međimurska","Međimurje",0.004205,0.003726,0.002667,0.003498,0.003824,0.003357,0.004211,0.00348,0.00238,0.002347,0.002131,0.002319,0.002289,0.001874
"Osječko-baranjska","Osijek-Baranja",0.002566,0.002763,0.002714,0.003453,0.003735,0.002756,0.002157,0.002047,0.00157,0.001639,0.001516,0.000984,0.001023,0.000751
"Požeško-slavonska","Požega-Slavonia",0.002538,0.002536,0.002188,0.002441,0.002605,0.002166,0.001645,0.002149,0.001716,0.002122,0.001344,0.001055,0.000907,0.001198
"Primorsko-goranska","Primorje-Gorski kotar",0.003848,0.004654,0.004744,0.00439,0.00392,0.004233,0.00389,0.003603,0.002858,0.002892,0.002238,0.001707,0.001698,0.001968
"Republika Hrvatska","Republic of Croatia",0.002699,0.002783,0.002603,0.002843,0.002815,0.00264,0.002527,0.002396,0.002009,0.00192,0.001568,0.001275,0.001318,0.001221
"Sisačko-moslavačka","Sisak-Moslavina",0.001535,0.002068,0.001753,0.001516,0.001421,0.00174,0.002121,0.002476,0.001801,0.001706,0.001399,0.001664,0.000646,0.00063
"Splitsko-dalmatinska","Split-Dalmatia",0.00183,0.001993,0.001823,0.001692,0.00156,0.001597,0.001597,0.001271,0.001244,0.001155,0.000851,0.000886,0.000924,0.000852
"Šibensko-kninska","Šibenik-Knin",0.001525,0.002092,0.003301,0.003617,0.002769,0.002402,0.001058,0.00158,0.002412,0.002109,0.002547,0.002018,0.001753,0.001658
"Varaždinska","Varaždin",0.002899,0.002672,0.002352,0.002307,0.00223,0.002235,0.00339,0.002592,0.002165,0.001929,0.001456,0.001187,0.001487,0.001524
"Virovitičko-podravska","Virovitica-Podravina",0.002331,0.002594,0.002622,0.003041,0.003428,0.002698,0.002787,0.002751,0.002657,0.002588,0.001599,0.001241,0.001874,0.001774
"Vukovarsko-srijemska","Vukovar-Sirmium",0.002057,0.002267,0.002074,0.002855,0.002663,0.00217,0.002442,0.002469,0.001811,0.002587,0.00152,0.000944,0.001003,0.000934
"Zadarska","Zadar",0.00376,0.003681,0.002747,0.0037,0.001408,0.001361,0.002337,0.00368,0.004002,0.003936,0.003358,0.002436,0.002776,0.002644
"Zagrebačka","Zagreb",0.003097,0.002802,0.002712,0.002884,0.003058,0.002792,0.003014,0.003347,0.002417,0.002223,0.001879,0.001415,0.001407,0.001118
