"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",1.63274,2.140951,1.943257,1.792194,1.893308,2.006365,3.041942,2.820473,1.821686,2.229598,2.449624,1.908994,1.741743,2.034981
"Brodsko-posavska","Slavonski Brod-Posavina",1.379336,1.779402,1.75342,1.722344,2.431928,3.460643,4.059862,2.590105,2.598132,2.220324,2.804553,2.114911,2.025506,2.208752
"Dubrovačko-neretvanska","Dubrovnik-Neretva",2.250921,3.607915,4.469168,4.561101,5.703364,8.042156,12.592096,11.378176,7.870828,6.746472,8.67122,8.481493,6.518173,7.721115
"Grad Zagreb","City of Zagreb",2.80154,3.439529,4.343726,5.218481,6.540878,7.351276,8.412252,6.759211,4.96611,4.406592,3.891757,3.59049,3.005932,2.894436
"Istarska","Istria",3.276237,4.528875,6.074882,7.337533,8.890541,6.909058,7.201753,7.136024,5.8203,5.854428,5.656387,5.599332,5.715645,5.580839
"Karlovačka","Karlovac",11.881928,4.414243,2.168476,1.995215,3.766956,3.813379,3.939732,2.935137,3.058771,2.794117,2.571431,2.305144,2.833598,3.039741
"Koprivničko-križevačka","Koprivnica-Križevci",1.234782,1.7919,2.159787,2.465911,3.304802,2.982619,3.593875,3.466403,1.914353,2.630536,3.533201,2.997359,2.445262,3.087836
"Krapinsko-zagorska","Krapina-Zagorje",1.040897,1.226295,1.553099,5.130902,4.515927,3.358677,3.598498,3.419314,1.67562,2.119415,2.206234,2.493411,2.820501,3.156821
"Ličko-senjska","Lika-Senj",7.844885,16.266028,35.218494,10.294882,8.524296,8.124568,11.277318,12.502276,8.104364,7.035998,5.247908,4.98975,4.824327,4.960238
"Međimurska","Međimurje",1.362055,2.094695,2.809988,2.94354,3.00757,3.27193,4.345914,3.506147,2.373892,2.297962,2.336832,2.422591,2.379908,2.719656
"Osječko-baranjska","Osijek-Baranja",1.944035,2.007615,2.429534,2.780456,4.517203,6.757307,8.401553,5.621027,4.126019,3.896073,3.656553,3.48093,3.126673,3.175174
"Požeško-slavonska","Požega-Slavonia",1.613229,2.353718,2.737777,2.014778,1.906221,1.723337,2.984252,2.613321,1.823532,2.218425,2.067475,2.190063,2.040645,1.742395
"Primorsko-goranska","Primorje-Gorski kotar",3.615367,5.191038,5.110311,5.935506,7.235922,8.546921,9.01588,7.604545,5.728304,4.548053,4.704494,4.037824,4.771455,4.988366
"Republika Hrvatska","Republic of Croatia",2.675167,3.762145,3.925859,4.131492,4.970845,5.637571,6.447491,5.666658,4.159365,3.92085,3.743643,3.54613,3.324545,3.603475
"Sisačko-moslavačka","Sisak-Moslavina",2.153594,2.126481,2.234164,2.571035,3.354808,3.461011,3.897435,3.938969,3.198969,3.372567,2.801811,2.834257,2.7268,2.980866
"Splitsko-dalmatinska","Split-Dalmatia",1.875161,2.88063,3.174254,3.230418,5.445886,6.032754,5.637501,4.913755,4.902105,3.916669,3.382102,3.597371,2.999063,4.084161
"Šibensko-kninska","Šibenik-Knin",2.233305,4.060803,6.553178,8.545327,3.407814,4.82201,4.365716,4.132732,3.418521,4.758747,4.281175,4.465252,3.628918,4.077113
"Varaždinska","Varaždin",2.704982,4.612952,2.875333,2.708706,3.209717,4.728099,4.994218,3.636593,2.558811,2.424319,2.882957,2.269558,2.220416,1.882947
"Virovitičko-podravska","Virovitica-Podravina",0.578368,1.12146,1.375351,2.474441,2.378477,2.116452,2.578341,2.384261,2.437485,3.303813,2.612861,2.373725,2.136413,2.030468
"Vukovarsko-srijemska","Vukovar-Sirmium",2.057431,2.448024,2.307603,3.541677,4.062708,3.813745,4.212736,5.182042,3.730397,4.008583,2.667012,2.247954,2.439014,4.014543
"Zadarska","Zadar",4.255691,6.896339,5.742716,4.664993,5.410227,7.243664,7.737525,6.541681,4.398906,4.685375,4.918212,4.455092,3.762006,3.229461
"Zagrebačka","Zagreb",1.212887,1.961511,2.032265,2.796461,3.560311,4.710139,6.21645,7.815499,3.711217,3.616888,3.501849,3.70632,4.257501,4.716637
