"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.318681,0.31242,0.287002,0.389172,0.45559,1.02799,0.360328,0.406674,0.222648,0.510197,0.228644,0.10679,0.303801,0.517996
"Brodsko-posavska","Slavonski Brod-Posavina",0.062912,0.295955,0.152813,0.388515,0.431553,0.777597,0.239306,0.27416,0.168606,0.391718,0.106311,0.086088,0.08563,0.283958
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.334507,0.223928,0.322403,0.407146,0.173483,1.558555,0.120702,0.357614,0.212642,0.203322,0.109664,0.201928,0.36435,0.446451
"Grad Zagreb","City of Zagreb",0.42215,0.531226,0.696213,0.602223,0.517258,0.532975,0.903625,0.220644,0.802844,0.227759,0.131765,0.178575,0.154834,0.100134
"Istarska","Istria",0.150649,0.450442,0.388961,0.413665,0.453581,0.387063,0.437173,0.474681,0.549636,0.250683,0.20197,0.1078,0.16205,0.401845
"Karlovačka","Karlovac",0.188491,0.194931,0.21472,0.361226,0.23865,0.345191,0.216344,0.49496,0.180732,0.21232,0.135389,0.162529,0.252379,0.284652
"Koprivničko-križevačka","Koprivnica-Križevci",0.365135,0.399471,0.484574,0.687319,0.918461,0.417607,0.576805,0.181742,0.215533,0.236788,0.246896,0.187046,0.203469,0.984389
"Krapinsko-zagorska","Krapina-Zagorje",0.392536,0.464107,0.393732,0.401541,0.345752,0.612323,0.353979,0.280098,0.26312,0.212404,0.189609,0.110379,0.245809,0.307102
"Ličko-senjska","Lika-Senj",0.271618,0.265829,0.231257,0.581948,0.504179,1.109212,0.498565,0.166928,0.213625,0.486755,0.221937,0.307431,0.196774,0.486312
"Međimurska","Međimurje",0.672393,0.800517,0.890998,0.668908,1.167344,0.882211,0.780392,0.506297,0.37355,0.325972,0.29681,0.280884,0.82704,0.632115
"Osječko-baranjska","Osijek-Baranja",0.188644,0.417069,0.470357,0.618102,0.997864,0.586027,0.511423,0.878471,0.314969,0.313189,0.559248,0.155926,0.323004,1.031879
"Požeško-slavonska","Požega-Slavonia",0.351305,0.338913,0.440311,0.287306,0.276507,0.175495,0.186285,0.300799,0.513809,0.164976,0.100951,0.102822,0.41933,0.097546
"Primorsko-goranska","Primorje-Gorski kotar",0.237657,0.362438,0.270503,0.506783,0.300196,0.623707,0.404362,0.416927,0.271514,0.19645,0.324653,0.068129,0.182294,1.039255
"Republika Hrvatska","Republic of Croatia",0.279632,0.382977,0.410829,0.448477,0.461002,0.583551,0.487722,0.398455,0.384181,0.255076,0.219152,0.171638,0.228851,0.381136
"Sisačko-moslavačka","Sisak-Moslavina",0.048847,0.152992,0.138586,0.099499,0.283641,0.102326,0.176423,0.204442,0.165331,0.112954,0.222637,0.034406,0.164836,0.076772
"Splitsko-dalmatinska","Split-Dalmatia",0.236025,0.403527,0.320439,0.297118,0.292222,0.357221,0.321934,0.6819,0.203063,0.284644,0.096487,0.193694,0.043235,0.133288
"Šibensko-kninska","Šibenik-Knin",0.090272,0.308242,0.263888,0.280046,0.239417,0.53977,0.673821,0.23341,0.115253,0.320192,0.203727,0.040501,0.136072,0.200757
"Varaždinska","Varaždin",0.447659,0.476071,0.528393,0.671784,0.63643,0.766923,0.600723,0.259523,0.363614,0.225413,0.226349,0.195856,0.30065,0.348105
"Virovitičko-podravska","Virovitica-Podravina",0.232085,0.33322,0.335093,0.33797,0.47611,0.480183,0.386486,0.275664,0.226584,0.337387,0.178848,0.24978,0.503688,0.668366
"Vukovarsko-srijemska","Vukovar-Sirmium",0.165435,0.248735,0.248738,0.541671,0.448359,0.470496,0.483026,0.359926,0.498642,0.278092,0.318291,0.19665,0.136392,0.392379
"Zadarska","Zadar",0.252922,0.156789,0.224244,0.201637,0.163759,0.43199,0.235352,0.144199,0.532244,0.100575,0.454979,0.168339,0.072558,0.220047
"Zagrebačka","Zagreb",0.282587,0.302887,0.413042,0.297365,0.308676,0.899224,0.420238,0.523777,0.221144,0.258708,0.160231,0.378789,0.496551,0.245651
