"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.184146,0.208462,0.148702,0.141885,0.245206,0.179232,0.317279,0.343843,0.269343,0.301998,0.380707,0.262562,0.251904,0.24742
"Brodsko-posavska","Slavonski Brod-Posavina",0.085368,0.154432,0.158265,0.262362,0.30902,0.446177,0.481012,0.478081,0.799912,0.427011,0.635416,0.372349,0.211731,0.286454
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.048626,0.342221,0.265914,0.347475,0.31607,0.309904,0.523833,0.49686,0.334163,0.694601,1.419309,1.044461,0.603343,0.815612
"Grad Zagreb","City of Zagreb",0.413482,0.428659,0.553301,0.604971,0.831232,0.773007,0.594726,0.614951,0.415743,0.24294,0.354214,0.389177,0.203486,0.238501
"Istarska","Istria",0.298058,0.227085,0.356265,0.614619,1.031228,0.78733,0.776701,0.648135,0.59408,0.673265,0.933887,0.950802,0.709785,0.841906
"Karlovačka","Karlovac",0.2259,0.289209,0.275474,0.263545,1.104031,0.338127,0.393117,0.479108,0.36074,0.536955,0.3573,0.255307,0.299065,0.82894
"Koprivničko-križevačka","Koprivnica-Križevci",0.329286,0.255681,0.302538,0.323228,0.802146,0.495691,0.76423,0.518689,0.373962,0.549894,0.531756,0.491027,0.510696,0.562884
"Krapinsko-zagorska","Krapina-Zagorje",0.072498,0.172412,0.062103,0.133654,0.283118,0.651446,0.410443,0.224941,0.209408,0.354287,0.282903,0.234004,0.230874,0.344222
"Ličko-senjska","Lika-Senj",0.559075,1.179178,2.546326,1.50723,1.718945,1.35138,1.208423,4.881747,2.587168,1.228633,1.01748,0.63441,0.453688,1.158227
"Međimurska","Međimurje",0.248951,0.817036,0.852462,0.704856,0.569528,0.92858,0.820454,0.474018,0.37968,0.518234,0.522944,0.540519,0.517626,1.051965
"Osječko-baranjska","Osijek-Baranja",0.438334,0.458855,0.38212,0.326602,0.509199,0.517965,0.878608,0.539527,0.550206,0.451525,0.356874,0.584011,0.390141,0.678894
"Požeško-slavonska","Požega-Slavonia",0.251112,0.292261,0.231537,0.265169,0.273718,0.310868,0.327669,0.275519,0.133726,0.226898,0.36584,0.564861,0.22272,0.313176
"Primorsko-goranska","Primorje-Gorski kotar",0.387749,0.630036,0.63192,0.833238,1.057945,0.904629,0.966296,0.959099,0.640878,0.577702,0.699648,0.675706,0.722121,0.976256
"Republika Hrvatska","Republic of Croatia",0.299852,0.405626,0.456902,0.503373,0.685154,0.638378,0.641803,0.654337,0.482898,0.506169,0.543112,0.519487,0.412607,0.566612
"Sisačko-moslavačka","Sisak-Moslavina",0.417335,0.339307,0.425711,1.040632,0.61301,0.809525,0.637283,0.629296,0.520679,0.601398,0.565407,0.683428,0.722445,0.907319
"Splitsko-dalmatinska","Split-Dalmatia",0.163385,0.217479,0.33773,0.270924,0.328928,0.427443,0.292235,0.328791,0.358229,0.246248,0.31325,0.252334,0.228097,0.400905
"Šibensko-kninska","Šibenik-Knin",0.37682,0.590067,0.637668,0.537787,0.925699,1.066321,0.861967,0.710294,0.801573,1.217572,1.19671,1.007509,0.85737,0.956468
"Varaždinska","Varaždin",0.307302,0.423399,0.36223,0.493495,0.428701,0.460698,0.405279,0.338878,0.217339,0.489728,0.440325,0.330119,0.239551,0.448664
"Virovitičko-podravska","Virovitica-Podravina",0.029439,0.115349,0.196971,0.25445,0.465375,0.329107,0.401567,0.294295,0.233536,0.483651,0.747149,0.533729,0.763382,0.576641
"Vukovarsko-srijemska","Vukovar-Sirmium",0.182655,0.355119,0.351946,0.527171,0.639285,0.541401,0.513222,0.576296,0.293108,0.655005,0.566017,0.347543,0.268183,0.484506
"Zadarska","Zadar",0.456881,0.83223,1.177216,0.90656,1.397632,1.160532,1.583907,0.9968,0.999664,1.290849,0.885911,0.957335,0.741225,0.695425
"Zagrebačka","Zagreb",0.288543,0.478623,0.325451,0.342269,0.598143,0.48772,0.586067,1.020674,0.36451,0.621561,0.48664,0.529982,0.485252,0.643151
