"Županija","County.of","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",NA,0.058322,0.000142,0.043789,0.030533,0.016479,0.059542,0.028698,0.029021,0.027502,0.013092,0.052822,0.008023,0.087396
"Brodsko-posavska","Slavonski Brod-Posavina",0.004907,0.017681,0.014031,0.010644,0.014514,0.015114,0.049299,0.041256,0.025546,0.00522,0.001872,0.028143,0.002226,0.054234
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.015388,0.028837,0.190278,0.050633,0.103753,0.027817,0.124965,0.039924,0.046812,0.064145,0.062908,0.004542,0.041061,0.059078
"Grad Zagreb","City of Zagreb",0.055105,0.108093,0.088529,0.034029,0.037397,0.061461,0.044139,0.037861,0.031602,0.050634,0.033991,0.032968,0.044807,0.040346
"Istarska","Istria",0.062933,0.075935,0.039314,0.164529,0.053792,0.065412,0.186347,0.161,0.104813,0.062117,0.032515,0.140399,0.238332,0.196436
"Karlovačka","Karlovac",0.009676,0.00981,0.004489,0.00269,0.000734,0.000995,0.0041,0.019329,0.008727,0.000218,0.005079,0.010542,0.035738,0.010785
"Koprivničko-križevačka","Koprivnica-Križevci",NA,0.004739,0.005673,0.080305,0.134688,0.103132,0.104908,0.057869,0.009936,0.011488,0.00768,0.000533,NA,0.00186
"Krapinsko-zagorska","Krapina-Zagorje",0.006884,0.002681,0.002491,0.054351,0.037498,0.009013,0.044449,0.030389,0.019012,0.006738,0.030364,0.020497,7e-04,0.002793
"Ličko-senjska","Lika-Senj",0.071538,0.123803,0.055699,0.014003,0.213176,0.035513,0.008385,0.020407,0.020169,0.007298,0.066537,0.063123,0.093322,0.114225
"Međimurska","Međimurje",0.00594,0.001719,0.034957,0.007109,0.055454,0.044629,0.056467,0.07229,0.06729,0.037988,0.020676,0.023683,0.018452,0.000906
"Osječko-baranjska","Osijek-Baranja",0.005302,0.022925,0.01131,0.030518,0.015596,0.022244,0.016995,0.075925,0.024928,0.005848,0.004079,0.008254,0.016016,0.025674
"Požeško-slavonska","Požega-Slavonia",0.039278,0.034671,0.034308,0.01966,0.006021,0.003677,0.003987,0.000779,0.002466,NA,0.00861,NA,0.013682,0.000749
"Primorsko-goranska","Primorje-Gorski kotar",0.022166,0.026256,0.067561,0.043024,0.054312,0.047951,0.102662,0.037705,0.032046,0.040236,0.049688,0.094125,0.160556,0.240857
"Republika Hrvatska","Republic of Croatia",0.022709,0.039908,0.044246,0.040346,0.03956,0.04262,0.054371,0.055067,0.034743,0.037106,0.027854,0.034282,0.046857,0.063368
"Sisačko-moslavačka","Sisak-Moslavina",0.037583,0.018171,0.030167,0.002074,0.000645,0.00379,0.004606,0.062348,0.019213,0.082714,0.039291,0.045607,0.005153,0.025435
"Splitsko-dalmatinska","Split-Dalmatia",0.007537,0.007364,0.02319,0.040217,0.048255,0.03373,0.033835,0.096681,0.019265,0.019051,0.026153,0.004506,0.017916,0.036639
"Šibensko-kninska","Šibenik-Knin",0.008769,0.024696,0.080231,0.074131,0.019436,0.032703,0.028622,0.049634,0.12405,0.195861,0.103806,0.056411,0.052467,0.074668
"Varaždinska","Varaždin",0.002182,0.038894,0.025803,0.01122,0.002606,0.042923,0.013691,0.014591,0.005945,0.006639,0.000679,0.000757,0.003621,0.003415
"Virovitičko-podravska","Virovitica-Podravina",NA,0.004891,0.002378,0.052113,0.026196,0.005816,0.000287,0.007952,0.002189,0.022394,0.006347,0.038962,NA,0.003089
"Vukovarsko-srijemska","Vukovar-Sirmium",0.000976,0.005553,0.00671,0.01193,0.012954,0.020148,0.031659,0.090518,0.066123,0.047156,0.016049,0.029415,0.049775,0.103774
"Zadarska","Zadar",0.003581,0.079781,0.135812,0.04902,0.057373,0.057133,0.171052,0.071374,0.049401,0.035015,0.014916,0.040141,0.088918,0.055357
"Zagrebačka","Zagreb",0.003214,0.005049,0.004606,0.046658,0.040787,0.100779,0.039591,0.028725,0.03437,0.036544,0.037981,0.025624,0.011747,0.083088
