"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",3.9e-05,3.9e-05,3.9e-05,3.9e-05,3.2e-05,2.4e-05,2.4e-05,2.4e-05,8e-06,1.7e-05,1.7e-05,1.7e-05,9e-06,1.7e-05,1.8e-05
"Brodsko-posavska","Slavonski Brod-Posavina",6e-06,1.2e-05,1.2e-05,1.2e-05,1.2e-05,6e-06,6e-06,NA,NA,NA,NA,NA,6e-06,6e-06,7e-06
"Dubrovačko-neretvanska","Dubrovnik-Neretva",7.7e-05,6.8e-05,7.6e-05,5.1e-05,4.2e-05,5e-05,5.8e-05,5.8e-05,4.9e-05,4.9e-05,4.9e-05,6.5e-05,6.5e-05,5.7e-05,7.4e-05
"Grad Zagreb","City of Zagreb",2.6e-05,2.6e-05,2.3e-05,1.8e-05,1.7e-05,1.2e-05,1e-05,9e-06,1e-05,9e-06,1.1e-05,1.3e-05,1.3e-05,1.3e-05,1.1e-05
"Istarska","Istria",4.6e-05,4.5e-05,4.5e-05,4e-05,3.9e-05,2.9e-05,2.9e-05,2.9e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05
"Karlovačka","Karlovac",2.8e-05,2.9e-05,2.9e-05,3.6e-05,2.9e-05,3e-05,2.2e-05,8e-06,8e-06,8e-06,8e-06,8e-06,NA,NA,0
"Koprivničko-križevačka","Koprivnica-Križevci",2.5e-05,2.5e-05,2.5e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,1.7e-05,9e-06,9e-06
"Krapinsko-zagorska","Krapina-Zagorje",3.6e-05,3.6e-05,2.9e-05,2.9e-05,2.2e-05,1.5e-05,7e-06,NA,NA,8e-06,8e-06,8e-06,8e-06,8e-06,8e-06
"Ličko-senjska","Lika-Senj",5.4e-05,5.4e-05,5.4e-05,5.4e-05,3.7e-05,3.7e-05,3.7e-05,3.8e-05,1.9e-05,1.9e-05,2e-05,2e-05,2e-05,2.1e-05,4.2e-05
"Međimurska","Međimurje",2.6e-05,3.5e-05,3.5e-05,3.5e-05,2.6e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05,1.8e-05
"Osječko-baranjska","Osijek-Baranja",3.1e-05,2.8e-05,2.5e-05,2.5e-05,1.9e-05,1.3e-05,1.6e-05,1.6e-05,1.3e-05,1.3e-05,2e-05,1.7e-05,1.7e-05,1.7e-05,2e-05
"Požeško-slavonska","Požega-Slavonia",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,NA,NA,NA,NA,NA,NA,NA,1.3e-05,1.3e-05,1.4e-05
"Primorsko-goranska","Primorje-Gorski kotar",4.4e-05,3.7e-05,3.4e-05,3.4e-05,2.7e-05,2.4e-05,2.7e-05,2.4e-05,2e-05,2e-05,2e-05,2e-05,2e-05,1.4e-05,2.1e-05
"Republika Hrvatska","Republic of Croatia",3.4e-05,3.4e-05,3.3e-05,3e-05,2.5e-05,2e-05,2.1e-05,1.9e-05,1.7e-05,1.7e-05,1.8e-05,1.8e-05,1.7e-05,1.6e-05,1.9e-05
"Sisačko-moslavačka","Sisak-Moslavina",4.2e-05,3.7e-05,3.7e-05,3.8e-05,1.6e-05,2.2e-05,1.7e-05,2.2e-05,2.3e-05,1.7e-05,1.7e-05,1.8e-05,1.8e-05,1.8e-05,2.5e-05
"Splitsko-dalmatinska","Split-Dalmatia",5.7e-05,5.5e-05,5e-05,4.5e-05,3.8e-05,2.7e-05,2.9e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.2e-05,2.2e-05,2.2e-05,3.3e-05
"Šibensko-kninska","Šibenik-Knin",2.7e-05,2.7e-05,4.5e-05,4.5e-05,2.7e-05,3.6e-05,4.5e-05,5.4e-05,5.4e-05,5.4e-05,5.5e-05,4.6e-05,3.8e-05,3.8e-05,2.9e-05
"Varaždinska","Varaždin",2.8e-05,3.3e-05,3.3e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.8e-05,2.3e-05,2.8e-05,2.3e-05,1.7e-05,1.2e-05,1.2e-05
"Virovitičko-podravska","Virovitica-Podravina",3.3e-05,3.3e-05,4.4e-05,4.4e-05,2.2e-05,1.1e-05,1.1e-05,1.1e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1.2e-05
"Vukovarsko-srijemska","Vukovar-Sirmium",1.6e-05,1.6e-05,1.6e-05,1.1e-05,1.1e-05,1.1e-05,1.1e-05,5e-06,5e-06,NA,1.1e-05,6e-06,6e-06,6e-06,6e-06
"Zadarska","Zadar",3.9e-05,5.1e-05,4.4e-05,5e-05,4.3e-05,2.4e-05,3e-05,3e-05,2.4e-05,1.8e-05,1.2e-05,1.8e-05,1.7e-05,1.2e-05,1.2e-05
"Zagrebačka","Zagreb",2.7e-05,2.7e-05,2.6e-05,2.6e-05,2.3e-05,2.3e-05,2.2e-05,1.9e-05,2.2e-05,2.2e-05,2.2e-05,2.2e-05,1.9e-05,1.3e-05,1.6e-05
