"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.288209,0.290859,0.293767,0.296962,0.297573,0.301533,0.305133,0.307905,0.305163,0.309031,0.307364,0.316472,0.321172,0.322203,0.319932
"Brodsko-posavska","Slavonski Brod-Posavina",0.263243,0.265395,0.263634,0.268155,0.272258,0.27238,0.27327,0.272708,0.268708,0.275203,0.275168,0.282826,0.28601,0.28664,0.288984
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.216416,0.220501,0.228725,0.254854,0.268446,0.279646,0.283952,0.284601,0.295075,0.302954,0.314782,0.322053,0.330147,0.337877,0.345216
"Grad Zagreb","City of Zagreb",0.29771,0.301703,0.302104,0.302696,0.314431,0.320791,0.319434,0.31918,0.314718,0.316337,0.323928,0.329583,0.328639,0.328813,0.332309
"Istarska","Istria",0.3181,0.318632,0.31996,0.327091,0.405264,0.433068,0.449471,0.465625,0.47223,0.480822,0.491621,0.511451,0.5261,0.536217,0.546311
"Karlovačka","Karlovac",0.261851,0.272195,0.277942,0.282379,0.290007,0.290665,0.302675,0.309046,0.311476,0.313597,0.316005,0.323252,0.325894,0.329872,0.335924
"Koprivničko-križevačka","Koprivnica-Križevci",0.270453,0.271905,0.27117,0.276356,0.278861,0.281767,0.285138,0.284003,0.28014,0.286533,0.282324,0.288665,0.290137,0.291746,0.29093
"Krapinsko-zagorska","Krapina-Zagorje",0.234604,0.238822,0.24119,0.242897,0.249523,0.257342,0.266063,0.268192,0.270692,0.270646,0.271218,0.274872,0.277558,0.278486,0.278174
"Ličko-senjska","Lika-Senj",0.247887,0.255906,0.25796,0.265787,0.275937,0.292075,0.319976,0.337564,0.350342,0.361359,0.380733,0.403368,0.416741,0.433861,0.451715
"Međimurska","Međimurje",0.252223,0.254234,0.252968,0.254311,0.258371,0.262339,0.268661,0.272726,0.271691,0.272769,0.269829,0.275112,0.273698,0.275427,0.277572
"Osječko-baranjska","Osijek-Baranja",0.30461,0.306946,0.306138,0.308937,0.315117,0.318998,0.320174,0.321062,0.318895,0.322274,0.32392,0.326001,0.328872,0.32933,0.328457
"Požeško-slavonska","Požega-Slavonia",0.269909,0.272111,0.27463,0.278277,0.280863,0.28345,0.289773,0.287763,0.287619,0.2946,0.295738,0.305084,0.307846,0.309357,0.30829
"Primorsko-goranska","Primorje-Gorski kotar",0.324531,0.325602,0.326619,0.340611,0.353886,0.371774,0.38607,0.388012,0.385499,0.396523,0.408505,0.417558,0.424248,0.430879,0.436627
"Republika Hrvatska","Republic of Croatia",0.267554,0.270342,0.271396,0.276161,0.286747,0.294561,0.300425,0.302407,0.302228,0.307541,0.312117,0.31933,0.323664,0.327245,0.331721
"Sisačko-moslavačka","Sisak-Moslavina",0.248894,0.258362,0.260089,0.267821,0.277242,0.281171,0.290343,0.294926,0.296596,0.300564,0.301796,0.309123,0.308616,0.311596,0.3117
"Splitsko-dalmatinska","Split-Dalmatia",0.209096,0.208655,0.210271,0.213006,0.218428,0.225807,0.231309,0.23172,0.234425,0.241388,0.247544,0.25606,0.26669,0.272942,0.281751
"Šibensko-kninska","Šibenik-Knin",0.224024,0.227051,0.232289,0.234597,0.2377,0.258143,0.263132,0.269168,0.282451,0.29292,0.304817,0.317022,0.323127,0.337405,0.349825
"Varaždinska","Varaždin",0.258337,0.259533,0.259984,0.262385,0.264869,0.271456,0.278922,0.281906,0.279807,0.281788,0.280126,0.28535,0.285208,0.28724,0.287726
"Virovitičko-podravska","Virovitica-Podravina",0.288715,0.290744,0.288201,0.293045,0.296221,0.296011,0.299501,0.297101,0.289938,0.302436,0.304393,0.308733,0.315155,0.316034,0.315184
"Vukovarsko-srijemska","Vukovar-Sirmium",0.258575,0.264722,0.267629,0.277684,0.284623,0.287878,0.292368,0.291299,0.289647,0.29466,0.294084,0.302124,0.305976,0.29557,0.305022
"Zadarska","Zadar",0.199816,0.196745,0.199713,0.205669,0.220069,0.236566,0.251636,0.253651,0.254291,0.272521,0.28122,0.291158,0.301846,0.320048,0.329034
"Zagrebačka","Zagreb",0.252215,0.2548,0.253156,0.255319,0.256544,0.259801,0.264989,0.264316,0.263985,0.264884,0.264718,0.2657,0.269545,0.272417,0.275723
