"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.011091,0.011922,0.012099,0.010543,0.008718,0.006595,0.006252,0.006711,0.002348,0.004431,0.004479,0.004531,0.002445,0.003765,0.003807
"Brodsko-posavska","Slavonski Brod-Posavina",0.002617,0.004615,0.004626,0.004644,0.004656,0.00265,0.00266,NA,NA,NA,NA,NA,0.003283,0.003323,0.00339
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.027135,0.024419,0.026942,0.016758,0.016279,0.014538,0.016163,0.016048,0.013433,0.010734,0.010747,0.016111,0.016212,0.014556,0.017656
"Grad Zagreb","City of Zagreb",0.009272,0.009295,0.008201,0.010542,0.0101,0.008711,0.009222,0.009156,0.009142,0.008932,0.011316,0.012181,0.012495,0.012136,0.011931
"Istarska","Istria",0.014424,0.013848,0.014561,0.014456,0.013323,0.00947,0.006885,0.006602,0.006314,0.006308,0.006326,0.006335,0.00758,0.007622,0.008046
"Karlovačka","Karlovac",0.01266,0.012249,0.012346,0.014802,0.012702,0.012813,0.011067,0.003821,0.003857,0.003902,0.003572,0.003614,NA,NA,0
"Koprivničko-križevačka","Koprivnica-Križevci",0.008774,0.007966,0.008006,0.004711,0.004732,0.004756,0.00478,0.0048,0.004821,0.004848,0.004878,0.004902,0.004924,0.001794,0.001816
"Krapinsko-zagorska","Krapina-Zagorje",0.01333,0.013341,0.011335,0.011469,0.010785,0.005916,0.003108,NA,NA,0.001756,0.001764,0.001776,0.001788,0.0018,0.001815
"Ličko-senjska","Lika-Senj",0.014105,0.015133,0.014397,0.013306,0.009811,0.009911,0.010013,0.010123,0.00547,0.005557,0.005484,0.005727,0.005632,0.005712,0.011085
"Međimurska","Međimurje",0.011032,0.013702,0.013713,0.01372,0.010256,0.007579,0.007592,0.007596,0.007593,0.007589,0.007596,0.007608,0.007618,0.007529,0.007568
"Osječko-baranjska","Osijek-Baranja",0.009281,0.00866,0.007335,0.007382,0.005595,0.004712,0.004747,0.004774,0.004786,0.004807,0.0128,0.010841,0.011746,0.011852,0.009669
"Požeško-slavonska","Požega-Slavonia",0.003955,0.001563,0.003985,0.00158,0.001586,NA,NA,NA,NA,NA,NA,NA,0.003694,0.003867,0.003947
"Primorsko-goranska","Primorje-Gorski kotar",0.0187,0.017229,0.016395,0.018069,0.01592,0.014719,0.021009,0.017166,0.015376,0.015475,0.01551,0.011967,0.011652,0.00939,0.011212
"Republika Hrvatska","Republic of Croatia",0.011824,0.011579,0.011164,0.011188,0.009536,0.008108,0.008678,0.007936,0.007418,0.007222,0.00884,0.008519,0.008475,0.007859,0.008326
"Sisačko-moslavačka","Sisak-Moslavina",0.01324,0.011715,0.010744,0.01161,0.004965,0.007683,0.006343,0.007648,0.007791,0.005265,0.005346,0.00542,0.005496,0.005598,0.008222
"Splitsko-dalmatinska","Split-Dalmatia",0.018079,0.016499,0.014903,0.013941,0.012266,0.00846,0.009933,0.008432,0.00774,0.008034,0.010546,0.010001,0.009837,0.008864,0.010864
"Šibensko-kninska","Šibenik-Knin",0.008644,0.008633,0.011782,0.011946,0.005258,0.008837,0.010262,0.011974,0.011987,0.015264,0.015742,0.01501,0.013281,0.013408,0.010152
"Varaždinska","Varaždin",0.010909,0.011812,0.011396,0.009516,0.009514,0.009526,0.00955,0.009003,0.008982,0.008767,0.01333,0.010157,0.008026,0.005731,0.005713
"Virovitičko-podravska","Virovitica-Podravina",0.011569,0.011644,0.015002,0.015823,0.008553,0.005729,0.005885,0.005929,0.005975,0.005758,0.005802,0.005846,0.005902,0.004309,0.004392
"Vukovarsko-srijemska","Vukovar-Sirmium",0.007038,0.007083,0.007119,0.005566,0.005527,0.005553,0.005577,0.00273,0.002775,NA,0.005644,0.002861,0.002359,0.002393,0.002476
"Zadarska","Zadar",0.012165,0.014394,0.012439,0.014978,0.0116,0.007202,0.010814,0.016087,0.013086,0.010666,0.008072,0.009324,0.009289,0.010696,0.010778
"Zagrebačka","Zagreb",0.008822,0.008745,0.008562,0.008124,0.007448,0.007333,0.007086,0.006312,0.006951,0.006919,0.006905,0.00691,0.005893,0.003746,0.004951
