"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.043479,0.044194,0.044428,0.044736,0.045658,0.046272,0.047192,0.047585,0.046957,0.04654,0.044995
"Brodsko-posavska","Slavonski Brod-Posavina",0.044221,0.044281,0.043702,0.042975,0.044169,0.044818,0.046111,0.046179,0.046205,0.044561,0.041944
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.047235,0.047785,0.046101,0.046604,0.046146,0.045662,0.048238,0.046544,0.046654,0.0446,0.042231
"Grad Zagreb","City of Zagreb",0.052161,0.051458,0.050514,0.05034,0.049807,0.049404,0.051051,0.051372,0.050714,0.049744,0.047728
"Istarska","Istria",0.044088,0.042383,0.0393,0.036552,0.035348,0.034767,0.034995,0.034532,0.034173,0.033232,0.032582
"Karlovačka","Karlovac",0.041501,0.040834,0.039148,0.037935,0.03741,0.037024,0.038305,0.039497,0.039073,0.038831,0.037385
"Koprivničko-križevačka","Koprivnica-Križevci",0.041426,0.040791,0.039645,0.039264,0.039458,0.039702,0.040962,0.042248,0.041882,0.041227,0.039722
"Krapinsko-zagorska","Krapina-Zagorje",0.040778,0.040382,0.039721,0.039298,0.038973,0.039149,0.040348,0.041242,0.041644,0.041372,0.040092
"Ličko-senjska","Lika-Senj",0.028408,0.027791,0.027555,0.027498,0.028516,0.029982,0.032191,0.03448,0.034762,0.033635,0.029223
"Međimurska","Međimurje",0.039577,0.03884,0.038214,0.038559,0.038272,0.038331,0.038533,0.038834,0.039359,0.037991,0.036509
"Osječko-baranjska","Osijek-Baranja",0.046957,0.046181,0.045417,0.045152,0.045,0.045327,0.046243,0.046547,0.045632,0.045033,0.042833
"Požeško-slavonska","Požega-Slavonia",0.046568,0.047578,0.048442,0.048951,0.048826,0.049604,0.050569,0.051885,0.052137,0.0515,0.048263
"Primorsko-goranska","Primorje-Gorski kotar",0.04142,0.04037,0.039025,0.037823,0.036474,0.035854,0.035935,0.035814,0.035697,0.034818,0.03415
"Republika Hrvatska","Republic of Croatia",0.044003,0.043602,0.042732,0.042202,0.041945,0.041942,0.042939,0.043302,0.042973,0.042153,0.040599
"Sisačko-moslavačka","Sisak-Moslavina",0.033729,0.033575,0.032337,0.031637,0.031157,0.031309,0.033344,0.034957,0.035376,0.035316,0.033832
"Splitsko-dalmatinska","Split-Dalmatia",0.049747,0.049161,0.048093,0.047348,0.047229,0.047297,0.047587,0.047549,0.047105,0.046,0.044508
"Šibensko-kninska","Šibenik-Knin",0.042653,0.042522,0.0424,0.042292,0.041787,0.041492,0.042376,0.044147,0.044293,0.042906,0.041135
"Varaždinska","Varaždin",0.045768,0.045479,0.045597,0.045316,0.045516,0.045691,0.045702,0.046646,0.045908,0.045355,0.046189
"Virovitičko-podravska","Virovitica-Podravina",0.042878,0.043731,0.04323,0.043374,0.04348,0.043596,0.044599,0.045801,0.045888,0.045556,0.043059
"Vukovarsko-srijemska","Vukovar-Sirmium",0.044682,0.044546,0.043855,0.043325,0.043926,0.044604,0.046206,0.047685,0.046706,0.046494,0.044875
"Zadarska","Zadar",0.048003,0.047179,0.046765,0.045959,0.04551,0.04564,0.04703,0.046357,0.045648,0.044669,0.042911
"Zagrebačka","Zagreb",0.023998,0.024763,0.024484,0.02383,0.023609,0.023627,0.023917,0.023684,0.023786,0.023288,0.022477
