"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",0.003119,0.00249,0.002088,0.001915,0.001674,0.001857,0.001793,0.001857,0.000747,0.000232,0.000871,0.000644,0.000599,0.000935,0.001029
"Brodsko-posavska","Slavonski Brod Posavina",0.007256,0.006044,0.004973,0.004577,0.004491,0.004709,0.005085,0.004134,0.002091,0.001159,0.001567,0.001439,0.001385,0.001376,0.001987
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.009204,0.007231,0.005872,0.006577,0.006218,0.007515,0.007543,0.007728,0.005576,0.002447,0.004108,0.003817,0.005434,0.004511,0.003803
"Grad Zagreb","City of Zagreb",0.006611,0.005481,0.005152,0.005586,0.002974,0.003379,0.003123,0.002892,0.002211,0.00141,0.002585,0.002909,0.003261,0.003432,0.003449
"Istarska","Istria",0.00592,0.005905,0.005842,0.005204,0.004902,0.004693,0.004957,0.00524,0.002274,0.001404,0.002913,0.003538,0.004307,0.004846,0.005169
"Karlovačka","Karlovac",0.003462,0.003077,0.002956,0.002912,0.002286,0.00215,0.002649,0.00254,0.001331,0.000593,0.000949,0.001449,0.001305,0.001595,0.002109
"Koprivničko-križevačka","Koprivnica Križevci",0.001877,0.001232,0.001297,0.001264,0.000824,0.001014,0.000993,0.001006,0.00048,0.000276,0.000632,0.000575,0.00042,0.000545,0.000801
"Krapinsko-zagorska","Krapina Zagorje",0.001062,0.00117,0.001061,0.000811,0.000719,0.00078,0.00091,0.000819,0.000463,0.000488,0.000588,0.000448,0.000428,0.000608,0.000915
"Ličko-senjska","Lika Senj",0.003822,0.004127,0.004859,0.004086,0.004045,0.003236,0.004017,0.004268,0.002238,0.001282,0.00288,0.002643,0.002775,0.003,0.003086
"Međimurska","Međimurje",0.001947,0.001857,0.001683,0.001088,0.001078,0.001079,0.001248,0.000932,0.000817,0.00065,0.000774,0.000713,0.000785,0.000884,0.001155
"Osječko-baranjska","Osijek Baranja",0.00349,0.003097,0.002461,0.002081,0.001866,0.002222,0.002319,0.002474,0.001433,0.000757,0.001317,0.00141,0.001313,0.001267,0.001597
"Požeško-slavonska","Požega Slavonia",0.00574,0.003548,0.002536,0.002552,0.002001,0.002027,0.002142,0.001894,0.000766,0.000546,0.000733,0.000874,0.001055,0.00116,0.001701
"Primorsko-goranska","Primorje Gorski kotar",0.003841,0.003787,0.00383,0.003384,0.002857,0.002776,0.002885,0.003168,0.001611,0.000981,0.002456,0.002845,0.003105,0.003257,0.003597
"Republika Hrvatska","Republic of Croatia",0.005678,0.004734,0.004288,0.004271,0.003302,0.003474,0.003392,0.003374,0.001967,0.001161,0.001994,0.002099,0.002439,0.00251,0.002785
"Sisačko-moslavačka","Sisak Moslavina",0.005177,0.004795,0.00421,0.003614,0.003232,0.00317,0.003182,0.003188,0.001408,0.000923,0.001549,0.001606,0.001461,0.001573,0.002252
"Splitsko-dalmatinska","Split Dalmatia",0.010691,0.007127,0.006098,0.007161,0.005102,0.00466,0.003739,0.003867,0.002507,0.001809,0.002696,0.002749,0.003882,0.003691,0.004034
"Šibensko-kninska","Šibenik Knin",0.008344,0.007644,0.00748,0.008103,0.007125,0.007974,0.006901,0.007812,0.003933,0.001388,0.002255,0.002389,0.003219,0.00489,0.003978
"Varaždinska","Varaždin",0.001245,0.001005,0.001155,0.000935,0.000982,0.001028,0.000968,0.000987,0.000758,0.00038,0.000796,0.000405,0.000705,0.000692,0.001181
"Virovitičko-podravska","Virovitica Podravina",0.005143,0.005527,0.003275,0.003756,0.002549,0.002413,0.002652,0.003131,0.00156,0.000925,0.00078,0.000978,0.000807,0.000803,0.001228
"Vukovarsko-srijemska","Vukovar Sirmium",0.005479,0.00327,0.003281,0.002769,0.003172,0.003317,0.004633,0.00415,0.002344,0.001049,0.001738,0.001988,0.001847,0.001655,0.002565
"Zadarska","Zadar",0.009263,0.009509,0.007767,0.008509,0.008085,0.009298,0.008285,0.008157,0.003965,0.002202,0.003308,0.002767,0.003269,0.003114,0.003596
"Zagrebačka","Zagreb",0.005769,0.005154,0.005195,0.003993,0.002625,0.002842,0.002651,0.002607,0.00149,0.001076,0.001637,0.001678,0.001967,0.00173,0.00206
