"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",0.005915,0.006003,0.005921,0.005248,0.004942,0.00509,0.005146,0.005383,0.005311,0.004663,0.005023,0.005107,0.005267,0.00676,0.005583
"Brodsko-posavska","Slavonski Brod Posavina",0.005265,0.005236,0.004498,0.00465,0.004613,0.004518,0.00482,0.004622,0.004487,0.003961,0.003968,0.004004,0.003866,0.004413,0.004099
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.004576,0.004312,0.004899,0.004863,0.005219,0.005246,0.005437,0.005292,0.005666,0.004511,0.005251,0.005501,0.007332,0.007544,0.007679
"Grad Zagreb","City of Zagreb",0.009455,0.011071,0.011366,0.010707,0.010427,0.011294,0.011324,0.010513,0.010185,0.009823,0.011238,0.010391,0.011329,0.012996,0.013615
"Istarska","Istria",0.007306,0.008612,0.00826,0.007635,0.007589,0.008098,0.007486,0.006863,0.006146,0.004846,0.00548,0.005753,0.00642,0.008434,0.008281
"Karlovačka","Karlovac",0.005329,0.005679,0.005948,0.005503,0.005623,0.005131,0.006001,0.004899,0.005013,0.004317,0.004397,0.00478,0.005538,0.005486,0.007502
"Koprivničko-križevačka","Koprivnica Križevci",0.004691,0.005335,0.004997,0.004577,0.00474,0.004198,0.005129,0.004485,0.003913,0.003952,0.004167,0.004476,0.004416,0.004583,0.004655
"Krapinsko-zagorska","Krapina Zagorje",0.004357,0.004702,0.005181,0.004493,0.005503,0.005158,0.004802,0.004511,0.004419,0.004239,0.004319,0.004167,0.005057,0.005748,0.006485
"Ličko-senjska","Lika Senj",0.010086,0.010988,0.010389,0.009871,0.010269,0.01004,0.010424,0.010142,0.008702,0.007928,0.009093,0.00877,0.012053,0.012677,0.010854
"Međimurska","Međimurje",0.002534,0.002952,0.003007,0.002842,0.002533,0.002254,0.002267,0.002233,0.002496,0.002213,0.002189,0.002334,0.002416,0.003897,0.003233
"Osječko-baranjska","Osijek Baranja",0.004576,0.004473,0.004493,0.004096,0.003814,0.003716,0.0042,0.004156,0.003896,0.003655,0.003917,0.003633,0.003828,0.005086,0.004602
"Požeško-slavonska","Požega Slavonia",0.00598,0.005977,0.004927,0.006307,0.005357,0.00548,0.0051,0.005071,0.003945,0.004232,0.004577,0.004397,0.005026,0.005721,0.007676
"Primorsko-goranska","Primorje Gorski kotar",0.006849,0.006852,0.007229,0.006536,0.006766,0.006927,0.006939,0.005953,0.005665,0.005513,0.00554,0.006095,0.006515,0.008271,0.008075
"Republika Hrvatska","Republic of Croatia",0.007174,0.007634,0.007736,0.007405,0.007269,0.007425,0.007521,0.006858,0.006457,0.006017,0.006661,0.006471,0.00704,0.007976,0.00795
"Sisačko-moslavačka","Sisak Moslavina",0.006813,0.006532,0.006128,0.006082,0.005555,0.005864,0.007,0.005521,0.004885,0.004605,0.004571,0.004552,0.004897,0.005562,0.00506
"Splitsko-dalmatinska","Split Dalmatia",0.004339,0.004231,0.004554,0.004827,0.004103,0.003791,0.003856,0.003724,0.003525,0.003586,0.004137,0.003956,0.00475,0.004659,0.004756
"Šibensko-kninska","Šibenik Knin",0.010162,0.010158,0.009717,0.009938,0.009534,0.010671,0.008837,0.00836,0.007542,0.006684,0.007362,0.008086,0.009227,0.009836,0.008359
"Varaždinska","Varaždin",0.003066,0.003393,0.003347,0.003215,0.003295,0.003336,0.004009,0.003537,0.003373,0.002998,0.003692,0.003169,0.003577,0.004393,0.005341
"Virovitičko-podravska","Virovitica Podravina",0.005589,0.005461,0.005089,0.005445,0.00521,0.004454,0.00552,0.005046,0.004415,0.003382,0.004739,0.004903,0.004709,0.006013,0.00531
"Vukovarsko-srijemska","Vukovar Sirmium",0.006471,0.006767,0.005808,0.005357,0.005043,0.005742,0.006873,0.005363,0.004616,0.004173,0.004057,0.004133,0.004269,0.004359,0.00432
"Zadarska","Zadar",0.009916,0.010513,0.011164,0.011161,0.011378,0.011553,0.010778,0.009606,0.008771,0.008618,0.009653,0.010231,0.00919,0.009332,0.009232
"Zagrebačka","Zagreb",0.016987,0.017411,0.018493,0.017289,0.017381,0.017046,0.016177,0.014434,0.013318,0.011995,0.013269,0.011869,0.012574,0.013274,0.011696
