"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",0.001779,0.001668,0.001275,0.001387,0.001698,0.001889,0.002302,0.001523,0.001872,0.002501,0.003759,0.002566,0.003138,0.003817,0.00546
"Brodsko-posavska","Slavonski Brod Posavina",0.001809,0.003466,0.0017,0.001664,0.001423,0.002232,0.002234,0.00164,0.005147,0.002087,0.002054,0.002515,0.004456,0.005932,0.010403
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.00219,0.00247,0.00132,0.000912,0.000856,0.001868,0.002031,0.001366,0.001521,0.003149,0.004165,0.003417,0.00712,0.003768,0.004776
"Grad Zagreb","City of Zagreb",0.001949,0.005895,0.001984,0.001461,0.001344,0.001458,0.001453,0.001165,0.001155,0.001731,0.002529,0.002505,0.002519,0.003909,0.006311
"Istarska","Istria",0.00183,0.002223,0.001084,0.001037,0.000728,0.000904,0.001148,0.000838,0.001022,0.002243,0.004547,0.00428,0.00307,0.004222,0.006149
"Karlovačka","Karlovac",0.002437,0.002739,0.002021,0.002226,0.002433,0.003129,0.003427,0.00303,0.005979,0.00287,0.00421,0.004732,0.005569,0.006139,0.007395
"Koprivničko-križevačka","Koprivnica Križevci",0.000757,0.001059,0.000723,0.000544,0.000378,0.000558,0.000628,0.000588,0.000488,0.000663,0.000719,0.000679,0.001006,0.002384,0.003329
"Krapinsko-zagorska","Krapina Zagorje",0.000445,0.001004,0.000465,0.000416,0.000506,0.000817,4e-04,0.000305,0.000209,0.00027,0.000339,0.000865,0.000947,0.00197,0.003173
"Ličko-senjska","Lika Senj",0.00183,0.00315,0.00194,0.003218,0.004448,0.005861,0.00723,0.007403,0.011112,0.007772,0.008561,0.009972,0.007516,0.010088,0.01077
"Međimurska","Međimurje",0.001175,0.001489,0.001122,0.000684,0.000526,0.000982,0.000747,0.00058,0.000501,0.000597,0.001073,0.000837,0.001534,0.003358,0.003038
"Osječko-baranjska","Osijek Baranja",0.001569,0.001693,0.001493,0.001961,0.001926,0.002755,0.003351,0.00208,0.002008,0.001759,0.002006,0.002464,0.003266,0.005046,0.007518
"Požeško-slavonska","Požega Slavonia",0.001941,0.002201,0.00192,0.002406,0.002367,0.002605,0.003132,0.002691,0.003807,0.003698,0.005323,0.007684,0.003153,0.005387,0.013992
"Primorsko-goranska","Primorje Gorski kotar",0.001811,0.001986,0.001488,0.001157,0.00092,0.001097,0.001143,0.001004,0.000858,0.001011,0.002084,0.002276,0.003261,0.004884,0.00874
"Republika Hrvatska","Republic of Croatia",0.001742,0.002735,0.001518,0.001582,0.001395,0.001784,0.002089,0.001737,0.002309,0.002295,0.002967,0.003017,0.003586,0.004921,0.007054
"Sisačko-moslavačka","Sisak Moslavina",0.002422,0.003542,0.002239,0.002893,0.003801,0.004033,0.008088,0.006543,0.007587,0.006274,0.007611,0.007185,0.009627,0.008032,0.010905
"Splitsko-dalmatinska","Split Dalmatia",0.000956,0.001255,0.000865,0.000742,0.000548,0.000942,0.001126,0.001026,0.00119,0.002289,0.002747,0.002865,0.002989,0.004285,0.004756
"Šibensko-kninska","Šibenik Knin",0.001645,0.001752,0.00182,0.002225,0.002336,0.00222,0.003244,0.004332,0.007183,0.0078,0.009315,0.010289,0.009424,0.007372,0.008906
"Varaždinska","Varaždin",0.000786,0.000916,0.000602,0.000543,0.000415,0.000994,0.000569,0.000468,0.000436,0.000363,0.000558,0.000657,0.001663,0.002946,0.004654
"Virovitičko-podravska","Virovitica Podravina",0.00411,0.003261,0.002418,0.007401,0.002337,0.002774,0.003176,0.002569,0.007778,0.002949,0.002694,0.0034,0.002842,0.005392,0.009974
"Vukovarsko-srijemska","Vukovar Sirmium",0.003307,0.003223,0.002182,0.002636,0.00228,0.003133,0.003244,0.002719,0.004392,0.005139,0.004314,0.00281,0.005792,0.00919,0.011624
"Zadarska","Zadar",0.00181,0.002545,0.001717,0.001777,0.001591,0.002011,0.002432,0.003005,0.002827,0.002172,0.003131,0.003194,0.004184,0.007279,0.009062
"Zagrebačka","Zagreb",0.001415,0.001707,0.001434,0.001366,0.000903,0.001216,0.00105,0.000713,0.000571,0.000984,0.001259,0.00132,0.002468,0.005335,0.007191
