"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",0.001302,0.001094,0.001283,0.001284,0.00115,0.001072,0.001236,0.00136,0.001387,0.001102,0.001365,0.001389,0.001684,0.001411,0.001354
"Brodsko-posavska","Slavonski Brod Posavina",0.001057,0.000997,0.001262,0.001077,0.001055,0.000984,0.001105,0.000978,0.001189,0.001147,0.001137,0.001305,0.001552,0.001434,0.001232
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.000835,0.000611,0.000685,0.000726,0.000806,0.000809,0.000779,0.000831,0.001145,0.000718,8e-04,0.000646,0.000876,0.000932,0.000981
"Grad Zagreb","City of Zagreb",0.001467,0.001436,0.001464,0.001554,0.001506,0.001461,0.001386,0.001437,0.001311,0.001611,0.001788,0.001856,0.001612,0.002104,0.001786
"Istarska","Istria",0.001092,0.001308,0.001264,0.00123,0.00127,0.00104,0.00126,0.001493,0.00153,0.001342,0.001509,0.001459,0.001742,0.001383,0.00134
"Karlovačka","Karlovac",0.000663,0.000748,0.000732,0.000744,0.000838,0.00086,0.00089,0.001002,0.000898,0.00077,0.001004,0.001189,0.001185,0.001249,0.001477
"Koprivničko-križevačka","Koprivnica Križevci",0.001103,0.001084,0.001488,0.001414,0.00132,0.001047,0.001112,0.001287,0.001421,0.001524,0.001594,0.001463,0.001049,0.001443,0.001362
"Krapinsko-zagorska","Krapina Zagorje",0.000395,0.000535,0.00093,0.000877,0.00066,0.000809,0.000607,0.000811,0.000829,0.001005,0.001093,0.001086,0.001092,0.001254,0.001047
"Ličko-senjska","Lika Senj",0.000502,0.000634,0.000725,0.000687,0.00075,0.000629,0.000841,0.000907,0.000727,0.000564,0.000533,0.000641,0.000993,0.001336,0.000798
"Međimurska","Međimurje",0.000886,0.000771,0.000956,0.001053,0.001017,0.000693,0.001177,0.001073,0.001186,0.000993,0.001117,0.00133,0.00127,0.001069,0.001661
"Osječko-baranjska","Osijek Baranja",0.001259,0.001231,0.001396,0.001509,0.001422,0.001143,0.001344,0.001485,0.001501,0.001472,0.001645,0.00181,0.001751,0.001747,0.001737
"Požeško-slavonska","Požega Slavonia",0.000803,0.00089,0.00087,0.000851,0.000732,0.000983,0.000854,0.000847,0.001093,0.001106,0.001221,0.0015,0.00128,0.001333,0.001198
"Primorsko-goranska","Primorje Gorski kotar",0.001251,0.00147,0.001363,0.001555,0.001381,0.001252,0.001093,0.001236,0.001433,0.000775,0.001919,0.000809,0.002223,0.002097,0.001522
"Republika Hrvatska","Republic of Croatia",0.001086,0.001045,0.001147,0.001158,0.001133,0.001079,0.00111,0.001166,0.001179,0.001178,0.001323,0.001326,0.001408,0.00155,0.00143
"Sisačko-moslavačka","Sisak Moslavina",0.001077,0.000844,0.001138,0.001162,0.000964,0.000924,0.001072,0.001161,0.001136,0.001032,0.000961,0.001139,0.001311,0.001506,0.001348
"Splitsko-dalmatinska","Split Dalmatia",0.000896,0.000704,0.000935,0.000654,9e-04,0.001037,0.000934,0.000874,0.000873,0.000743,0.000796,0.000913,0.000818,0.00115,0.001234
"Šibensko-kninska","Šibenik Knin",0.000691,0.000645,0.00086,0.000696,0.000776,0.000719,0.000726,0.000816,0.000682,0.000925,0.000981,0.001125,0.001145,0.00145,0.000824
"Varaždinska","Varaždin",0.000969,0.000911,0.000909,0.000846,0.001078,0.000899,0.001047,0.001066,0.00107,0.001167,0.001132,0.001262,0.001284,0.00109,0.001303
"Virovitičko-podravska","Virovitica Podravina",0.001098,0.00081,0.000901,0.0011,0.000794,0.000925,0.001252,0.001101,0.001352,0.001334,0.001099,0.00142,0.001457,0.001546,0.001513
"Vukovarsko-srijemska","Vukovar Sirmium",0.00126,0.001303,0.001274,0.001224,0.001043,0.001205,0.001297,0.001186,0.001196,0.001286,0.001302,0.001413,0.001529,0.001476,0.001471
"Zadarska","Zadar",0.000685,0.000723,0.000631,0.000732,9e-04,0.000731,0.000861,0.000918,0.000901,0.001098,0.001081,0.001117,0.001142,0.001581,0.001305
"Zagrebačka","Zagreb",0.001146,0.000932,0.001044,0.001215,0.001088,0.001081,0.001018,0.001124,0.001055,0.001338,0.001181,0.001188,0.001239,0.00136,0.001355
