"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",0.004844,0.005468,0.004669,0.005051,0.004879,0.005114,0.005283,0.005147,0.004991,0.004812,0.004471,0.004243,0.004472,0.004492,0.004598
"Brodsko-posavska","Slavonski Brod Posavina",0.005708,0.005923,0.005577,0.005415,0.005798,0.005674,0.005801,0.005916,0.005607,0.005503,0.005011,0.004902,0.004803,0.005393,0.005536
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.004815,0.005466,0.005551,0.004795,0.005337,0.005638,0.005885,0.005333,0.005699,0.005155,0.005357,0.005428,0.004902,0.005133,0.005079
"Grad Zagreb","City of Zagreb",0.004914,0.005066,0.005063,0.005192,0.004922,0.005035,0.005391,0.005341,0.005248,0.00506,0.004695,0.004697,0.004518,0.004568,0.004674
"Istarska","Istria",0.004843,0.004955,0.005062,0.005397,0.005187,0.005387,0.00548,0.00498,0.004754,0.004544,0.004384,0.004477,0.003869,0.004054,0.004107
"Karlovačka","Karlovac",0.004538,0.004859,0.005202,0.005299,0.004748,0.004835,0.005096,0.00496,0.004671,0.004587,0.004343,0.004339,0.004257,0.004165,0.004645
"Koprivničko-križevačka","Koprivnica Križevci",0.004494,0.005195,0.004556,0.004636,0.004547,0.005034,0.00484,0.005013,0.005095,0.004805,0.004289,0.004537,0.003962,0.004275,0.004468
"Krapinsko-zagorska","Krapina Zagorje",0.004702,0.004753,0.004904,0.005194,0.004894,0.004753,0.004632,0.00498,0.005039,0.004854,0.004613,0.004494,0.004507,0.004747,0.00467
"Ličko-senjska","Lika Senj",0.004899,0.004743,0.004642,0.004556,0.004503,0.004327,0.004129,0.004835,0.003825,0.004236,0.003472,0.004505,0.004072,0.004685,0.004682
"Međimurska","Međimurje",0.005753,0.005204,0.005375,0.005184,0.004961,0.004877,0.005457,0.00538,0.004886,0.005007,0.004246,0.004685,0.004073,0.004348,0.00453
"Osječko-baranjska","Osijek Baranja",0.005273,0.005202,0.005076,0.005117,0.005106,0.00506,0.005296,0.005835,0.005456,0.004922,0.005008,0.004892,0.004688,0.005016,0.005047
"Požeško-slavonska","Požega Slavonia",0.005465,0.005713,0.005277,0.00576,0.005833,0.00564,0.005707,0.005856,0.005365,0.004957,0.005092,0.005166,0.004855,0.005281,0.005703
"Primorsko-goranska","Primorje Gorski kotar",0.004937,0.005261,0.005308,0.00499,0.005125,0.004956,0.005329,0.005073,0.005005,0.004674,0.004611,0.004433,0.004279,0.004146,0.004241
"Republika Hrvatska","Republic of Croatia",0.005134,0.005301,0.005191,0.005273,0.005136,0.005124,0.005369,0.005423,0.005199,0.004957,0.004722,0.004762,0.004504,0.004601,0.004718
"Sisačko-moslavačka","Sisak Moslavina",0.004897,0.005061,0.004825,0.005211,0.004754,0.004929,0.005088,0.005298,0.004789,0.004691,0.00435,0.004741,0.004125,0.004421,0.004442
"Splitsko-dalmatinska","Split Dalmatia",0.005812,0.005703,0.005718,0.005607,0.005365,0.005322,0.00558,0.005834,0.005669,0.00529,0.005052,0.005077,0.004772,0.004749,0.00487
"Šibensko-kninska","Šibenik Knin",0.00419,0.004675,0.004483,0.00473,0.004438,0.004558,0.004813,0.005023,0.004804,0.004553,0.00419,0.004433,0.004196,0.004378,0.004285
"Varaždinska","Varaždin",0.004948,0.004903,0.005171,0.005214,0.005063,0.004769,0.004764,0.004947,0.00463,0.004568,0.004301,0.004385,0.004047,0.004007,0.004142
"Virovitičko-podravska","Virovitica Podravina",0.005393,0.005527,0.005067,0.005456,0.005065,0.004905,0.005429,0.005539,0.005085,0.005021,0.004751,0.005118,0.004745,0.005002,0.005111
"Vukovarsko-srijemska","Vukovar Sirmium",0.005968,0.005828,0.00567,0.006025,0.005769,0.00557,0.006005,0.005847,0.005676,0.005106,0.005174,0.005344,0.005337,0.00501,0.005354
"Zadarska","Zadar",0.0053,0.005742,0.005342,0.005512,0.005692,0.005051,0.005575,0.005325,0.005002,0.004952,0.004912,0.005036,0.004575,0.004427,0.004866
"Zagrebačka","Zagreb",0.005264,0.005729,0.005248,0.005487,0.005399,0.005407,0.005581,0.005942,0.005477,0.005256,0.004956,0.004808,0.00467,0.004717,0.00472
