"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",0.014002,0.01452,0.015314,0.014523,0.014802,0.014398,0.015073,0.01483,0.015531,0.015024,0.014475,0.015006,0.014749,0.014264,0.015974
"Brodsko-posavska","Slavonski Brod Posavina",0.011853,0.012709,0.012531,0.012177,0.012252,0.012062,0.012633,0.01279,0.012584,0.012779,0.012373,0.012955,0.012292,0.012701,0.014072
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.010082,0.010397,0.010856,0.010224,0.010539,0.010143,0.010261,0.010888,0.01013,0.010555,0.010485,0.011207,0.010753,0.010118,0.010975
"Grad Zagreb","City of Zagreb",0.010428,0.010569,0.010845,0.010186,0.010865,0.010553,0.011055,0.010623,0.010784,0.010735,0.010622,0.010502,0.010509,0.010469,0.011032
"Istarska","Istria",0.010738,0.010644,0.011133,0.010477,0.010877,0.01052,0.010858,0.010157,0.011049,0.011178,0.010681,0.011082,0.010429,0.010692,0.011596
"Karlovačka","Karlovac",0.014705,0.014399,0.015527,0.015232,0.015796,0.014711,0.015451,0.015384,0.01567,0.01533,0.015689,0.015402,0.014711,0.016121,0.016637
"Koprivničko-križevačka","Koprivnica Križevci",0.014041,0.01426,0.0142,0.014543,0.014237,0.014377,0.014511,0.01493,0.014737,0.014405,0.013923,0.013714,0.012733,0.013836,0.014472
"Krapinsko-zagorska","Krapina Zagorje",0.014723,0.014728,0.015447,0.014414,0.013977,0.014098,0.014274,0.014918,0.014832,0.014375,0.014072,0.014408,0.014378,0.014373,0.014305
"Ličko-senjska","Lika Senj",0.015308,0.015169,0.015648,0.014282,0.015687,0.015717,0.016234,0.017356,0.015759,0.015992,0.015938,0.017881,0.017057,0.018471,0.019293
"Međimurska","Međimurje",0.010848,0.011486,0.011153,0.010614,0.010992,0.011368,0.010799,0.011183,0.011257,0.010848,0.011025,0.01047,0.010818,0.010322,0.011317
"Osječko-baranjska","Osijek Baranja",0.011654,0.011876,0.012697,0.011778,0.012617,0.012528,0.013294,0.012841,0.012988,0.013261,0.012852,0.013529,0.01271,0.013226,0.013962
"Požeško-slavonska","Požega Slavonia",0.0119,0.01193,0.012149,0.012445,0.012045,0.012963,0.013482,0.013169,0.013884,0.013815,0.013449,0.013229,0.013298,0.013148,0.014645
"Primorsko-goranska","Primorje Gorski kotar",0.011163,0.011523,0.012098,0.010936,0.011564,0.01122,0.011797,0.011576,0.011689,0.01192,0.011868,0.012299,0.011673,0.012015,0.012974
"Republika Hrvatska","Republic of Croatia",0.011525,0.011754,0.012217,0.011559,0.012016,0.011685,0.01215,0.012101,0.012175,0.012128,0.011919,0.012117,0.01184,0.011995,0.012895
"Sisačko-moslavačka","Sisak Moslavina",0.012881,0.013468,0.013998,0.013922,0.014353,0.013935,0.014928,0.014677,0.014784,0.014917,0.014948,0.014081,0.014685,0.015094,0.016339
"Splitsko-dalmatinska","Split Dalmatia",0.01005,0.009556,0.010349,0.009476,0.01011,0.009563,0.009911,0.010394,0.010313,0.01009,0.010317,0.010227,0.010094,0.010219,0.011369
"Šibensko-kninska","Šibenik Knin",0.01128,0.012582,0.013412,0.012805,0.013484,0.013269,0.01295,0.013158,0.013387,0.013912,0.012826,0.013458,0.013629,0.013892,0.015281
"Varaždinska","Varaždin",0.012542,0.012933,0.0139,0.012574,0.012343,0.011936,0.013041,0.013279,0.012904,0.013001,0.012442,0.012852,0.012349,0.012072,0.013765
"Virovitičko-podravska","Virovitica Podravina",0.01333,0.013548,0.013991,0.013534,0.014177,0.013555,0.014387,0.014599,0.014378,0.014571,0.014724,0.014126,0.014116,0.013936,0.014055
"Vukovarsko-srijemska","Vukovar Sirmium",0.011211,0.011867,0.01194,0.011655,0.012543,0.012112,0.012439,0.012727,0.012838,0.012884,0.012679,0.013092,0.012852,0.013088,0.014182
"Zadarska","Zadar",0.009579,0.010302,0.010741,0.009973,0.01057,0.009999,0.010802,0.010637,0.011065,0.010336,0.010011,0.01105,0.010414,0.011274,0.012176
"Zagrebačka","Zagreb",0.011258,0.011545,0.011735,0.011353,0.011593,0.01103,0.011236,0.011092,0.011093,0.010973,0.010523,0.011045,0.010993,0.010714,0.011665
