"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",0.009034,0.009052,0.00883,0.00892,0.009908,0.009476,0.009483,0.009765,0.009941,0.010353,0.008983,0.009586,0.009337,0.009002,0.008572
"Brodsko-posavska","Slavonski Brod Posavina",0.011167,0.010538,0.010258,0.009833,0.010834,0.01042,0.010424,0.010699,0.011202,0.009721,0.010205,0.00995,0.009695,0.009164,0.008701
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.010926,0.010075,0.009502,0.010671,0.010498,0.011177,0.010842,0.012032,0.011291,0.011689,0.010387,0.010823,0.010246,0.010502,0.010492
"Grad Zagreb","City of Zagreb",0.009096,0.00909,0.009232,0.009243,0.009762,0.009717,0.010119,0.010656,0.011193,0.011149,0.010641,0.010584,0.010376,0.010586,0.010054
"Istarska","Istria",0.007948,0.008063,0.00775,0.008394,0.008721,0.008757,0.009293,0.009439,0.009653,0.009136,0.008782,0.00882,0.008667,0.008708,0.008171
"Karlovačka","Karlovac",0.007937,0.007419,0.007811,0.007467,0.008313,0.008297,0.008672,0.008758,0.008504,0.008704,0.00793,0.008276,0.008338,0.008145,0.007814
"Koprivničko-križevačka","Koprivnica Križevci",0.009877,0.009661,0.009179,0.009196,0.010413,0.00952,0.009824,0.010504,0.01019,0.0101,0.009599,0.009508,0.009734,0.009315,0.008989
"Krapinsko-zagorska","Krapina Zagorje",0.008808,0.009361,0.008835,0.008942,0.00901,0.008859,0.008924,0.009566,0.00957,0.009491,0.008887,0.009033,0.008801,0.008871,0.008045
"Ličko-senjska","Lika Senj",0.007824,0.007567,0.007869,0.007322,0.008383,0.007211,0.007099,0.007875,0.00832,0.00787,0.007121,0.008009,0.008022,0.007746,0.008103
"Međimurska","Međimurje",0.011803,0.010846,0.010951,0.010334,0.010835,0.010701,0.010667,0.011306,0.011653,0.011295,0.011016,0.010611,0.010589,0.010375,0.010739
"Osječko-baranjska","Osijek Baranja",0.009755,0.009417,0.008803,0.008868,0.009714,0.009348,0.009226,0.009675,0.010125,0.009321,0.009309,0.009642,0.009257,0.009002,0.00867
"Požeško-slavonska","Požega Slavonia",0.010211,0.010126,0.009927,0.009674,0.010165,0.009928,0.01009,0.010914,0.010429,0.009989,0.008885,0.009602,0.009274,0.009228,0.008656
"Primorsko-goranska","Primorje Gorski kotar",0.007652,0.007591,0.007964,0.007946,0.007975,0.00791,0.008015,0.008496,0.008944,0.008506,0.008442,0.00848,0.008218,0.008066,0.008037
"Republika Hrvatska","Republic of Croatia",0.009534,0.009319,0.009218,0.009364,0.009859,0.009614,0.009723,0.010152,0.010354,0.010095,0.009624,0.009788,0.009385,0.009335,0.008922
"Sisačko-moslavačka","Sisak Moslavina",0.008269,0.007955,0.0081,0.008469,0.00883,0.008323,0.00832,0.008994,0.009306,0.008867,0.008653,0.00911,0.008004,0.008556,0.007929
"Splitsko-dalmatinska","Split Dalmatia",0.011038,0.010803,0.010401,0.011156,0.011078,0.01087,0.010783,0.010813,0.010865,0.010899,0.010148,0.010392,0.009485,0.009485,0.00907
"Šibensko-kninska","Šibenik Knin",0.008735,0.008724,0.008476,0.008048,0.008605,0.008136,0.008192,0.008943,0.009051,0.009051,0.008206,0.008532,0.008354,0.00868,0.007851
"Varaždinska","Varaždin",0.009908,0.009374,0.009388,0.009661,0.010294,0.009908,0.00969,0.009742,0.010074,0.009822,0.009069,0.009381,0.008708,0.008411,0.008465
"Virovitičko-podravska","Virovitica Podravina",0.009427,0.009488,0.009265,0.009401,0.010174,0.009202,0.009652,0.009863,0.010021,0.010065,0.009643,0.009473,0.009515,0.00897,0.008597
"Vukovarsko-srijemska","Vukovar Sirmium",0.010938,0.010264,0.010092,0.010538,0.011032,0.010534,0.010535,0.010845,0.010641,0.010008,0.009488,0.009978,0.009055,0.009519,0.008498
"Zadarska","Zadar",0.010575,0.009905,0.009528,0.009653,0.011045,0.010188,0.010091,0.010637,0.010834,0.010483,0.009847,0.01033,0.009837,0.009536,0.009214
"Zagrebačka","Zagreb",0.009611,0.009661,0.009947,0.01001,0.01031,0.010285,0.010397,0.010812,0.010798,0.010474,0.010312,0.010266,0.009651,0.009201,0.008569
