"Županija","County.of","2001.","2002.","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar Bilogora",-0.001248,-0.001799,-0.002268,-0.003057,-0.003371,-0.003425,-0.004225,-0.002207,-0.002972,-0.005342,-0.006455,-0.004861,-0.006113,-0.006466,-0.009803
"Brodsko-posavska","Slavonski Brod Posavina",0.002915,-0.001009,-0.00195,-0.001615,-0.000994,-0.002072,-0.001129,-0.0012,-0.006149,-0.004387,-0.004354,-0.00445,-0.008265,-0.010436,-0.014926
"Dubrovačko-neretvanska","Dubrovnik Neretva",0.006068,0.002826,0.002234,0.004601,0.004221,0.004512,0.004294,0.006032,0.004064,-0.001729,-0.00129,8.2e-05,-0.001309,0.000932,-0.000687
"Grad Zagreb","City of Zagreb",0.003346,-0.00014,0.003556,0.003971,0.001434,0.002787,0.003152,0.003045,0.002757,0.001734,0.002706,0.002714,0.003609,0.003808,0.002666
"Istarska","Istria",0.007462,0.007993,0.00882,0.007282,0.007082,0.007013,0.006575,0.006684,0.003344,0.000407,-0.000428,0.00103,0.003128,0.003761,0.001873
"Karlovačka","Karlovac",-0.000199,-0.002358,-0.000478,-0.000153,-0.0015,-0.002573,-0.00193,-0.001673,-0.005279,-0.003979,-0.00456,-0.003969,-0.005394,-0.006687,-0.00545
"Koprivničko-križevačka","Koprivnica Križevci",0.000543,-0.000414,-0.000707,-0.000226,-0.000639,-0.001428,-0.000187,0.000281,-0.000822,-0.000921,-0.001256,-0.00074,-0.001294,-0.004891,-0.005527
"Krapinsko-zagorska","Krapina Zagorje",0.000345,-0.000896,0.000487,0.000153,0.000902,-0.000405,-0.000326,0.00032,0.000351,-0.000375,-0.000904,-0.001283,-0.001161,-0.001908,-0.002102
"Ličko-senjska","Lika Senj",0.001741,0.000416,0.002937,0.001519,-0.000934,-0.001479,-0.00312,-0.001851,-0.009754,-0.005888,-0.005858,-0.006708,-0.001681,-0.006246,-0.008481
"Međimurska","Međimurje",0.000693,6.1e-05,0.000202,-0.000482,-0.000622,-0.00114,-0.001081,-0.000941,-9.7e-05,-0.000773,-0.001301,-0.001444,-0.002072,-0.003818,-0.003749
"Osječko-baranjska","Osijek Baranja",0.001067,4.7e-05,8.2e-05,-0.001331,-0.001977,-0.002717,-0.003386,-0.000993,-0.001836,-0.002037,-0.001819,-0.00253,-0.004011,-0.005934,-0.008952
"Požeško-slavonska","Požega Slavonia",0.001798,-0.002453,-0.003768,-0.002929,-0.00393,-0.004632,-0.004358,-0.004248,-0.007803,-0.006444,-0.008807,-0.010567,-0.005501,-0.009334,-0.016918
"Primorsko-goranska","Primorje Gorski kotar",0.003824,0.003072,0.003503,0.003023,0.003346,0.003183,0.002528,0.002194,0.001033,0.000782,0.000841,0.001246,0.000831,0.000129,-0.003953
"Republika Hrvatska","Republic of Croatia",0.003937,0.001999,0.00277,0.002688,0.001907,0.00169,0.001304,0.001637,-0.000342,-0.001135,-0.000973,-0.000918,-0.001148,-0.002411,-0.004269
"Sisačko-moslavačka","Sisak Moslavina",0.000918,-0.001163,-0.001581,-0.00164,-0.003454,-0.003891,-0.006381,-0.005309,-0.008639,-0.007616,-0.009032,-0.009027,-0.011656,-0.010666,-0.013638
"Splitsko-dalmatinska","Split Dalmatia",0.009761,0.005238,0.005079,0.006859,0.004115,0.002526,0.001592,0.001894,0.000369,-0.000945,7e-05,-0.000372,0.001003,-0.001062,-0.000764
"Šibensko-kninska","Šibenik Knin",0.008199,0.006427,0.005805,0.006366,0.00644,0.008289,0.003818,0.004323,-0.003089,-0.006829,-0.008251,-0.007965,-0.004965,-0.00216,-0.006308
"Varaždinska","Varaždin",0.00026,-0.00035,-0.000223,-0.000364,1.1e-05,-0.000197,0.000783,0.000756,0.000317,-0.000153,0.000375,-0.000708,-0.001405,-0.003252,-0.003165
"Virovitičko-podravska","Virovitica Podravina",-0.001707,-0.001532,-0.002121,-0.007212,-0.003287,-0.00495,-0.004678,-0.002489,-0.008437,-0.005138,-0.003852,-0.005333,-0.005335,-0.008593,-0.014539
"Vukovarsko-srijemska","Vukovar Sirmium",-0.001475,-0.004478,-0.005065,-0.004218,-0.00386,-0.003798,-0.001036,-0.001343,-0.005517,-0.007684,-0.006923,-0.004905,-0.009231,-0.01487,-0.016026
"Zadarska","Zadar",0.0104,0.009733,0.010349,0.01113,0.011951,0.012613,0.009802,0.008681,0.004439,0.003949,0.004359,0.004253,0.002104,-0.002152,-0.003632
"Zagrebačka","Zagreb",0.011589,0.010436,0.011044,0.008871,0.008579,0.00721,0.006725,0.00586,0.00412,0.002821,0.002724,0.002244,0.00127,-0.001011,-0.004316
