"Županija","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska",722,0.004728,0.004545,0.005234,0.004903,0.004023,0.004695,0.003876,0.003843,0.003083,0.003582,0.003211,0.003728
"Brodsko-posavska",1131,0.00626,0.005411,0.006264,0.007054,0.006405,0.006348,0.004644,0.00491,0.004246,0.004129,0.003939,0.004649
"Dubrovačko-neretvanska",832,0.006205,0.007158,0.006648,0.007087,0.006501,0.005453,0.005188,0.005022,0.004308,0.004002,0.003711,0.004825
"Istarska",1791,0.009004,0.007584,0.00778,0.008218,0.00705,0.006904,0.005795,0.005586,0.005036,0.004591,0.004409,0.004645
"Karlovačka",934,0.006043,0.004976,0.005747,0.007228,0.00557,0.00537,0.004733,0.004109,0.004008,0.00362,0.003682,0.00403
"Koprivničko-križevačka",685,0.005564,0.005303,0.005161,0.005765,0.005423,0.004838,0.00322,0.003665,0.003169,0.003253,0.003114,0.003418
"Krapinsko-zagorska",987,0.005377,0.004872,0.005467,0.005098,0.004504,0.004076,0.003781,0.003392,0.003257,0.002575,0.002278,0.002762
"Ličko-senjska",679,0.010377,0.007285,0.00723,0.008108,0.007951,0.008262,0.006879,0.007377,0.007829,0.00711,0.005691,0.007852
"Međimurska",537,0.003605,0.003445,0.003737,0.004481,0.004202,0.003559,0.002679,0.00327,0.002624,0.002451,0.002757,0.002638
"Osječko-baranjska",1596,0.004959,0.004379,0.005357,0.005788,0.00514,0.005043,0.003972,0.003678,0.00362,0.003492,0.00296,0.003052
"Požeško-slavonska",519,0.004788,0.005089,0.005443,0.005336,0.004635,0.004749,0.004804,0.004449,0.00317,0.00347,0.00312,0.003185
"Primorsko-goranska",1794,0.005493,0.004771,0.005386,0.005248,0.005042,0.005392,0.004361,0.004426,0.003827,0.003668,0.003448,0.003185
"Republika Hrvatska",26153,0.005638,0.005052,0.005367,0.005822,0.005196,0.005092,0.004268,0.00422,0.003752,0.003589,0.003356,0.003574
"Sisačko-moslavačka",1111,0.005152,0.005961,0.006257,0.007077,0.006186,0.005377,0.004439,0.004606,0.004322,0.003849,0.003537,0.003593
"Splitsko-dalmatinska",2889,0.006252,0.005902,0.005834,0.006225,0.005748,0.005332,0.004659,0.004432,0.00347,0.003426,0.003161,0.003522
"Šibensko-kninska",767,0.007235,0.006665,0.006913,0.006847,0.00627,0.005441,0.004807,0.004868,0.004498,0.004205,0.004709,0.004477
"Varaždinska",722,0.003092,0.00325,0.00337,0.003711,0.003712,0.003549,0.003004,0.002828,0.002489,0.002907,0.002323,0.002886
"Virovitičko-podravska",506,0.0056,0.005098,0.004849,0.005475,0.00492,0.005259,0.004564,0.004585,0.003806,0.003758,0.002629,0.003225
"Vukovarsko-srijemska",1000,0.005443,0.003317,0.003754,0.005837,0.005422,0.005026,0.004532,0.004727,0.004398,0.004155,0.00418,0.004686
"Zadarska",1310,0.006982,0.00666,0.006349,0.007556,0.006648,0.006573,0.00608,0.005458,0.004832,0.004726,0.004211,0.00446
"Zagrebačka",5641,0.018229,0.015358,0.016424,0.017247,0.014816,0.015673,0.012759,0.01301,0.011909,0.011197,0.010884,0.01084
