"Županija","2003.","2004.","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska",22,0.000142,0.000262,0.000184,0.000162,0.000163,0.000148,0.000157,0.000151,0.000102,0.000111,0.000104,0.000123
"Brodsko-posavska",37,0.000135,0.000129,0.000166,0.000148,0.000297,0.000156,0.000113,0.000183,0.000115,9.6e-05,5.8e-05,6e-05
"Dubrovačko-neretvanska",25,0.00016,0.000168,0.000209,0.000182,0.000214,0.000172,0.000131,0.000147,9.8e-05,0.000147,7.4e-05,0.000114
"Istarska",38,0.000189,0.000221,0.000195,0.000199,0.000154,0.000173,0.000129,8.7e-05,0.00013,7.2e-05,9.1e-05,0.000115
"Karlovačka",34,0.00019,0.000147,0.000185,0.00021,0.000196,0.00016,0.000115,0.000163,0.000165,8.8e-05,0.000145,0.000164
"Koprivničko-križevačka",15,0.000209,0.00016,0.000144,9.3e-05,0.000128,0.000146,7.7e-05,8.7e-05,8.7e-05,5.2e-05,6.2e-05,0.000116
"Krapinsko-zagorska",24,0.000131,0.000103,0.000132,0.000133,0.000149,0.000149,0.000113,8.3e-05,8.4e-05,0.000138,8.5e-05,7e-05
"Ličko-senjska",33,0.000416,0.000201,0.000259,0.000411,0.000623,0.000306,0.000311,0.000296,0.000621,0.000324,0.000164,0.000252
"Međimurska",20,0.000132,9.6e-05,0.000175,0.000114,9.7e-05,0.000141,7.9e-05,7.9e-05,5.3e-05,7.9e-05,6.2e-05,5.3e-05
"Osječko-baranjska",70,0.00012,0.00013,0.000144,0.000164,0.000123,0.000133,9.1e-05,8.2e-05,8.9e-05,1e-04,4.4e-05,0.000119
"Požeško-slavonska",7,0.000109,6.1e-05,0.000147,0.000124,0.00015,0.000113,0.000127,7.7e-05,0.00013,0.000106,5.3e-05,5.4e-05
"Primorsko-goranska",46,0.000162,0.000145,0.000155,0.000185,0.000121,0.000128,0.000118,0.000115,8.8e-05,8.5e-05,9.5e-05,5.8e-05
"Republika Hrvatska",701,0.000141,0.000139,0.000142,0.000144,0.000154,0.000127,9.9e-05,9.8e-05,9.2e-05,8.6e-05,7.3e-05,8.3e-05
"Sisačko-moslavačka",41,0.000129,0.000141,0.000137,0.000144,0.000195,0.000141,8e-05,8.7e-05,7.7e-05,0.00012,0.000122,9.4e-05
"Splitsko-dalmatinska",59,0.000155,0.000143,9.3e-05,0.000132,0.000123,0.000106,5.7e-05,7e-05,5.5e-05,7.3e-05,5.9e-05,7.5e-05
"Šibensko-kninska",26,0.00028,0.000207,0.000198,0.00017,0.000251,0.000189,1e-04,0.000165,0.000214,0.000113,0.000161,0.000173
"Varaždinska",35,0.000106,6.7e-05,0.000152,7.9e-05,0.000181,8.5e-05,9.1e-05,7.4e-05,5.7e-05,9.2e-05,6.9e-05,5.8e-05
"Virovitičko-podravska",19,0.000156,0.000246,0.000192,0.000114,0.000287,0.000208,0.000176,0.000142,0.000119,0.00012,0.000122,9.9e-05
"Vukovarsko-srijemska",27,0.000123,0.000113,0.00014,0.000168,0.000179,0.000158,9.9e-05,9.5e-05,8.4e-05,0.000125,6.9e-05,0.000118
"Zadarska",25,0.000194,0.000197,0.000244,0.000175,0.000149,0.000119,0.000124,0.000123,0.000111,4.7e-05,0.000105,0.000129
"Zagrebačka",98,0.000321,0.00037,0.000332,0.000368,0.00036,0.000298,0.000278,0.000239,0.000211,0.000198,0.000148,0.000139
