"Županija","County.of","2005.","2006.","2007.","2008.","2009.","2010.","2011.","2012.","2013.","2014.","2015."
"Bjelovarsko-bilogorska","Bjelovar-Bilogora",0.011796,0.011901,0.012012,0.01189,0.011985,0.012092,0.012223,0.011272,0.01138,0.01152,0.010383
"Brodsko-posavska","Slavonski Brod-Posavina",0.005663,0.00568,0.005783,0.005742,0.005788,0.005822,0.005877,0.005742,0.005784,0.005867,0.006006
"Dubrovačko-neretvanska","Dubrovnik-Neretva",0.00819,0.008141,0.008139,0.008287,0.008413,0.008328,0.008509,0.008092,0.008274,0.008451,0.008456
"Grad Zagreb","City of Zagreb",0.000965,0.000961,0.000962,0.00099,0.000988,0.000985,0.000982,9.1e-05,9.1e-05,8.6e-05,8.9e-05
"Istarska","Istria",0.009002,0.009157,0.009095,0.008986,0.008962,0.008949,0.009032,0.008492,0.008484,0.008453,0.008445
"Karlovačka","Karlovac",0.011945,0.012427,0.012541,0.012866,0.012992,0.013152,0.013285,0.011796,0.011974,0.012205,0.012418
"Koprivničko-križevačka","Koprivnica-Križevci",0.009791,0.009841,0.009892,0.009601,0.009642,0.009695,0.009755,0.009413,0.009515,0.009561,0.009319
"Krapinsko-zagorska","Krapina-Zagorje",0.006838,0.006858,0.007022,0.007057,0.007084,0.007203,0.007236,0.007136,0.007365,0.007463,0.007571
"Ličko-senjska","Lika-Senj",0.03476,0.037369,0.037942,0.038395,0.038921,0.039484,0.040042,0.036362,0.036504,0.037087,0.037914
"Međimurska","Međimurje",0.004839,0.004824,0.004886,0.0056,0.005598,0.005621,0.005627,0.004975,0.004982,0.005134,0.005143
"Osječko-baranjska","Osijek-Baranja",0.005122,0.005153,0.005306,0.005534,0.00568,0.005698,0.005733,0.00543,0.005469,0.005535,0.005601
"Požeško-slavonska","Požega-Slavonia",0.008823,0.008884,0.008951,0.009107,0.009185,0.009481,0.009592,0.008989,0.00909,0.009201,0.009432
"Primorsko-goranska","Primorje-Gorski kotar",0.005044,0.005211,0.005261,0.005385,0.005379,0.005409,0.005422,0.005185,0.005232,0.005252,0.005294
"Republika Hrvatska","Republic of Croatia",0.006576,0.006678,0.006737,0.006787,0.006816,0.006829,0.006873,0.006254,0.006301,0.006318,0.006353
"Sisačko-moslavačka","Sisak-Moslavina",0.011148,0.011252,0.011381,0.010713,0.010849,0.011006,0.011181,0.01058,0.010728,0.010709,0.011024
"Splitsko-dalmatinska","Split-Dalmatia",0.005501,0.005555,0.005633,0.005876,0.005847,0.005831,0.005861,0.005724,0.00576,0.005789,0.005797
"Šibensko-kninska","Šibenik-Knin",0.010896,0.011246,0.011319,0.011607,0.011574,0.011727,0.011827,0.010595,0.010738,0.010812,0.010938
"Varaždinska","Varaždin",0.006427,0.006549,0.006746,0.006747,0.006775,0.006773,0.006867,0.006526,0.006719,0.00682,0.006889
"Virovitičko-podravska","Virovitica-Podravina",0.010186,0.010273,0.010472,0.010104,0.010182,0.009855,0.010068,0.010224,0.010322,0.010418,0.010607
"Vukovarsko-srijemska","Vukovar-Sirmium",0.005435,0.005462,0.005528,0.00552,0.005528,0.005609,0.005683,0.005338,0.005388,0.005472,0.005608
"Zadarska","Zadar",0.010391,0.010706,0.010717,0.011013,0.010958,0.011026,0.011045,0.010482,0.010449,0.010416,0.010501
"Zagrebačka","Zagreb",0.006123,0.006084,0.006081,0.006035,0.006152,0.006089,0.006112,0.005003,0.005046,0.004823,0.005175
